Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_058523.1	XP_044951619.1	66	0	1		
NC_058522.1	XP_044948744.1	0	172	1		
NC_058519.1	XP_044969628.1	0	47	1		
NC_058522.1	XP_044949172.1	59	0	1		
NC_058522.1	XP_044948204.1	62	0	1		
NC_058524.1	XP_044960030.1	84	0	1		
NC_058522.1	XP_044949728.1	0	171	1		
NC_058521.1	XP_044983863.1	0	152	1		
NC_058518.1	XP_044953308.1	1	0	1		
NC_058524.1	XP_044960625.1	72	0	1		
NC_058519.1	XP_044969605.1	26	0	1		
NC_058521.1	XP_044979271.1	0	126	1		
NC_058520.1	XP_044973242.1	43	0	1		
NC_058518.1	XP_044983847.1	12	29	2		
NC_058519.1	XP_044970315.1	0	34	1		
NC_058520.1	XP_044978578.1	45	0	1		
NC_058524.1	XP_044957189.1	74	0	1		
NC_058519.1	XP_044966659.1	0	59	1		
NC_058520.1	XP_044972537.1	0	103	1		
NC_058519.1	XP_044970160.1	0	61	1		
NC_058522.1	XP_044985771.1	0	197	1		
NC_058519.1	XP_044968563.1	34	0	1		
NC_058519.1	XP_044969120.1	19	0	1		
NC_058519.1	XP_044969662.1	0	48	1		
NC_058524.1	XP_044961506.1	79	0	1		
NC_058522.1	XP_044946820.1	0	181	1		
NC_058518.1	XP_044985836.1	1	0	1		
NC_058524.1	XP_044959162.1	0	246	1		
NC_058523.1	XP_044954836.1	64	0	1		
NC_058524.1	XP_044957317.1	81	0	1		
NC_058520.1	XP_044974012.1	0	108	1		
NC_058522.1	XP_044948054.1	58	0	1		
NC_058524.1	XP_044957964.1	0	252	1		
NC_058522.1	XP_044950326.1	56	0	1		
NC_058518.1	XP_044963404.1	0	32	1		
NC_058520.1	XP_044973797.1	0	96	1		
NC_058521.1	XP_044981818.1	0	137	1		
NC_058524.1	XP_044961770.1	75	0	1		
NC_058522.1	XP_044985467.1	0	170	1		
NC_058520.1	XP_044974507.1	37	0	1		
NC_058521.1	XP_044980537.1	0	131	1		
NC_058522.1	XP_044947224.1	0	164	1		
NC_058518.1	XP_044962125.1	9	0	1		
NC_058518.1	XP_044964976.1	0	3	1		
NC_058524.1	XP_044962019.1	86	0	1		
NC_058520.1	XP_044972730.1	40	0	1		
NC_058519.1	XP_044969020.1	15	0	1		
NC_058524.1	XP_044958493.1	0	246	1		
NC_058523.1	XP_044951977.1	67	0	1		
NC_058522.1	XP_044946594.1	54	0	1		
NC_058520.1	XP_044974527.1	37	0	1		
NC_058518.1	XP_044956206.1	4	0	1		
NC_058522.1	XP_044947998.1	0	160	1		
NC_058524.1	XP_044958298.1	0	261	1		
	XP_044963119.1	0	270	1		
NC_058520.1	XP_044975487.1	0	100	1		
NC_058521.1	XP_044981824.1	49	0	1		
NC_058520.1	XP_044977354.1	41	0	1		
NC_058520.1	XP_044975267.1	0	97	1		
NC_058520.1	XP_044974522.1	37	0	1		
NC_058522.1	XP_044985325.1	0	169	1		
NC_058522.1	XP_044947502.1	58	175	2		
NC_058519.1	XP_044967654.1	30	0	1		
NC_058522.1	XP_044984482.1	63	0	1		
NC_058522.1	XP_044984855.1	0	194	1		
NC_058518.1	XP_044982889.1	0	26	1		
NC_058519.1	XP_044967672.1	30	0	1		
NC_058521.1	XP_044979597.1	51	145	2		
NC_058523.1	XP_044954951.1	64	0	1		
NC_058524.1	XP_044957038.1	0	249	1		
NC_058519.1	XP_044967691.1	31	0	1		
NC_058521.1	XP_044982177.1	50	0	1		
NC_058518.1	XP_044985902.1	1	1	2		
NC_058522.1	XP_044947686.1	61	0	1		
NC_058524.1	XP_044956273.1	83	0	1		
NC_058519.1	XP_044965021.1	25	0	1		
NC_058522.1	XP_044945947.1	0	201	1		
NC_058519.1	XP_044967665.1	30	0	1		
NC_058524.1	XP_044958131.1	0	256	1		
