potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Saccharide	4002348	4176156	173810	2OG-FeII_Oxy, Aminotran_1_2, DIOX_N, Transferase, UDPGT_2	flavonoid	NC_089035.1	LOC4323863;LOC4323864;LOC4323865;LOC4323866;LOC43238_1;LOC4323867;LOC43238_2;LOC4323868;LOC4323870;LOC4323871;LOC4323872;LOC4323873;LOC4323875;LOC4323876;LOC4323877;LOC4323878;LOC4323879;LOC4323880;LOC4325347	XP_015621518.1;XP_015634638.1;XP_015625140.1;XP_015616144.1;XP_015616151.1;XP_015616111.1;XP_015616118.1;XP_015649705.1;XP_015621854.1;NP_001393014.1;XP_025879078.1;XP_015625778.1;XP_015620017.1;XP_015617756.1;NP_001414958.1;XP_015619226.1;XP_015616525.1;XP_015647615.1;XP_015622489.1	
2	Fatty_acid	13917523	14037937	120410	ECH_2, Transferase, p450	-	NC_089035.1	LOC4326503;LOC4326469;LOC4326471;LOC4326473;LOC4326475;LOC4326476;LOC107277903;LOC107280567;LOC107276089	XP_015621075.1;XP_015622490.1;NP_001384928.1;XP_015622219.1;XP_015632639.1;XP_015631703.1;XP_015634504.1;XP_025881117.2;XP_025881118.1	
3	Polyketide	19513355	19644376	131020	Chal_sti_synt_C, Chal_sti_synt_N, Epimerase, UbiA	-	NC_089035.1	LOC4323939;LOC107280867;LOC107277194;LOC43239_17;LOC4323940;LOC4323942;LOC107276739;LOC4323945;LOC4323946	XP_015622414.2;XP_015638075.2;XP_015622348.1;XP_015622347.1;XP_015622346.1;XP_015633350.1;XP_025881960.1;XP_015621618.1;XP_015642682.1	
4	Saccharide	34671443	34766099	94660	UDPGT_2, p450	-	NC_089035.1	LOC107281100;LOC4327537;LOC9269416;LOC107281530;LOC4327538;LOC4327539;LOC4327541;LOC4327542;LOC4327543;LOC4327544;LOC4327545;LOC4327546;LOC43275_1;LOC4327547;LOC43275_2;LOC4327548;LOC43275_3	XP_025881252.2;XP_015643060.1;XP_015647094.1;XP_015645703.1;XP_015631264.1;XP_015624649.1;XP_015614884.1;XP_015614852.1;XP_015614871.1;XP_015614862.1;XP_015614840.1;NP_001396058.1;NP_001396059.1;NP_001396061.1;NP_001396060.1;NP_001396063.1;NP_001396062.1	
5	Alkaloid	36036627	36075457	38830	Bet_v_1, Epimerase, Methyltransf_11	-	NC_089035.1	LOC4327525;LOC43275_23;LOC43275_24;LOC43275_25;LOC4327526;LOC107276820;LOC4327527;LOC107275986;LOC4327528	XP_025877996.1;XP_025877997.1;XP_025878000.1;XP_066161152.1;XP_015639695.1;XP_015643625.1;XP_015630482.1;XP_015645271.1;XP_015627758.1	
6	Saccharide	4707846	4850125	142280	Glycos_transf_1, p450	-	NC_089036.1	LOC4328818;LOC107275710;LOC4328820;LOC43288_5;LOC4328822;LOC4328823;LOC43288_6;LOC4328824;LOC4328826;LOC9271032;LOC4328828;LOC43288_7;LOC4328829;LOC4328830	NP_001396843.1;XP_015625964.1;XP_015623112.1;XP_015623113.1;XP_015624755.1;XP_015627328.1;XP_025879125.1;XP_015626361.1;XP_015626740.1;XP_015622693.1;XP_015626224.1;XP_015626225.1;XP_015626223.1;XP_015626697.1	
7	Saccharide-Polyketide	5856559	6059214	202660	Chal_sti_synt_C, UDPGT_2, p450	flavonoid-4, oleananes-4	NC_089036.1	LOC4329715;LOC4329716;LOC4329717;LOC4329718;LOC4329720;LOC107277414;LOC112937922;LOC107276259;LOC4329721;LOC4329722;LOC4329723;LOC4329724;LOC43297_10;LOC43297_11;LOC4329725;LOC4329726;LOC9266189;LOC43297_15;LOC43297_16;LOC43297_14;LOC4329728;LOC43297_12;LOC43297_13;LOC4329729;LOC43297_17;LOC43297_18;LOC43297_19;LOC4329730;LOC4329732;LOC107277709;LOC9267130	NP_001403609.1;NP_001403611.1;XP_015626274.1;XP_015626273.1;NP_001403612.1;XP_015624812.1;XP_066163359.1;XP_066163240.1;NP_001403613.1;NP_001403614.1;XP_015623593.1;NP_001403615.1;XP_025878382.1;XP_066163120.1;NP_001403616.1;NP_001403617.1;NP_001415150.1;XP_015625953.1;NP_001388809.1;XP_015625951.1;XP_066163121.1;XP_015625948.1;NP_001388808.1;XP_015625945.1;NP_001388811.1;XP_015625944.1;NP_001388810.1;NP_001403618.1;XP_015624713.1;XP_015624948.1;XP_015626298.1	
8	Alkaloid	7633128	7749680	116550	Aminotran_1_2, BBE, Epimerase, FAD_binding_4	-	NC_089036.1	LOC4330705;LOC4330706;LOC136355141;LOC13635_36;LOC4330709	XP_015623717.1;NP_001403817.1;XP_066163485.1;XP_066163486.1;NP_001403821.1	
9	Terpene	22045572	22409469	363900	Abhydrolase_3, Terpene_synth, Terpene_synth_C, p450	-	NC_089036.1	LOC4328526;LOC4328527;LOC43285_9;LOC43285_10;LOC4328528;LOC4328530;LOC4328531;LOC4328532;LOC4328533;LOC4328535;LOC4328536;LOC107276444;LOC43285_11;LOC4328539;LOC4328540;LOC4328541;LOC4328542;LOC4328543;LOC4328544;LOC4328545;LOC4328546	XP_015625613.1;NP_001396295.1;XP_066163085.1;XP_066163086.1;NP_001396296.1;XP_015624052.1;XP_015626857.1;XP_015626856.3;XP_015623325.1;XP_066163304.1;XP_015624875.1;XP_015624227.1;XP_066163292.1;XP_015627751.1;XP_015625932.1;XP_015625933.2;XP_015625930.1;XP_015622803.1;XP_015622804.1;XP_015626829.1;XP_015626828.1	
10	Saccharide	31698908	31739637	40730	Glycos_transf_1, Glycos_transf_2, Methyltransf_11	-	NC_089036.1	LOC9268939;LOC4328671;LOC4328673;LOC4328674;LOC4328675;LOC4328676;LOC43286_36;LOC4328677;LOC4328678;LOC43286_37;LOC43286_38;LOC4328679;LOC107275654	NP_001411204.1;XP_015622952.1;XP_015624168.1;XP_015626915.1;XP_015626912.1;XP_015626909.1;XP_015626910.1;XP_015622775.1;XP_015622596.1;XP_015622597.1;XP_015622598.1;XP_015623299.1;XP_015624352.1	
11	Alkaloid	10546608	10625241	78630	Aminotran_1_2, Bet_v_1, adh_short, adh_short_C2	-	NC_089037.1	LOC4332559;LOC4332560;LOC4332562;LOC4332563;LOC4332564;LOC4332566;LOC4332567;LOC4332568;LOC4332569	XP_015628717.1;XP_015631408.1;XP_015631407.1;NP_001389070.1;NP_001404524.1;XP_066164509.1;XP_015631103.1;XP_015631105.1;XP_015630130.1	
12	Saccharide	34565593	34615492	49900	AMP-binding, SQS_PSY, UDPGT_2	*saccharide	NC_089037.1	LOC4334490;LOC4334491;LOC4334492;LOC4334493;LOC4334494;LOC43344_17;LOC4334495;LOC43344_19;LOC4334496;LOC43344_18;LOC4334497	XP_015630542.1;XP_015630543.2;NP_001405776.1;NP_001405775.1;NP_001389236.1;NP_001389235.1;XP_015631517.1;XP_015627841.1;XP_015627840.1;XP_015627839.1;XP_015628465.1	
13	Saccharide	34723952	34767276	43320	Cellulose_synt, Methyltransf_11, UDPGT_2	flavonoid, oleananes	NC_089037.1	LOC9266866;LOC9269350;LOC92693_8;LOC4334511;LOC4334512;LOC4334513;LOC4334514;LOC4334515;LOC4334516;LOC4334517	XP_015629022.1;XP_015629017.1;XP_015629020.1;XP_015630549.1;XP_015630550.1;XP_015630551.1;XP_015630548.1;NP_001405779.1;XP_015630547.1;XP_015632264.1	
