potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_089035.1_cds_XP_066164459.1_153_lcl|NC_089035.1_cds_XP_066164459.1_153_1;lcl|NC_089035.1_cds_XP_025877775.1_154_lcl|NC_089035.1_cds_XP_025877775.1_154_1;lcl|NC_089035.1_cds_XP_015610950.1_155_lcl|NC_089035.1_cds_XP_015610950.1_155_1;lcl|NC_089035.1_cds_XP_015610958.1_156_lcl|NC_089035.1_cds_XP_015610958.1_156_1	XP_015610950.1;XP_015610958.1;XP_025877775.1;XP_066164459.1
2	lcl|NC_089035.1_cds_XP_025880595.1_176_lcl|NC_089035.1_cds_XP_025880595.1_176_1;lcl|NC_089035.1_cds_XP_025880600.2_177_lcl|NC_089035.1_cds_XP_025880600.2_177_1;lcl|NC_089035.1_cds_XP_015646833.1_178_lcl|NC_089035.1_cds_XP_015646833.1_178_1;lcl|NC_089035.1_cds_XP_015646885.1_179_lcl|NC_089035.1_cds_XP_015646885.1_179_1	XP_015646833.1;XP_015646885.1;XP_025880595.1;XP_025880600.2
3	lcl|NC_089035.1_cds_XP_066163053.1_195_lcl|NC_089035.1_cds_XP_066163053.1_195_1;lcl|NC_089035.1_cds_XP_015643220.1_196_lcl|NC_089035.1_cds_XP_015643220.1_196_1;lcl|NC_089035.1_cds_XP_015643235.3_197_lcl|NC_089035.1_cds_XP_015643235.3_197_1	XP_015643220.1;XP_015643235.3;XP_066163053.1
4	lcl|NC_089035.1_cds_XP_025878284.1_292_lcl|NC_089035.1_cds_XP_025878284.1_292_1;lcl|NC_089035.1_cds_XP_025878287.1_293_lcl|NC_089035.1_cds_XP_025878287.1_293_1;lcl|NC_089035.1_cds_XP_015621389.1_294_lcl|NC_089035.1_cds_XP_015621389.1_294_1;lcl|NC_089035.1_cds_XP_015628894.1_295_lcl|NC_089035.1_cds_XP_015628894.1_295_1	XP_015621389.1;XP_015628894.1;XP_025878284.1;XP_025878287.1
5	lcl|NC_089035.1_cds_XP_015620900.1_343_lcl|NC_089035.1_cds_XP_015620900.1_343_1;lcl|NC_089035.1_cds_XP_015625420.1_344_lcl|NC_089035.1_cds_XP_015625420.1_344_1;lcl|NC_089035.1_cds_XP_015641646.1_345_lcl|NC_089035.1_cds_XP_015641646.1_345_1	XP_015620900.1;XP_015625420.1;XP_015641646.1
6	lcl|NC_089035.1_cds_XP_025878304.1_364_lcl|NC_089035.1_cds_XP_025878304.1_364_1;lcl|NC_089035.1_cds_XP_025878377.2_365_lcl|NC_089035.1_cds_XP_025878377.2_365_2;lcl|NC_089035.1_cds_XP_025878305.2_366_lcl|NC_089035.1_cds_XP_025878305.2_366_1	XP_025878304.1;XP_025878305.2;XP_025878377.2
7	lcl|NC_089035.1_cds_NP_001388400.1_827_lcl|NC_089035.1_cds_NP_001388400.1_827_1;lcl|NC_089035.1_cds_XP_015621653.1_828_lcl|NC_089035.1_cds_XP_015621653.1_828_1;lcl|NC_089035.1_cds_XP_015642636.1_829_lcl|NC_089035.1_cds_XP_015642636.1_829_1	NP_001388400.1;XP_015621653.1;XP_015642636.1
8	lcl|NC_089035.1_cds_XP_066162557.1_843_lcl|NC_089035.1_cds_XP_066162557.1_843_1;lcl|NC_089035.1_cds_XP_015633512.1_844_lcl|NC_089035.1_cds_XP_015633512.1_844_1;lcl|NC_089035.1_cds_NP_001388401.1_845_lcl|NC_089035.1_cds_NP_001388401.1_845_1	NP_001388401.1;XP_015633512.1;XP_066162557.1
9	lcl|NC_089035.1_cds_XP_015635595.1_1019_lcl|NC_089035.1_cds_XP_015635595.1_1019_1;lcl|NC_089035.1_cds_XP_015614111.1_1020_lcl|NC_089035.1_cds_XP_015614111.1_1020_1;lcl|NC_089035.1_cds_XP_015614119.1_1021_lcl|NC_089035.1_cds_XP_015614119.1_1021_1	XP_015614111.1;XP_015614119.1;XP_015635595.1
10	lcl|NC_089035.1_cds_XP_015643684.1_1186_lcl|NC_089035.1_cds_XP_015643684.1_1186_1;lcl|NC_089035.1_cds_NP_001393235.1_1187_lcl|NC_089035.1_cds_NP_001393235.1_1187_1;lcl|NC_089035.1_cds_XP_015649299.1_1188_lcl|NC_089035.1_cds_XP_015649299.1_1188_2	NP_001393235.1;XP_015643684.1;XP_015649299.1
