potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Terpene-Alkaloid	2874104	2948273	74170	Aminotran_1_2, Aminotran_3, SQHop_cyclase_C, SQHop_cyclase_N, Str_synth	Lanosterol	NC_026655.2	LOC101204835;LOC10120_69;LOC101205084;LOC101205327;LOC101205562;LOC101213261;LOC101205792;LOC101206025;LOC101213501;LOC101206200;LOC101206436;LOC10120_70;LOC101206676;LOC10120_71	XP_004137360.1;XP_011649288.1;XP_004137361.1;XP_011649297.1;XP_004137363.1;XP_004137558.1;XP_031741397.1;XP_011649322.1;XP_004137559.1;XP_011649337.1;XP_004137365.1;XP_031738944.1;XP_004137366.1;XP_011649352.1	
2	Mate	4896245	4941723	45480	2OG-FeII_Oxy, ADH_N, ADH_zinc_N, DIOX_N, MatE, Transferase, adh_short_C2, p450	-	NC_026655.2	LOC101212752;LOC101210477;LOC105434400;LOC101212994;LOC101213233;LOC101213476;LOC101213710;LOC101216696;LOC10121_129;LOC101216926;LOC10121_128;LOC10121_130;LOC101217402	XP_004152433.1;XP_004151475.3;XP_031738134.1;XP_004152434.1;XP_004152435.1;XP_004152436.1;NP_001289636.1;XP_004152528.1;XP_031737335.1;XP_011651131.1;XP_031737332.1;XP_031737337.1;XP_004152531.1	
3	Terpene	6996781	7089749	92970	Terpene_synth, Terpene_synth_C	-	NC_026655.2	LOC101221664;LOC10122_101;LOC101208164;LOC101204794;LOC10120_164;LOC101204552;LOC116402708;LOC101215070;LOC105435147;LOC10543_10	XP_031737536.1;XP_004145160.1;XP_004153855.1;XP_011648431.2;XP_031738548.1;XP_004153857.1;XP_031738448.1;XP_031737610.1;XP_011652895.1;XP_011652894.1	
4	Saccharide-Alkaloid	30854845	31178608	323760	Aminotran_1_2, Bet_v_1, Methyltransf_11, UDPGT_2	cyanogenic glucoside, monoterpenoid	NC_026655.2	LOC101206933;LOC10120_388;LOC10120_389;LOC101215838;LOC101206215;LOC101205970;LOC10543_57;LOC105436354;LOC101215363;LOC10121_695;LOC101215118;LOC10121_696;LOC101214882;LOC101205504;LOC101205859;LOC10120_390;LOC10120_391;LOC10120_392;LOC116401711;LOC101214162;LOC101204781;LOC10120_393	XP_031736316.1;XP_004142586.1;XP_031736317.1;XP_004142541.1;XP_011660261.1;XP_004142583.1;XP_011660264.1;XP_031736764.1;XP_004142540.1;XP_011660265.1;XP_011660266.1;XP_011660267.1;XP_004142538.1;XP_031737786.1;XP_011660269.1;XP_031736719.1;XP_031736720.1;XP_031736728.1;XP_031736024.1;XP_004142536.1;XP_011660272.1;XP_011660273.1	
5	Fatty_acid	7818828	7992138	173310	FA_hydroxylase, Methyltransf_11, p450	-	NC_026656.2	LOC101203551;LOC101203795;LOC10120_548;LOC116401998;LOC116402007;LOC101221613;LOC101204603;LOC105434729;LOC101221840;LOC101222076;LOC10120_549;LOC101204841	XP_004138917.1;XP_031737377.1;XP_004138918.1;XP_031736503.1;XP_031736522.1;XP_004138989.1;XP_004138921.1;XP_011650139.1;XP_011649049.1;XP_004138991.2;XP_031736464.1;XP_004138922.1	
6	Saccharide	8251966	8390901	138940	AMP-binding, Glycos_transf_1, p450	-	NC_026656.2	LOC101203226;LOC10120_555;LOC101203465;LOC101203715;LOC101207229;LOC101203959;LOC10120_556;LOC101207968;LOC101207479;LOC101207720;LOC101208211;LOC10120_557;LOC101208456;LOC101204204;LOC10120_558;LOC101208697;LOC10120_559;LOC101208942	XP_004138997.1;XP_031736826.1;XP_011649066.1;XP_004138999.1;XP_031736881.1;XP_031736880.1;XP_011649069.1;XP_011649070.1;XP_004138932.1;XP_004138933.1;XP_004138935.1;XP_031736968.1;XP_004138936.1;XP_011649071.1;XP_031736665.1;XP_004138937.1;XP_031736319.1;NP_001292660.1	
7	Cyclopeptide	11961654	12419527	457870	BURP	-	NC_026656.2	LOC101202880;LOC10120_609;LOC101203533;LOC101203288;LOC101206300;LOC10121_984;LOC101210736;LOC101211762;LOC101211519;LOC10121_985;LOC101209991;LOC101205939;LOC101210857;LOC101205824;LOC101205066;LOC10120_610;LOC101218183;LOC101205589;LOC101205353;LOC101210122;LOC101214845;LOC10121_986;LOC101209876;LOC116402071;LOC101214664;LOC101214424;LOC101214182;LOC10121_987;LOC101213940;LOC101217535;LOC101213695;LOC10121_988;LOC10121_989;LOC10121_990;LOC101213460;LOC101217306;LOC101213217;LOC101212979;LOC101212738;LOC101217062;LOC101211933;LOC101211285;LOC101211034;LOC101216828;LOC101216346;LOC10121_991;LOC101210790;LOC10121_992;LOC10121_993;LOC101210547;LOC116402004;LOC11640_77;LOC11640_78;LOC11640_79;LOC101215864;LOC101210047;LOC101209800;LOC101210299;LOC101209556;LOC101209147;LOC10120_611;LOC10120_612;LOC10120_613;LOC101215624;LOC10121_994;LOC101215388;LOC101208904;LOC10120_614	XP_004153011.1;XP_011649214.1;XP_004145347.1;XP_011649216.1;XP_004145402.3;XP_011649217.1;XP_004154290.1;XP_004145343.1;XP_004145342.1;XP_011649218.1;XP_004154287.1;XP_031736901.1;XP_004145340.3;XP_004145400.1;XP_004153333.1;XP_031736976.1;XP_004153120.1;XP_031736713.1;XP_031736714.1;XP_004153636.2;XP_004145397.1;XP_011649228.1;XP_004145336.1;XP_031736715.1;XP_004148857.1;XP_011649229.1;XP_031736355.1;XP_004148855.1;XP_004148854.1;XP_004148868.2;XP_031736398.1;XP_031736400.1;XP_004148853.1;XP_011649230.1;XP_004148852.1;XP_004148867.1;XP_004148851.1;XP_004148850.1;XP_004148849.1;XP_004148866.1;XP_004148845.3;XP_004148844.1;XP_004148843.1;XP_004148865.1;XP_031736493.1;XP_004148863.3;XP_031737219.1;XP_031737218.1;XP_004148842.1;XP_004148841.1;XP_031736514.1;XP_031736511.1;XP_031736512.1;XP_031736513.1;XP_004148862.1;XP_004148839.1;XP_004148838.1;XP_031736768.1;XP_011649233.1;XP_031737203.1;XP_004148836.1;XP_031737202.1;XP_031737201.1;XP_031737381.1;XP_011649234.1;XP_031737382.1;XP_031737223.1;XP_011649235.1	
8	Terpene	14822018	15016301	194280	ADH_N, ADH_zinc_N, Terpene_synth, Terpene_synth_C, p450	-	NC_026656.2	LOC101213616;LOC101213856;LOC101214099;LOC101217224;LOC101214342;LOC10121_1048;LOC101214580;LOC10121_1049;LOC10121_1050;LOC10543_83;LOC105434621;LOC10543_84;LOC101217683;LOC10121_1051;LOC101208179;LOC101222514;LOC101207937;LOC10120_660;LOC101207690;LOC101207448;LOC101206807;LOC101207201;LOC101206562;LOC101205228	XP_004148457.1;XP_004148458.1;XP_011649386.1;XP_031736541.1;XP_004148472.3;XP_031736437.1;XP_011649387.1;XP_011649388.1;XP_031736927.1;XP_031736926.1;XP_031736924.1;XP_031736925.1;XP_031737191.1;XP_031737193.1;XP_011650166.1;XP_004151124.1;XP_011649390.2;XP_031736485.1;XP_011649391.2;XP_004150681.1;XP_004150678.1;XP_031736754.1;XP_004150677.1;XP_004151454.1	
9	Saccharide	17742217	17785230	43010	Aminotran_1_2, Glycos_transf_2, SE	-	NC_026656.2	LOC101213522;LOC101213280;LOC101213038;LOC101203245;LOC101203010	XP_004142909.2;XP_004142908.1;XP_004142907.1;XP_011649552.1;XP_004143033.1	
10	Saccharide-Terpene	23607642	23936181	328540	2OG-FeII_Oxy, Aminotran_1_2, DIOX_N, Terpene_synth, Terpene_synth_C, UDPGT_2, p450	-	NC_026656.2	LOC101205860;LOC101205626;LOC101205391;LOC101205149;LOC101211711;LOC101211215;LOC101211466;LOC101204900;LOC10120_833;LOC10120_834;LOC10120_835;LOC10120_836;LOC105434396;LOC101204413;LOC101210967;LOC101210723;LOC10121_1276;LOC101204171;LOC101203923;LOC101203684;LOC101210479;LOC101210227;LOC101203434;LOC101209976;LOC105434696;LOC101203191;WRKY14;WRKY14_1;LOC101209488;LOC10120_837;LOC101209241;LOC101208997;LOC101202958	XP_004151925.2;XP_004151924.2;XP_004151923.1;XP_031737068.1;XP_004151871.1;XP_011650023.1;XP_004151870.1;XP_011650024.1;XP_031736747.1;XP_031736748.1;XP_031736749.1;XP_031736750.1;XP_011650030.1;XP_011650031.2;XP_004151868.1;XP_004151867.1;XP_011650032.1;XP_004151919.1;XP_004151918.2;XP_004151917.2;XP_011650034.1;XP_004151865.2;XP_004151916.2;XP_004151864.1;XP_031737171.1;XP_004151915.1;XP_011648567.1;NP_001267663.1;XP_011650036.1;XP_031736851.1;XP_004151861.3;XP_004151860.1;XP_031737069.1	
