potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_026655.2_cds_XP_004138213.1_424_lcl|NC_026655.2_cds_XP_004138213.1_424_1;lcl|NC_026655.2_cds_XP_004138214.1_425_lcl|NC_026655.2_cds_XP_004138214.1_425_1;lcl|NC_026655.2_cds_XP_004138329.1_426_lcl|NC_026655.2_cds_XP_004138329.1_426_1	XP_004138213.1;XP_004138214.1;XP_004138329.1
2	lcl|NC_026655.2_cds_XP_004137509.1_934_lcl|NC_026655.2_cds_XP_004137509.1_934_1;lcl|NC_026655.2_cds_XP_004137627.2_935_lcl|NC_026655.2_cds_XP_004137627.2_935_1;lcl|NC_026655.2_cds_XP_011650886.1_936_lcl|NC_026655.2_cds_XP_011650886.1_936_1	XP_004137509.1;XP_004137627.2;XP_011650886.1
3	lcl|NC_026655.2_cds_XP_004152436.1_1002_lcl|NC_026655.2_cds_XP_004152436.1_1002_1;lcl|NC_026655.2_cds_NP_001289636.1_1003_lcl|NC_026655.2_cds_NP_001289636.1_1003_1;lcl|NC_026655.2_cds_XP_004152528.1_1004_lcl|NC_026655.2_cds_XP_004152528.1_1004_1	NP_001289636.1;XP_004152436.1;XP_004152528.1
4	lcl|NC_026655.2_cds_XP_031743440.1_1462_lcl|NC_026655.2_cds_XP_031743440.1_1462_3;lcl|NC_026655.2_cds_XP_031738116.1_1463_lcl|NC_026655.2_cds_XP_031738116.1_1463_1;lcl|NC_026655.2_cds_XP_031743445.1_1464_lcl|NC_026655.2_cds_XP_031743445.1_1464_1	XP_031738116.1;XP_031743440.1;XP_031743445.1
5	lcl|NC_026655.2_cds_XP_004146638.2_1547_lcl|NC_026655.2_cds_XP_004146638.2_1547_1;lcl|NC_026655.2_cds_XP_004146639.1_1548_lcl|NC_026655.2_cds_XP_004146639.1_1548_1;lcl|NC_026655.2_cds_XP_004146641.1_1552_lcl|NC_026655.2_cds_XP_004146641.1_1552_1	XP_004146638.2;XP_004146639.1;XP_004146641.1
6	lcl|NC_026655.2_cds_XP_011653198.1_1588_lcl|NC_026655.2_cds_XP_011653198.1_1588_2;lcl|NC_026655.2_cds_XP_031736022.1_1589_lcl|NC_026655.2_cds_XP_031736022.1_1589_1;lcl|NC_026655.2_cds_XP_004146652.1_1590_lcl|NC_026655.2_cds_XP_004146652.1_1590_2	XP_004146652.1;XP_011653198.1;XP_031736022.1
7	lcl|NC_026655.2_cds_XP_004147278.1_1717_lcl|NC_026655.2_cds_XP_004147278.1_1717_1;lcl|NC_026655.2_cds_XP_011653715.1_1718_lcl|NC_026655.2_cds_XP_011653715.1_1718_1;lcl|NC_026655.2_cds_XP_004147311.1_1719_lcl|NC_026655.2_cds_XP_004147311.1_1719_1	XP_004147278.1;XP_004147311.1;XP_011653715.1
8	lcl|NC_026655.2_cds_XP_031742064.1_2145_lcl|NC_026655.2_cds_XP_031742064.1_2145_1;lcl|NC_026655.2_cds_XP_031742070.1_2146_lcl|NC_026655.2_cds_XP_031742070.1_2146_1;lcl|NC_026655.2_cds_XP_031742080.1_2147_lcl|NC_026655.2_cds_XP_031742080.1_2147_1	XP_031742064.1;XP_031742070.1;XP_031742080.1
9	lcl|NC_026655.2_cds_XP_011655507.1_2210_lcl|NC_026655.2_cds_XP_011655507.1_2210_1;lcl|NC_026655.2_cds_XP_004150056.1_2211_lcl|NC_026655.2_cds_XP_004150056.1_2211_1;lcl|NC_026655.2_cds_XP_004150053.2_2213_lcl|NC_026655.2_cds_XP_004150053.2_2213_1;lcl|NC_026655.2_cds_XP_004150052.1_2214_lcl|NC_026655.2_cds_XP_004150052.1_2214_4;lcl|NC_026655.2_cds_XP_004150051.1_2215_lcl|NC_026655.2_cds_XP_004150051.1_2215_2	XP_004150051.1;XP_004150052.1;XP_004150053.2;XP_004150056.1;XP_011655507.1
10	lcl|NC_026655.2_cds_XP_031736280.1_2254_lcl|NC_026655.2_cds_XP_031736280.1_2254_1;lcl|NC_026655.2_cds_XP_031740166.1_2255_lcl|NC_026655.2_cds_XP_031740166.1_2255_1;lcl|NC_026655.2_cds_XP_031743782.1_2257_lcl|NC_026655.2_cds_XP_031743782.1_2257_1	XP_031736280.1;XP_031740166.1;XP_031743782.1
