potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Fatty_acid-Saccharide	1376699	1629682	252980	2OG-FeII_Oxy, ADH_N, ADH_zinc_N, AMP-binding, DIOX_N, FA_desaturase, Lipoxygenase, UDPGT_2, adh_short_C2	-	NC_090800.1	LOC101055528;LOC104646371;LOC101259966;LOC10125_15;LOC101266857;LOC101248511;LOC10124_13;LOC10124_14;LOC101266553;LOC101244219;LOC101266256;LOC101256511;SDH;LOC101265955;LOC101265670;loxC;Hcr9-0_1;Hcr9-0;loxF;LOC138347441;LOC101246950;LOC101250006;LOC101265060;LOC104645663;LOC109120155;LOC10912_1;LOC101250832;LOC101247357;LOC10124_15;LOC101248809;LOC112940917;LOC112940918;LOC101249950;LOC10124_16;LOC101264753;LOC101259185;JMJ524;JMJ524_1;LOC101252211	NP_001265976.1;XP_010317990.1;XP_004228665.1;XP_004228667.1;XP_019069243.1;XP_069147253.1;XP_069147260.1;XP_010315949.1;XP_025885012.2;XP_004228699.1;NP_001315585.1;XP_004228653.1;NP_001234092.1;XP_004228923.1;XP_004228922.3;NP_001233812.2;XP_010315920.1;NP_001362843.1;NP_001234259.1;XP_069151839.1;XP_004228709.1;XP_004253465.1;XP_025884765.1;XP_019069256.1;XP_019069258.1;XP_019069257.2;XP_004228723.2;XP_019069263.1;XP_069151873.1;XP_004228627.1;XP_025885026.1;XP_025885027.1;XP_019069265.1;XP_019069267.1;XP_004228919.2;XP_025885041.2;XP_069152187.1;NP_001306150.1;XP_004228638.1	
2	Fatty_acid	6924948	7030558	105610	FA_hydroxylase, Methyltransf_11, p450	-	NC_090800.1	LOC101248229;LOC101247648;LOC10124_49;LOC101247951;LOC10124_50;LOC10124_51;LOC101247354;LOC138340886;LOC101247053	XP_004228378.1;XP_069152999.1;XP_004228376.1;XP_025885605.1;XP_004228377.1;XP_010321959.1;XP_010321849.1;XP_069149160.1;XP_004228374.1	
3	Putative	76284689	76521779	237090	AMP-binding, ECH_2, Methyltransf_7, UbiA, p450	-	NC_090800.1	LOC101251220;LOC101250924;LOC101251509;LOC101252522;LOC10125_255;LOC101252815;LOC101249489;LOC101253126;LOC101253420;LOC10125_256;LOC109119983;LOC101253718;LOC101254028;LOC101254332;LOC104648136;LOC101254633;LOC101250049;LOC10125_257;LOC101254938;LOC101255238;LOC10125_271;LOC10125_270;LOC10125_269;LOC10125_268;LOC10125_266;LOC10125_267;LOC10125_265;LOC10125_264;LOC101250338;LOC10125_258;LOC10125_259;LOC10125_260;LOC10125_261;LOC10125_262;LOC10125_263;LOC10125_272;XTH5;LOC101255531	XP_004229507.1;XP_004229506.1;XP_004229508.1;XP_004229509.1;XP_010323137.1;XP_004229510.1;XP_004229574.5;XP_004229511.1;XP_004229512.1;XP_010323150.1;XP_019068772.1;XP_004229513.2;XP_069155636.1;XP_004229515.2;XP_019070846.2;XP_004229516.2;XP_069155649.1;XP_019070856.1;XP_004229517.1;XP_004229518.2;XP_010323220.2;XP_019070873.2;XP_025886884.2;XP_069155724.1;XP_069155679.1;XP_069155693.1;XP_019070866.2;XP_019070864.2;XP_010323192.2;XP_010323205.2;XP_010323201.2;XP_019070859.2;XP_010323195.2;XP_069155691.1;XP_069155676.1;XP_010323225.2;NP_001234470.2;XP_004229519.2	
4	Polyketide	80025936	80145002	119070	2OG-FeII_Oxy, Chal_sti_synt_C, Chal_sti_synt_N, DIOX_N, ECH_2	-	NC_090800.1	LOC101263350;LOC10126_247;LOC10126_248;LOC10126_249;LOC10126_250;LOC10126_251;LOC101263641;LOC101264253;LOC101264554;LOC101263936;LOC10126_252;LOC10126_253;CCD7;LOC101264859;LOC101265167;LOC101265477;LOC10126_254;LOC101265771;LOC138337266;LOC138337267;cMDH;cMDH_1;LOC101266161;LOC10126_255;LOC10126_256	XP_025887427.1;XP_069143253.1;XP_069143255.1;XP_004229765.1;XP_010325449.1;XP_010325451.1;XP_004229766.2;XP_004229768.1;XP_004229769.1;XP_069143260.1;XP_069143258.1;XP_010325463.3;NP_001234433.1;NP_001332778.1;XP_004229771.1;XP_004229772.1;XP_069143264.1;XP_004229773.1;XP_069143266.1;XP_069143270.1;XP_010324224.1;NP_001234152.1;XP_025887440.1;XP_010325486.1;XP_010325493.1	
5	Terpene	81010610	81060641	50030	Methyltransf_11, PRISE, adh_short_C2	-	NC_090800.1	CD2;LOC101258783;LOC101259078;LOC101259369;LOC101259882;LOC101260175	NP_001234657.2;XP_004229834.1;XP_004229835.1;XP_004229837.1;XP_004229838.1;XP_004229839.1	
6	Saccharide	81441425	81621303	179880	3Beta_HSD, ECH_2, Epimerase, Glycos_transf_1, adh_short, adh_short_C2, p450	-	NC_090800.1	LOC101244711;LOC101245496;LOC10124_232;LOC10124_233;LOC101259683;LOC10125_346;LOC101255335;LOC10125_347;LOC101257110;LOC101265281;LOC101259785;LOC101259987;LOC101257406;LOC101252435;LOC10125_348;LOC101258305;LOC10125_349;LOC101267268;LOC10126_271;LOC101260376;LOC101246962;LOC108281193;LOC101260280;LOC104649154;LOC10464_45;LOC10464_46;LOC10464_47;LOC101261456;LOC109118691;LOC101263847;LOC101258003;LOC101246664	XP_010326114.2;XP_069143693.1;XP_004229876.1;XP_069143694.1;XP_004231178.1;XP_010326134.1;XP_025887610.1;XP_025887612.1;XP_004229915.3;XP_004229944.1;XP_004229925.2;XP_004231179.1;XP_019071522.2;XP_010326163.1;XP_010326165.1;XP_004229919.1;XP_010326168.1;XP_025887622.1;XP_004229950.1;XP_004229927.1;XP_010326183.1;XP_019071541.1;NP_001316484.1;XP_069143717.1;XP_069143718.1;XP_025887635.2;XP_025887634.2;XP_019071551.2;XP_019071554.2;XP_019071557.1;XP_004229918.2;XP_004229880.1	
7	Saccharide	89564436	89671304	106870	DAHP_synth_2, UDPGT_2, UbiA	cyanogenic glucoside-2, monoterpenoid-2	NC_090800.1	LOC101246094;LOC101266986;LOC101254539;LOC101251627;LOC101267279;ABCG67;LOC101268808;LOC101247666;LOC101267569;ABCG3;LOC101248721	XP_004230549.1;XP_004231354.2;XP_004230580.1;XP_004230569.1;XP_069151318.1;XP_069145665.1;XP_004230631.1;XP_069145688.1;XP_069145698.1;XP_004230551.1;XP_004230559.1	
8	Terpene	89865958	90012352	146390	Amino_oxidase, Terpene_synth, Terpene_synth_C	-	NC_090800.1	LOC101266766;LOC10126_475;GDI1;LOC101267564;LOC10126_476;LOC10126_477;LOC10126_478;LOC10126_479;LOC10126_480;LOC10126_481;LOC10126_482;LOC10126_483;LOC10126_484;LOC101249864;LOC10124_384;TPS3;MTS2;MTS1;LOC138347291;TPS7;LOC101246974;LOC101267654;LOC10126_485;LOC101264377	XP_069145749.1;XP_004230624.1;NP_001304749.1;XP_010315130.1;XP_069145753.1;XP_069145750.1;XP_069145752.1;XP_069145755.1;XP_069145757.1;XP_069145759.1;XP_069145761.1;XP_069145764.1;XP_069145765.1;XP_004230563.1;XP_010315132.1;NP_001295307.1;NP_001233809.1;NP_001233805.1;XP_069151347.1;NP_001308094.1;XP_004231365.1;NP_001310355.1;NP_001310356.1;XP_010315135.1	
9	Putative	91838328	91916364	78040	Abhydrolase_3, Peptidase_S10	-	NC_090800.1	LOC101247374;LOC101262672;LOC138340775;LOC112940693;LOC101263556;LOC101247667;LOC101247965;LOC101248243;LOC101248522;LOC101263857;LOC101248819;LOC101249123;LOC101249404;LOC101249964;LOC101249683;CXE1	XP_004230806.2;XP_019067453.3;XP_069149071.1;XP_069151416.1;XP_069149072.1;XP_004230807.1;XP_004230808.1;XP_004230809.1;XP_004230810.1;XP_025884757.2;XP_004230811.1;XP_004230812.1;XP_004230813.1;XP_069149074.1;XP_069149073.1;NP_001307232.1	
10	Fatty_acid-Alkaloid	40249581	40570667	321090	BBE, FAD_binding_4, FA_hydroxylase	-	NC_090801.1	LOC101264571;LOC101249413;LOC101249691;LOC138342031;LOC101265381;ERN1;LOC10126_646;LOC10126_647;LOC101265687;LOC10126_645	XP_004231557.2;XP_019067690.3;XP_004231655.3;XP_069150312.1;XP_010315630.1;NP_001234800.2;XP_069149387.1;XP_069149386.1;XP_010315632.2;XP_004231559.2	
