potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_080041.1_cds_XP_057440856.1_74_lcl|NC_080041.1_cds_XP_057440856.1_74_1;lcl|NC_080041.1_cds_XP_057440857.1_75_lcl|NC_080041.1_cds_XP_057440857.1_75_1;lcl|NC_080041.1_cds_XP_057440859.1_76_lcl|NC_080041.1_cds_XP_057440859.1_76_1	XP_057440856.1;XP_057440857.1;XP_057440859.1
2	lcl|NC_080041.1_cds_XP_057441034.1_275_lcl|NC_080041.1_cds_XP_057441034.1_275_1;lcl|NC_080041.1_cds_XP_057441036.1_276_lcl|NC_080041.1_cds_XP_057441036.1_276_1;lcl|NC_080041.1_cds_XP_057441035.1_277_lcl|NC_080041.1_cds_XP_057441035.1_277_1;lcl|NC_080041.1_cds_XP_057440757.1_278_lcl|NC_080041.1_cds_XP_057440757.1_278_1	XP_057440757.1;XP_057441034.1;XP_057441035.1;XP_057441036.1
3	lcl|NC_080041.1_cds_XP_057434434.1_1336_lcl|NC_080041.1_cds_XP_057434434.1_1336_1;lcl|NC_080041.1_cds_XP_057441918.1_1337_lcl|NC_080041.1_cds_XP_057441918.1_1337_1;lcl|NC_080041.1_cds_XP_057439874.1_1338_lcl|NC_080041.1_cds_XP_057439874.1_1338_1	XP_057434434.1;XP_057439874.1;XP_057441918.1
4	lcl|NC_080041.1_cds_XP_057442179.1_1668_lcl|NC_080041.1_cds_XP_057442179.1_1668_1;lcl|NC_080041.1_cds_XP_057442180.1_1669_lcl|NC_080041.1_cds_XP_057442180.1_1669_1;lcl|NC_080041.1_cds_XP_057442181.1_1670_lcl|NC_080041.1_cds_XP_057442181.1_1670_1	XP_057442179.1;XP_057442180.1;XP_057442181.1
5	lcl|NC_080041.1_cds_XP_057439933.1_1841_lcl|NC_080041.1_cds_XP_057439933.1_1841_1;lcl|NC_080041.1_cds_XP_057442297.1_1843_lcl|NC_080041.1_cds_XP_057442297.1_1843_1;lcl|NC_080041.1_cds_XP_057442298.1_1845_lcl|NC_080041.1_cds_XP_057442298.1_1845_1;lcl|NC_080041.1_cds_XP_057437027.1_1846_lcl|NC_080041.1_cds_XP_057437027.1_1846_1	XP_057437027.1;XP_057439933.1;XP_057442297.1;XP_057442298.1
6	lcl|NC_080041.1_cds_XP_057437366.1_1892_lcl|NC_080041.1_cds_XP_057437366.1_1892_1;lcl|NC_080041.1_cds_XP_057442327.1_1893_lcl|NC_080041.1_cds_XP_057442327.1_1893_1;lcl|NC_080041.1_cds_XP_057442328.1_1894_lcl|NC_080041.1_cds_XP_057442328.1_1894_1	XP_057437366.1;XP_057442327.1;XP_057442328.1
7	lcl|NC_080041.1_cds_XP_057442561.1_2190_lcl|NC_080041.1_cds_XP_057442561.1_2190_1;lcl|NC_080041.1_cds_XP_057442562.1_2191_lcl|NC_080041.1_cds_XP_057442562.1_2191_1;lcl|NC_080041.1_cds_XP_057438897.1_2194_lcl|NC_080041.1_cds_XP_057438897.1_2194_1	XP_057438897.1;XP_057442561.1;XP_057442562.1
8	lcl|NC_080041.1_cds_XP_057442692.1_2403_lcl|NC_080041.1_cds_XP_057442692.1_2403_1;lcl|NC_080041.1_cds_XP_057440276.1_2404_lcl|NC_080041.1_cds_XP_057440276.1_2404_1;lcl|NC_080041.1_cds_XP_057442693.1_2405_lcl|NC_080041.1_cds_XP_057442693.1_2405_1;lcl|NC_080041.1_cds_XP_057442694.1_2406_lcl|NC_080041.1_cds_XP_057442694.1_2406_1	XP_057440276.1;XP_057442692.1;XP_057442693.1;XP_057442694.1
9	lcl|NC_080041.1_cds_XP_057443256.1_2946_lcl|NC_080041.1_cds_XP_057443256.1_2946_1;lcl|NC_080041.1_cds_XP_057443118.1_2947_lcl|NC_080041.1_cds_XP_057443118.1_2947_1;lcl|NC_080041.1_cds_XP_057443125.1_2948_lcl|NC_080041.1_cds_XP_057443125.1_2948_1	XP_057443118.1;XP_057443125.1;XP_057443256.1
10	lcl|NC_080041.1_cds_XP_057443595.1_3007_lcl|NC_080041.1_cds_XP_057443595.1_3007_1;lcl|NC_080041.1_cds_XP_057443167.1_3008_lcl|NC_080041.1_cds_XP_057443167.1_3008_1;lcl|NC_080041.1_cds_XP_057443613.1_3010_lcl|NC_080041.1_cds_XP_057443613.1_3010_1	XP_057443167.1;XP_057443595.1;XP_057443613.1
11	lcl|NC_080041.1_cds_XP_057448006.1_3287_lcl|NC_080041.1_cds_XP_057448006.1_3287_1;lcl|NC_080041.1_cds_XP_057448068.1_3288_lcl|NC_080041.1_cds_XP_057448068.1_3288_1;lcl|NC_080041.1_cds_XP_057440043.1_3290_lcl|NC_080041.1_cds_XP_057440043.1_3290_1	XP_057440043.1;XP_057448006.1;XP_057448068.1
12	lcl|NC_080041.1_cds_XP_057448051.1_3606_lcl|NC_080041.1_cds_XP_057448051.1_3606_1;lcl|NC_080041.1_cds_XP_057439788.1_3607_lcl|NC_080041.1_cds_XP_057439788.1_3607_1;lcl|NC_080041.1_cds_XP_057439867.1_3608_lcl|NC_080041.1_cds_XP_057439867.1_3608_3	XP_057439788.1;XP_057439867.1;XP_057448051.1
13	lcl|NC_080041.1_cds_XP_057447719.1_4004_lcl|NC_080041.1_cds_XP_057447719.1_4004_1;lcl|NC_080041.1_cds_XP_057450917.1_4005_lcl|NC_080041.1_cds_XP_057450917.1_4005_1;lcl|NC_080041.1_cds_XP_057447810.1_4006_lcl|NC_080041.1_cds_XP_057447810.1_4006_1	XP_057447719.1;XP_057447810.1;XP_057450917.1
14	lcl|NC_080041.1_cds_XP_057452053.1_4174_lcl|NC_080041.1_cds_XP_057452053.1_4174_1;lcl|NC_080041.1_cds_XP_057451468.1_4176_lcl|NC_080041.1_cds_XP_057451468.1_4176_1;lcl|NC_080041.1_cds_XP_057451543.1_4177_lcl|NC_080041.1_cds_XP_057451543.1_4177_1	XP_057451468.1;XP_057451543.1;XP_057452053.1
15	lcl|NC_080041.1_cds_XP_057452317.1_4241_lcl|NC_080041.1_cds_XP_057452317.1_4241_1;lcl|NC_080041.1_cds_XP_057452332.1_4242_lcl|NC_080041.1_cds_XP_057452332.1_4242_1;lcl|NC_080041.1_cds_XP_057452342.1_4243_lcl|NC_080041.1_cds_XP_057452342.1_4243_1	XP_057452317.1;XP_057452332.1;XP_057452342.1
16	lcl|NC_080041.1_cds_XP_057455864.1_4447_lcl|NC_080041.1_cds_XP_057455864.1_4447_1;lcl|NC_080041.1_cds_XP_057453168.1_4448_lcl|NC_080041.1_cds_XP_057453168.1_4448_1;lcl|NC_080041.1_cds_XP_057440139.1_4451_lcl|NC_080041.1_cds_XP_057440139.1_4451_1	XP_057440139.1;XP_057453168.1;XP_057455864.1
17	lcl|NC_080041.1_cds_XP_057453832.1_4498_lcl|NC_080041.1_cds_XP_057453832.1_4498_1;lcl|NC_080041.1_cds_XP_057457926.1_4500_lcl|NC_080041.1_cds_XP_057457926.1_4500_2;lcl|NC_080041.1_cds_XP_057457966.1_4501_lcl|NC_080041.1_cds_XP_057457966.1_4501_1	XP_057453832.1;XP_057457926.1;XP_057457966.1
18	lcl|NC_080041.1_cds_XP_057458579.1_4529_lcl|NC_080041.1_cds_XP_057458579.1_4529_1;lcl|NC_080041.1_cds_XP_057458621.1_4530_lcl|NC_080041.1_cds_XP_057458621.1_4530_1;lcl|NC_080041.1_cds_XP_057458647.1_4531_lcl|NC_080041.1_cds_XP_057458647.1_4531_1;lcl|NC_080041.1_cds_XP_057454225.1_4532_lcl|NC_080041.1_cds_XP_057454225.1_4532_1	XP_057454225.1;XP_057458579.1;XP_057458621.1;XP_057458647.1
19	lcl|NC_080041.1_cds_XP_057459088.1_4559_lcl|NC_080041.1_cds_XP_057459088.1_4559_1;lcl|NC_080041.1_cds_XP_057454546.1_4560_lcl|NC_080041.1_cds_XP_057454546.1_4560_1;lcl|NC_080041.1_cds_XP_057459215.1_4562_lcl|NC_080041.1_cds_XP_057459215.1_4562_1;lcl|NC_080041.1_cds_XP_057454584.1_4563_lcl|NC_080041.1_cds_XP_057454584.1_4563_2	XP_057454546.1;XP_057454584.1;XP_057459088.1;XP_057459215.1
20	lcl|NC_080041.1_cds_XP_057457351.1_5339_lcl|NC_080041.1_cds_XP_057457351.1_5339_1;lcl|NC_080041.1_cds_XP_057427744.1_5340_lcl|NC_080041.1_cds_XP_057427744.1_5340_1;lcl|NC_080041.1_cds_XP_057427759.1_5341_lcl|NC_080041.1_cds_XP_057427759.1_5341_1	XP_057427744.1;XP_057427759.1;XP_057457351.1
21	lcl|NC_080041.1_cds_XP_057434654.1_6039_lcl|NC_080041.1_cds_XP_057434654.1_6039_1;lcl|NC_080041.1_cds_XP_057434656.1_6040_lcl|NC_080041.1_cds_XP_057434656.1_6040_1;lcl|NC_080041.1_cds_XP_057434655.1_6041_lcl|NC_080041.1_cds_XP_057434655.1_6041_1;lcl|NC_080041.1_cds_XP_057434653.1_6042_lcl|NC_080041.1_cds_XP_057434653.1_6042_1;lcl|NC_080041.1_cds_XP_057434657.1_6043_lcl|NC_080041.1_cds_XP_057434657.1_6043_1	XP_057434653.1;XP_057434654.1;XP_057434655.1;XP_057434656.1;XP_057434657.1
22	lcl|NC_080041.1_cds_XP_057434874.1_6310_lcl|NC_080041.1_cds_XP_057434874.1_6310_1;lcl|NC_080041.1_cds_XP_057434875.1_6311_lcl|NC_080041.1_cds_XP_057434875.1_6311_1;lcl|NC_080041.1_cds_XP_057440300.1_6312_lcl|NC_080041.1_cds_XP_057440300.1_6312_1	XP_057434874.1;XP_057434875.1;XP_057440300.1
