potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|CM034146.1_cds_KAH9328165.1_281_lcl|CM034146.1_cds_KAH9328165.1_281_1;lcl|CM034146.1_cds_KAH9328167.1_283_lcl|CM034146.1_cds_KAH9328167.1_283_1;lcl|CM034146.1_cds_KAH9328168.1_284_lcl|CM034146.1_cds_KAH9328168.1_284_1	
2	lcl|CM034146.1_cds_KAH9328231.1_347_lcl|CM034146.1_cds_KAH9328231.1_347_1;lcl|CM034146.1_cds_KAH9328232.1_348_lcl|CM034146.1_cds_KAH9328232.1_348_1;lcl|CM034146.1_cds_KAH9328233.1_349_lcl|CM034146.1_cds_KAH9328233.1_349_1	
3	lcl|CM034146.1_cds_KAH9328368.1_485_lcl|CM034146.1_cds_KAH9328368.1_485_1;lcl|CM034146.1_cds_KAH9328371.1_488_lcl|CM034146.1_cds_KAH9328371.1_488_1;lcl|CM034146.1_cds_KAH9328373.1_490_lcl|CM034146.1_cds_KAH9328373.1_490_1	
4	lcl|CM034146.1_cds_KAH9328482.1_601_lcl|CM034146.1_cds_KAH9328482.1_601_1;lcl|CM034146.1_cds_KAH9328483.1_602_lcl|CM034146.1_cds_KAH9328483.1_602_1;lcl|CM034146.1_cds_KAH9328484.1_603_lcl|CM034146.1_cds_KAH9328484.1_603_1	
5	lcl|CM034146.1_cds_KAH9328487.1_606_lcl|CM034146.1_cds_KAH9328487.1_606_1;lcl|CM034146.1_cds_KAH9328488.1_607_lcl|CM034146.1_cds_KAH9328488.1_607_1;lcl|CM034146.1_cds_KAH9328489.1_608_lcl|CM034146.1_cds_KAH9328489.1_608_1	
6	lcl|CM034146.1_cds_KAH9329379.1_1528_lcl|CM034146.1_cds_KAH9329379.1_1528_1;lcl|CM034146.1_cds_KAH9329380.1_1529_lcl|CM034146.1_cds_KAH9329380.1_1529_1;lcl|CM034146.1_cds_KAH9329381.1_1530_lcl|CM034146.1_cds_KAH9329381.1_1530_1	
7	lcl|CM034146.1_cds_KAH9329394.1_1543_lcl|CM034146.1_cds_KAH9329394.1_1543_1;lcl|CM034146.1_cds_KAH9329395.1_1544_lcl|CM034146.1_cds_KAH9329395.1_1544_1;lcl|CM034146.1_cds_KAH9329397.1_1546_lcl|CM034146.1_cds_KAH9329397.1_1546_1	
8	lcl|CM034146.1_cds_KAH9329470.1_1625_lcl|CM034146.1_cds_KAH9329470.1_1625_1;lcl|CM034146.1_cds_KAH9329471.1_1626_lcl|CM034146.1_cds_KAH9329471.1_1626_1;lcl|CM034146.1_cds_KAH9329472.1_1627_lcl|CM034146.1_cds_KAH9329472.1_1627_1	
9	lcl|CM034146.1_cds_KAH9329547.1_1705_lcl|CM034146.1_cds_KAH9329547.1_1705_1;lcl|CM034146.1_cds_KAH9329549.1_1707_lcl|CM034146.1_cds_KAH9329549.1_1707_1;lcl|CM034146.1_cds_KAH9329550.1_1708_lcl|CM034146.1_cds_KAH9329550.1_1708_1	
10	lcl|CM034146.1_cds_KAH9329595.1_1753_lcl|CM034146.1_cds_KAH9329595.1_1753_1;lcl|CM034146.1_cds_KAH9329596.1_1754_lcl|CM034146.1_cds_KAH9329596.1_1754_1;lcl|CM034146.1_cds_KAH9329598.1_1756_lcl|CM034146.1_cds_KAH9329598.1_1756_1	
