Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_015440.3	XP_004235300.1	0	47	1		
NC_015446.3	XP_004247758.1	0	141	1		
NC_090809.1	XP_010312332.1	47	0	1		
NC_090800.1	XP_004229512.1	3	0	1		
NC_015443.3	XP_019070044.1	0	96	1		
NC_015448.3	XP_004250968.1	0	171	1		
NC_090807.1	XP_004245722.1	37	0	1		
NC_090802.1	NP_001316157.1	19	0	1		
NC_015448.3	XP_010313176.1	0	169	1		
NC_090800.1	XP_004230813.1	9	20	2		
NC_015443.3	XP_004240943.1	0	88	1		
NC_090800.1	XP_004229835.1	5	14	2		
NC_090807.1	XP_010325578.1	36	0	1		
NC_090811.1	XP_004253007.1	56	0	1		
NC_090802.1	XP_010318340.1	19	0	1		
NC_090805.1	XP_019069894.1	28	0	1		
NC_090808.1	NP_001348274.1	40	0	1		
NC_090809.1	XP_004249685.1	46	0	1		
NC_015439.3	XP_004233327.2	0	27	1		
NC_015441.3	XP_004237239.1	0	61	1		
NC_015445.3	XP_004246080.2	0	122	1		
NC_015449.3	XP_004252379.1	0	190	1		
NC_090810.1	XP_010312615.1	49	0	1		
NC_015445.3	XP_004245662.1	0	128	1		
NC_015446.3	XP_004246611.1	0	133	1		
NC_090800.1	NP_001310355.1	8	0	1		
NC_015438.3	XP_004229182.1	0	8	1		
NC_090804.1	XP_004239719.1	25	0	1		
NC_015442.3	XP_004239356.2	0	69	1		
NC_090805.1	XP_069155552.1	31	0	1		
NC_090810.1	XP_025884183.1	49	0	1		
NC_090809.1	XP_004249643.3	46	0	1		
NC_090811.1	XP_069148328.1	52	0	1		
NC_090804.1	XP_010321591.2	25	0	1		
NC_090808.1	XP_010326341.1	42	0	1		
NC_015438.3	XP_010323205.1	0	11	1		
NC_090800.1	XP_025887635.2	6	0	1		
NC_015441.3	XP_004237589.2	0	63	1		
NC_015438.3	XP_010321891.1	0	7	1		
NC_015445.3	XP_004245469.1	0	131	1		
NC_090803.1	XP_010320285.2	21	0	1		
NC_090804.1	XP_004238694.1	23	0	1		
NC_090800.1	XP_004228665.1	1	0	1		
NC_015439.3	XP_004232152.1	0	35	1		
NC_090800.1	XP_004229511.1	3	0	1		
NC_015442.3	XP_004238700.1	0	69	1		
NC_015442.3	XP_004239990.1	0	79	1		
NC_015439.3	XP_019067505.1	0	23	1		
NC_015443.3	XP_004242493.1	0	99	1		
NC_015438.3	XP_019068088.1	0	6	1		
NC_090804.1	NP_001310228.1	25	0	1		
NC_090801.1	XP_004232666.1	13	0	1		
NC_090804.1	XP_019069648.1	26	0	1		
NC_090809.1	XP_004249583.1	45	0	1		
NC_015447.3	XP_004248111.1	0	146	1		
NC_015443.3	XP_004240752.1	0	85	1		
NC_015441.3	XP_019069170.1	0	64	1		
NC_090807.1	XP_004244523.1	35	0	1		
NC_090800.1	XP_004229880.1	6	0	1		
NC_015438.3	XP_004229416.1	0	9	1		
NC_090811.1	XP_004253172.1	56	0	1		
NC_015445.3	XP_004245659.1	0	128	1		
NC_090800.1	XP_069155691.1	3	0	1		
NC_090800.1	XP_004229950.1	6	0	1		
NC_090803.1	XP_010320286.1	21	0	1		
NC_090811.1	XP_004252733.1	54	0	1		
NC_015442.3	XP_004239042.1	0	76	1		
NC_090806.1	XP_069143572.1	33	0	1		
NC_090800.1	XP_025887612.1	6	0	1		
NC_015439.3	XP_004232355.1	0	32	1		
NC_090806.1	XP_069155903.1	32	0	1		
NC_090805.1	XP_069154804.1	28	0	1		
NC_090805.1	XP_069155349.1	28	0	1		
	XP_004253503.1	0	200	1		
NC_090804.1	XP_010320591.1	26	0	1		
NC_090811.1	XP_004251556.1	51	0	1		
NC_090811.1	XP_069148350.1	53	0	1		
NC_015445.3	XP_004244436.1	0	113	1		
NC_015443.3	XP_019069808.1	0	85	1		
NC_015448.3	XP_004250654.1	0	170	1		
NC_090811.1	NP_001316332.1	51	0	1		
NC_015447.3	XP_004248901.1	0	152	1		
NC_090806.1	XP_004243889.3	32	0	1		
NC_015444.3	XP_025887736.1	0	103	1		
NC_015449.3	XP_004253165.1	0	196	1		
NC_090803.1	XP_025886451.1	20	0	1		
NC_015440.3	XP_004236187.1	0	49	1		
NC_015449.3	XP_004251990.1	0	184	1		
NC_015441.3	XP_025886474.1	0	61	1		
NC_090805.1	XP_004241299.1	31	0	1		
NC_015439.3	XP_010315625.1	0	22	1		
NC_015448.3	XP_004251277.1	0	175	1		
NC_090811.1	XP_004253024.1	55	0	1		
NC_090811.1	XP_069148746.1	53	0	1		
NC_090800.1	XP_004228709.1	1	0	1		
NC_090801.1	XP_069149657.1	11	0	1		
NC_090810.1	XP_004250078.1	49	0	1		
NC_015438.3	XP_004229417.1	0	9	1		
NC_090811.1	XP_004252862.2	57	0	1		
NC_090806.1	XP_069143555.1	32	0	1		
NC_090808.1	NP_001316389.1	38	0	1		
NC_090804.1	XP_004240282.2	24	0	1		
NC_090801.1	NP_001234671.1	13	0	1		
NC_090801.1	XP_004232642.1	14	0	1		
NC_015445.3	XP_010325102.1	0	118	1		
NC_090800.1	XP_010323192.2	3	0	1		
NC_090811.1	XP_069148471.1	51	0	1		
NC_090807.1	XP_010324505.2	34	0	1		
NC_015449.3	XP_004252349.2	0	188	1		
NC_090806.1	XP_004243890.2	32	0	1		
NC_015438.3	XP_004228388.1	0	4	1		
NC_015448.3	XP_025884019.1	0	174	1		
NC_090811.1	XP_069148570.1	52	0	1		
NC_090810.1	XP_010312619.1	49	0	1		
NC_090807.1	XP_025888432.1	37	0	1		
NC_090805.1	XP_010322942.1	28	0	1		
NC_090809.1	XP_004249555.1	46	0	1		
NC_090810.1	XP_004250074.1	49	166	2		
NC_090800.1	NP_001307232.1	9	0	1		
NC_090804.1	XP_025886796.1	26	0	1		
NC_090804.1	NP_001296190.1	26	0	1		
NC_015445.3	XP_004246095.1	0	130	1		
NC_090807.1	XP_004244681.2	34	0	1		
NC_015449.3	XP_004252025.1	0	176	1		
NC_090802.1	XP_025886049.2	17	0	1		
NC_015440.3	XP_004235543.1	0	56	1		
NC_015440.3	XP_004235888.1	0	53	1		
NC_015440.3	XP_004234230.1	0	38	1		
NC_090809.1	XP_004249447.1	44	0	1		
NC_090805.1	XP_010322420.1	31	0	1		
NC_090808.1	XP_004247127.1	42	0	1		
NC_090811.1	XP_004253027.1	55	0	1		
NC_090800.1	XP_025887622.1	6	0	1		
NC_090801.1	XP_010316947.1	11	0	1		
NC_015441.3	XP_019069114.1	0	63	1		
NC_015447.3	XP_004249595.1	0	159	1		
NC_090801.1	XP_004232370.1	16	0	1		
NC_090809.1	XP_069146636.1	48	0	1		
NC_015449.3	XP_010313708.1	0	177	1		
NC_090809.1	XP_069146189.1	46	0	1		
NC_090801.1	XP_010316948.2	11	0	1		
NC_090811.1	XP_019066986.1	56	0	1		
NC_015444.3	XP_004244241.1	0	112	1		
NC_015438.3	XP_004230052.1	0	17	1		
NC_090806.1	XP_069143557.1	32	0	1		
NC_090802.1	XP_069150942.1	17	0	1		
NC_090807.1	XP_025888201.2	37	0	1		
NC_090801.1	XP_004232760.1	12	0	1		
NC_090806.1	XP_069143132.1	33	0	1		
NC_090809.1	XP_004248079.1	43	0	1		
NC_090800.1	XP_025886884.2	3	0	1		
NC_090811.1	XP_004252843.1	57	0	1		
NC_015439.3	XP_004232414.1	0	31	1		
NC_015448.3	XP_004250844.1	0	169	1		
NC_090810.1	XP_010312620.1	49	0	1		
NC_090800.1	XP_069151416.1	9	0	1		
NC_015439.3	XP_004232153.1	0	35	1		
NC_015448.3	XP_004251402.1	0	174	1		
NC_090809.1	NP_001234781.1	48	0	1		
NC_015446.3	XP_019071152.1	0	141	1		
NC_090801.1	XP_025885322.1	16	0	1		
NC_090800.1	NP_001310356.1	8	0	1		
NC_090804.1	XP_069153793.1	23	0	1		
NC_090800.1	XP_004230624.1	8	0	1		
NC_090807.1	XP_025888165.1	36	0	1		
NC_090809.1	XP_069146183.1	47	0	1		
NC_090809.1	XP_010312333.1	47	0	1		
NC_090807.1	XP_004246145.1	37	0	1		
NC_090800.1	XP_004229508.1	3	10	2		
NC_015444.3	XP_010324168.1	0	104	1		
NC_090804.1	XP_069153737.1	26	0	1		
NC_015440.3	XP_019068168.1	0	41	1		
NC_015449.3	XP_004252089.1	0	179	1		
NC_090810.1	XP_004250080.1	49	0	1		
NC_090806.1	XP_069143083.1	32	0	1		
NC_090811.1	XP_004252564.2	53	0	1		
NC_015446.3	XP_004247481.1	0	140	1		
NC_015444.3	XP_010323231.1	0	100	1		
NC_090805.1	NP_001412226.1	28	0	1		
NC_015449.3	XP_004252435.1	0	186	1		
NC_090811.1	XP_004252844.2	57	0	1		
NC_090800.1	XP_010315949.1	1	0	1		
NC_090800.1	XP_004229927.1	6	0	1		
NC_015445.3	XP_010325356.1	0	130	1		
NC_090805.1	XP_004242105.1	31	0	1		
NC_090803.1	XP_069152668.1	20	0	1		
NC_015440.3	XP_004235263.1	0	46	1		
NC_090805.1	XP_010322542.1	30	0	1		
NC_015439.3	XP_004233349.1	0	26	1		
NC_015439.3	XP_004233445.1	0	24	1		
NC_090800.1	XP_025884765.1	1	0	1		
NC_090802.1	XP_004235345.1	18	0	1		
NC_090808.1	XP_069144884.1	38	0	1		
NC_090806.1	NP_001352908.1	32	0	1		
NC_015440.3	XP_004234011.1	0	38	1		
NC_090809.1	XP_069146390.1	45	0	1		
NC_090802.1	NP_001234368.1	19	0	1		
NC_015446.3	XP_025888579.1	0	136	1		
NC_015438.3	XP_004229959.1	0	15	1		
NC_090804.1	XP_004238697.1	23	69	2		
NC_090800.1	XP_019070856.1	3	0	1		
NC_090811.1	XP_004253009.1	56	0	1		
NC_090801.1	XP_010316627.1	12	0	1		
NC_015438.3	XP_004230502.1	0	18	1		
NC_090802.1	XP_004234492.1	17	0	1		
NC_090805.1	XP_004242046.1	28	0	1		
NC_090800.1	XP_019067453.3	9	0	1		
NC_015445.3	XP_004245218.1	0	119	1		
NC_090800.1	XP_069151873.1	1	0	1		
NC_090800.1	XP_010323225.2	3	0	1		
NC_015448.3	XP_004250191.1	0	168	1		
NC_015438.3	XP_004230842.1	0	21	1		
NC_090804.1	NP_001333533.1	26	0	1		
NC_090807.1	XP_069144016.1	34	0	1		
NC_015445.3	XP_004245661.1	0	128	1		
NC_015441.3	XP_004237900.1	0	64	1		
NC_015448.3	XP_004250185.1	0	167	1		
NC_015440.3	XP_004236524.1	0	49	1		
NC_090800.1	XP_004228638.1	1	0	1		
NC_090800.1	XP_004228378.1	2	0	1		
NC_090809.1	XP_019071591.1	44	0	1		
NC_015440.3	XP_004234942.1	0	43	1		
NC_090805.1	XP_010322325.1	28	0	1		
NC_090811.1	XP_010314857.1	56	0	1		
NC_090804.1	XP_010320602.1	23	0	1		
NC_015445.3	XP_004245405.1	0	119	1		
NC_015445.3	XP_010324918.1	0	116	1		
NC_015441.3	XP_004236611.1	0	59	1		
NC_090803.1	XP_025886659.2	22	0	1		
NC_015447.3	XP_004248183.1	0	144	1		
NC_090811.1	XP_004251559.1	51	0	1		
NC_090805.1	XP_004241055.1	27	0	1		
NC_015438.3	XP_025887455.1	0	5	1		
NC_090807.1	XP_004244522.1	35	0	1		
NC_015442.3	XP_004238883.1	0	73	1		
NC_090800.1	XP_004229772.1	4	0	1		
NC_015438.3	XP_019069734.1	0	3	1		
NC_090811.1	XP_069148360.1	54	0	1		
NC_015448.3	XP_010313179.1	0	169	1		
NC_015449.3	XP_010314289.1	0	188	1		
NC_090800.1	XP_019070864.2	3	0	1		
NC_090800.1	XP_019069258.1	1	0	1		
NC_090804.1	XP_010320588.1	26	0	1		
NC_015449.3	XP_004252810.1	0	194	1		
NC_090800.1	XP_019069263.1	1	0	1		
NC_090800.1	XP_069143270.1	4	0	1		
NC_015440.3	XP_025885873.1	0	52	1		
NC_090800.1	XP_004230563.1	8	0	1		
NC_015446.3	XP_004246536.1	0	136	1		
NC_015442.3	XP_004238732.1	0	70	1		
NC_015441.3	XP_004238248.1	0	67	1		
NC_090811.1	XP_010314314.1	52	0	1		
NC_090807.1	XP_004245720.2	37	0	1		
NC_015449.3	XP_019066868.2	0	186	1		
NC_015444.3	XP_010324071.1	0	104	1		
NC_015448.3	XP_019066460.1	0	169	1		
NC_015439.3	XP_004231554.1	0	22	1		
NC_015440.3	XP_025885872.1	0	52	1		
NC_090806.1	NP_001317632.1	32	0	1		
NC_015446.3	XP_010326196.1	0	138	1		
NC_015449.3	XP_019066933.1	0	185	1		
NC_015444.3	XP_004242717.1	0	101	1		
NC_015443.3	XP_004240753.1	0	85	1		
NC_090809.1	XP_004249638.1	47	0	1		
NC_090801.1	XP_004232634.1	14	0	1		
NC_090804.1	XP_010320568.1	26	0	1		
NC_090805.1	XP_004241296.1	31	0	1		
NC_090809.1	XP_004249602.1	46	0	1		
NC_090811.1	XP_004253177.1	55	0	1		
NC_090808.1	NP_001238799.2	41	0	1		
NC_015445.3	XP_004245468.1	0	131	1		
NC_090800.1	XP_069155724.1	3	0	1		
NC_090800.1	XP_025887634.2	6	0	1		
NC_090802.1	XP_004234497.2	17	0	1		
NC_015448.3	XP_004251388.1	0	173	1		
NC_015449.3	XP_004252534.1	0	193	1		
NC_090800.1	XP_010323150.1	3	0	1		
NC_015444.3	XP_004243854.1	0	109	1		
