potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_056032.1_cds_XP_042047266.1_195_lcl|NC_056032.1_cds_XP_042047266.1_195_1;lcl|NC_056032.1_cds_XP_042047267.1_196_lcl|NC_056032.1_cds_XP_042047267.1_196_1;lcl|NC_056032.1_cds_XP_042047268.1_197_lcl|NC_056032.1_cds_XP_042047268.1_197_1	XP_042047266.1;XP_042047267.1;XP_042047268.1
2	lcl|NC_056032.1_cds_XP_042062864.1_207_lcl|NC_056032.1_cds_XP_042062864.1_207_1;lcl|NC_056032.1_cds_XP_042062830.1_208_lcl|NC_056032.1_cds_XP_042062830.1_208_1;lcl|NC_056032.1_cds_XP_042062844.1_209_lcl|NC_056032.1_cds_XP_042062844.1_209_1	XP_042062830.1;XP_042062844.1;XP_042062864.1
3	lcl|NC_056032.1_cds_XP_042047333.1_275_lcl|NC_056032.1_cds_XP_042047333.1_275_1;lcl|NC_056032.1_cds_XP_042047355.1_276_lcl|NC_056032.1_cds_XP_042047355.1_276_1;lcl|NC_056032.1_cds_XP_042047346.1_277_lcl|NC_056032.1_cds_XP_042047346.1_277_1;lcl|NC_056032.1_cds_XP_042047363.1_278_lcl|NC_056032.1_cds_XP_042047363.1_278_1	XP_042047333.1;XP_042047346.1;XP_042047355.1;XP_042047363.1
4	lcl|NC_056032.1_cds_XP_042047532.1_352_lcl|NC_056032.1_cds_XP_042047532.1_352_1;lcl|NC_056032.1_cds_XP_042063672.1_353_lcl|NC_056032.1_cds_XP_042063672.1_353_1;lcl|NC_056032.1_cds_XP_042047543.1_354_lcl|NC_056032.1_cds_XP_042047543.1_354_1	XP_042047532.1;XP_042047543.1;XP_042063672.1
5	lcl|NC_056032.1_cds_XP_042047818.1_492_lcl|NC_056032.1_cds_XP_042047818.1_492_1;lcl|NC_056032.1_cds_XP_042047824.1_493_lcl|NC_056032.1_cds_XP_042047824.1_493_1;lcl|NC_056032.1_cds_XP_042064389.1_494_lcl|NC_056032.1_cds_XP_042064389.1_494_1;lcl|NC_056032.1_cds_XP_042064376.1_495_lcl|NC_056032.1_cds_XP_042064376.1_495_1	XP_042047818.1;XP_042047824.1;XP_042064376.1;XP_042064389.1
6	lcl|NC_056032.1_cds_XP_042059668.1_615_lcl|NC_056032.1_cds_XP_042059668.1_615_1;lcl|NC_056032.1_cds_XP_042009107.1_616_lcl|NC_056032.1_cds_XP_042009107.1_616_1;lcl|NC_056032.1_cds_XP_042048029.1_618_lcl|NC_056032.1_cds_XP_042048029.1_618_1	XP_042009107.1;XP_042048029.1;XP_042059668.1
7	lcl|NC_056032.1_cds_XP_042065313.1_633_lcl|NC_056032.1_cds_XP_042065313.1_633_1;lcl|NC_056032.1_cds_XP_042065300.1_634_lcl|NC_056032.1_cds_XP_042065300.1_634_1;lcl|NC_056032.1_cds_XP_042048055.1_636_lcl|NC_056032.1_cds_XP_042048055.1_636_1	XP_042048055.1;XP_042065300.1;XP_042065313.1
8	lcl|NC_056032.1_cds_XP_042066288.1_844_lcl|NC_056032.1_cds_XP_042066288.1_844_1;lcl|NC_056032.1_cds_XP_042066348.1_845_lcl|NC_056032.1_cds_XP_042066348.1_845_1;lcl|NC_056032.1_cds_XP_042066338.1_846_lcl|NC_056032.1_cds_XP_042066338.1_846_1;lcl|NC_056032.1_cds_XP_042048619.1_847_lcl|NC_056032.1_cds_XP_042048619.1_847_2	XP_042048619.1;XP_042066288.1;XP_042066338.1;XP_042066348.1
9	lcl|NC_056032.1_cds_XP_042066677.1_910_lcl|NC_056032.1_cds_XP_042066677.1_910_1;lcl|NC_056032.1_cds_XP_042048857.1_911_lcl|NC_056032.1_cds_XP_042048857.1_911_1;lcl|NC_056032.1_cds_XP_042048850.1_912_lcl|NC_056032.1_cds_XP_042048850.1_912_1	XP_042048850.1;XP_042048857.1;XP_042066677.1
10	lcl|NC_056032.1_cds_XP_042048975.1_944_lcl|NC_056032.1_cds_XP_042048975.1_944_1;lcl|NC_056032.1_cds_XP_042066874.1_945_lcl|NC_056032.1_cds_XP_042066874.1_945_1;lcl|NC_056032.1_cds_XP_041992782.1_946_lcl|NC_056032.1_cds_XP_041992782.1_946_1	XP_041992782.1;XP_042048975.1;XP_042066874.1
11	lcl|NC_056032.1_cds_XP_042049013.1_951_lcl|NC_056032.1_cds_XP_042049013.1_951_1;lcl|NC_056032.1_cds_XP_042060648.1_952_lcl|NC_056032.1_cds_XP_042060648.1_952_1;lcl|NC_056032.1_cds_XP_042049032.1_953_lcl|NC_056032.1_cds_XP_042049032.1_953_1	XP_042049013.1;XP_042049032.1;XP_042060648.1
12	lcl|NC_056032.1_cds_XP_042049525.1_1173_lcl|NC_056032.1_cds_XP_042049525.1_1173_1;lcl|NC_056032.1_cds_XP_042060212.1_1174_lcl|NC_056032.1_cds_XP_042060212.1_1174_1;lcl|NC_056032.1_cds_XP_042002478.1_1176_lcl|NC_056032.1_cds_XP_042002478.1_1176_1	XP_042002478.1;XP_042049525.1;XP_042060212.1
13	lcl|NC_056032.1_cds_XP_042068477.1_1249_lcl|NC_056032.1_cds_XP_042068477.1_1249_1;lcl|NC_056032.1_cds_XP_042068466.1_1250_lcl|NC_056032.1_cds_XP_042068466.1_1250_1;lcl|NC_056032.1_cds_XP_042068490.1_1251_lcl|NC_056032.1_cds_XP_042068490.1_1251_1	XP_042068466.1;XP_042068477.1;XP_042068490.1
14	lcl|NC_056032.1_cds_XP_042059684.1_1370_lcl|NC_056032.1_cds_XP_042059684.1_1370_1;lcl|NC_056032.1_cds_XP_041990083.1_1371_lcl|NC_056032.1_cds_XP_041990083.1_1371_1;lcl|NC_056032.1_cds_XP_042049972.1_1372_lcl|NC_056032.1_cds_XP_042049972.1_1372_1	XP_041990083.1;XP_042049972.1;XP_042059684.1
15	lcl|NC_056032.1_cds_XP_042050786.1_1614_lcl|NC_056032.1_cds_XP_042050786.1_1614_1;lcl|NC_056032.1_cds_XP_042058655.1_1615_lcl|NC_056032.1_cds_XP_042058655.1_1615_1;lcl|NC_056032.1_cds_XP_042059977.1_1618_lcl|NC_056032.1_cds_XP_042059977.1_1618_1	XP_042050786.1;XP_042058655.1;XP_042059977.1
