potentialBGC,protein_ids,Gene cluster gene accessions
1,lcl|NC_027748.1_cds_XP_013617976.1_15;lcl|NC_027748.1_cds_XP_013617976.1_15_1;lcl|NC_027748.1_cds_XP_013593397.1_16;lcl|NC_027748.1_cds_XP_013593397.1_16_1;lcl|NC_027748.1_cds_XP_013622363.1_17;lcl|NC_027748.1_cds_XP_013622363.1_17_1,XP_013617976.1;XP_013617976.1;XP_013593397.1;XP_013593397.1;XP_013622363.1;XP_013622363.1
2,lcl|NC_027748.1_cds_XP_013622394.1_62;lcl|NC_027748.1_cds_XP_013622394.1_62_1;lcl|NC_027748.1_cds_XP_013602439.1_63;lcl|NC_027748.1_cds_XP_013602439.1_63_1;lcl|NC_027748.1_cds_XP_013602527.1_64;lcl|NC_027748.1_cds_XP_013602527.1_64_1,XP_013622394.1;XP_013622394.1;XP_013602439.1;XP_013602439.1;XP_013602527.1;XP_013602527.1
3,lcl|NC_027748.1_cds_XP_013639186.1_260;lcl|NC_027748.1_cds_XP_013639186.1_260_1;lcl|NC_027748.1_cds_XP_013584214.1_261;lcl|NC_027748.1_cds_XP_013584214.1_261_1;lcl|NC_027748.1_cds_XP_013622725.1_263;lcl|NC_027748.1_cds_XP_013622725.1_263_1,XP_013639186.1;XP_013639186.1;XP_013584214.1;XP_013584214.1;XP_013622725.1;XP_013622725.1
4,lcl|NC_027748.1_cds_XP_013597596.1_332;lcl|NC_027748.1_cds_XP_013597596.1_332_1;lcl|NC_027748.1_cds_XP_013639638.1_333;lcl|NC_027748.1_cds_XP_013639638.1_333_1;lcl|NC_027748.1_cds_XP_013622853.1_334;lcl|NC_027748.1_cds_XP_013622853.1_334_1,XP_013597596.1;XP_013597596.1;XP_013639638.1;XP_013639638.1;XP_013622853.1;XP_013622853.1
5,lcl|NC_027748.1_cds_XP_013591234.1_503;lcl|NC_027748.1_cds_XP_013591234.1_503_1;lcl|NC_027748.1_cds_XP_013601224.1_507;lcl|NC_027748.1_cds_XP_013601224.1_507_1;lcl|NC_027748.1_cds_XP_013619783.1_508;lcl|NC_027748.1_cds_XP_013619783.1_508_2,XP_013591234.1;XP_013591234.1;XP_013601224.1;XP_013601224.1;XP_013619783.1;XP_013619783.1
6,lcl|NC_027748.1_cds_XP_013585391.1_893;lcl|NC_027748.1_cds_XP_013585391.1_893_1;lcl|NC_027748.1_cds_XP_013602499.1_894;lcl|NC_027748.1_cds_XP_013602499.1_894_1;lcl|NC_027748.1_cds_XP_013602506.1_895;lcl|NC_027748.1_cds_XP_013602506.1_895_1,XP_013585391.1;XP_013585391.1;XP_013602499.1;XP_013602499.1;XP_013602506.1;XP_013602506.1
7,lcl|NC_027748.1_cds_XP_013636451.1_905;lcl|NC_027748.1_cds_XP_013636451.1_905_1;lcl|NC_027748.1_cds_XP_013598392.1_906;lcl|NC_027748.1_cds_XP_013598392.1_906_1;lcl|NC_027748.1_cds_XP_013616613.1_907;lcl|NC_027748.1_cds_XP_013616613.1_907_1,XP_013636451.1;XP_013636451.1;XP_013598392.1;XP_013598392.1;XP_013616613.1;XP_013616613.1
8,lcl|NC_027748.1_cds_XP_013621892.1_1733;lcl|NC_027748.1_cds_XP_013621892.1_1733_1;lcl|NC_027748.1_cds_XP_013589140.1_1734;lcl|NC_027748.1_cds_XP_013589140.1_1734_1;lcl|NC_027748.1_cds_XP_013638149.1_1735;lcl|NC_027748.1_cds_XP_013638149.1_1735_1,XP_013621892.1;XP_013621892.1;XP_013589140.1;XP_013589140.1;XP_013638149.1;XP_013638149.1
9,lcl|NC_027748.1_cds_XP_013619773.1_1842;lcl|NC_027748.1_cds_XP_013619773.1_1842_1;lcl|NC_027748.1_cds_XP_013609490.1_1843;lcl|NC_027748.1_cds_XP_013609490.1_1843_1;lcl|NC_027748.1_cds_XP_013589077.1_1844;lcl|NC_027748.1_cds_XP_013589077.1_1844_1,XP_013619773.1;XP_013619773.1;XP_013609490.1;XP_013609490.1;XP_013589077.1;XP_013589077.1
10,lcl|NC_027748.1_cds_XP_013625693.1_2176;lcl|NC_027748.1_cds_XP_013625693.1_2176_1;lcl|NC_027748.1_cds_XP_013625703.1_2177;lcl|NC_027748.1_cds_XP_013625703.1_2177_1;lcl|NC_027748.1_cds_XP_013589242.1_2178;lcl|NC_027748.1_cds_XP_013589242.1_2178_1,XP_013625693.1;XP_013625693.1;XP_013625703.1;XP_013625703.1;XP_013589242.1;XP_013589242.1
11,lcl|NC_027748.1_cds_XP_013600792.1_2413;lcl|NC_027748.1_cds_XP_013600792.1_2413_1;lcl|NC_027748.1_cds_XP_013600800.1_2414;lcl|NC_027748.1_cds_XP_013600800.1_2414_1;lcl|NC_027748.1_cds_XP_013626247.1_2415;lcl|NC_027748.1_cds_XP_013626247.1_2415_1,XP_013600792.1;XP_013600792.1;XP_013600800.1;XP_013600800.1;XP_013626247.1;XP_013626247.1
12,lcl|NC_027748.1_cds_XP_013601020.1_2458;lcl|NC_027748.1_cds_XP_013601020.1_2458_1;lcl|NC_027748.1_cds_XP_013601027.1_2459;lcl|NC_027748.1_cds_XP_013601027.1_2459_1;lcl|NC_027748.1_cds_XP_013601012.1_2460;lcl|NC_027748.1_cds_XP_013601012.1_2460_1,XP_013601020.1;XP_013601020.1;XP_013601027.1;XP_013601027.1;XP_013601012.1;XP_013601012.1
13,lcl|NC_027748.1_cds_XP_013627655.1_2879;lcl|NC_027748.1_cds_XP_013627655.1_2879_1;lcl|NC_027748.1_cds_XP_013602347.1_2880;lcl|NC_027748.1_cds_XP_013602347.1_2880_1;lcl|NC_027748.1_cds_XP_013586880.1_2883;lcl|NC_027748.1_cds_XP_013586880.1_2883_1;lcl|NC_027748.1_cds_XP_013592085.1_2884;lcl|NC_027748.1_cds_XP_013592085.1_2884_1,XP_013627655.1;XP_013627655.1;XP_013602347.1;XP_013602347.1;XP_013586880.1;XP_013586880.1;XP_013592085.1;XP_013592085.1
14,lcl|NC_027748.1_cds_XP_013627674.1_2902;lcl|NC_027748.1_cds_XP_013627674.1_2902_1;lcl|NC_027748.1_cds_XP_013639073.1_2903;lcl|NC_027748.1_cds_XP_013639073.1_2903_1;lcl|NC_027748.1_cds_XP_013627722.1_2904;lcl|NC_027748.1_cds_XP_013627722.1_2904_1,XP_013627674.1;XP_013627674.1;XP_013639073.1;XP_013639073.1;XP_013627722.1;XP_013627722.1
15,lcl|NC_027748.1_cds_XP_013608457.1_3105;lcl|NC_027748.1_cds_XP_013608457.1_3105_1;lcl|NC_027748.1_cds_XP_013614458.1_3106;lcl|NC_027748.1_cds_XP_013614458.1_3106_1;lcl|NC_027748.1_cds_XP_013586777.1_3107;lcl|NC_027748.1_cds_XP_013586777.1_3107_1,XP_013608457.1;XP_013608457.1;XP_013614458.1;XP_013614458.1;XP_013586777.1;XP_013586777.1
16,lcl|NC_027748.1_cds_XP_013606791.1_3117;lcl|NC_027748.1_cds_XP_013606791.1_3117_1;lcl|NC_027748.1_cds_XP_013606807.1_3118;lcl|NC_027748.1_cds_XP_013606807.1_3118_1;lcl|NC_027748.1_cds_XP_013606799.1_3119;lcl|NC_027748.1_cds_XP_013606799.1_3119_1;lcl|NC_027748.1_cds_XP_013606815.1_3120;lcl|NC_027748.1_cds_XP_013606815.1_3120_1;lcl|NC_027748.1_cds_XP_013618537.1_3121;lcl|NC_027748.1_cds_XP_013618537.1_3121_1,XP_013606791.1;XP_013606791.1;XP_013606807.1;XP_013606807.1;XP_013606799.1;XP_013606799.1;XP_013606815.1;XP_013606815.1;XP_013618537.1;XP_013618537.1
17,lcl|NC_027748.1_cds_XP_013631541.1_3640;lcl|NC_027748.1_cds_XP_013631541.1_3640_1;lcl|NC_027748.1_cds_XP_013631555.1_3641;lcl|NC_027748.1_cds_XP_013631555.1_3641_1;lcl|NC_027748.1_cds_XP_013631585.1_3643;lcl|NC_027748.1_cds_XP_013631585.1_3643_1;lcl|NC_027748.1_cds_XP_013618667.1_3645;lcl|NC_027748.1_cds_XP_013618667.1_3645_1;lcl|NC_027748.1_cds_XP_013606666.1_3646;lcl|NC_027748.1_cds_XP_013606666.1_3646_1,XP_013631541.1;XP_013631541.1;XP_013631555.1;XP_013631555.1;XP_013631585.1;XP_013631585.1;XP_013618667.1;XP_013618667.1;XP_013606666.1;XP_013606666.1
18,lcl|NC_027748.1_cds_XP_013609362.1_3754;lcl|NC_027748.1_cds_XP_013609362.1_3754_1;lcl|NC_027748.1_cds_XP_013632173.1_3755;lcl|NC_027748.1_cds_XP_013632173.1_3755_1;lcl|NC_027748.1_cds_XP_013589284.1_3756;lcl|NC_027748.1_cds_XP_013589284.1_3756_1,XP_013609362.1;XP_013609362.1;XP_013632173.1;XP_013632173.1;XP_013589284.1;XP_013589284.1
19,lcl|NC_027748.1_cds_XP_013610344.1_3948;lcl|NC_027748.1_cds_XP_013610344.1_3948_1;lcl|NC_027748.1_cds_XP_013632654.1_3949;lcl|NC_027748.1_cds_XP_013632654.1_3949_1;lcl|NC_027748.1_cds_XP_013608336.1_3950;lcl|NC_027748.1_cds_XP_013608336.1_3950_1,XP_013610344.1;XP_013610344.1;XP_013632654.1;XP_013632654.1;XP_013608336.1;XP_013608336.1
20,lcl|NC_027748.1_cds_XP_013632911.1_4087;lcl|NC_027748.1_cds_XP_013632911.1_4087_1;lcl|NC_027748.1_cds_XP_013632919.1_4088;lcl|NC_027748.1_cds_XP_013632919.1_4088_1;lcl|NC_027748.1_cds_XP_013610846.1_4089;lcl|NC_027748.1_cds_XP_013610846.1_4089_1,XP_013632911.1;XP_013632911.1;XP_013632919.1;XP_013632919.1;XP_013610846.1;XP_013610846.1
21,lcl|NC_027748.1_cds_XP_013609528.1_4188;lcl|NC_027748.1_cds_XP_013609528.1_4188_1;lcl|NC_027748.1_cds_XP_013620075.1_4189;lcl|NC_027748.1_cds_XP_013620075.1_4189_1;lcl|NC_027748.1_cds_XP_013633179.1_4190;lcl|NC_027748.1_cds_XP_013633179.1_4190_1,XP_013609528.1;XP_013609528.1;XP_013620075.1;XP_013620075.1;XP_013633179.1;XP_013633179.1
22,lcl|NC_027748.1_cds_XP_013610196.1_4334;lcl|NC_027748.1_cds_XP_013610196.1_4334_1;lcl|NC_027748.1_cds_XP_013633493.1_4335;lcl|NC_027748.1_cds_XP_013633493.1_4335_1;lcl|NC_027748.1_cds_XP_013633505.1_4336;lcl|NC_027748.1_cds_XP_013633505.1_4336_1,XP_013610196.1;XP_013610196.1;XP_013633493.1;XP_013633493.1;XP_013633505.1;XP_013633505.1
23,lcl|NC_027748.1_cds_XP_013611066.1_4535;lcl|NC_027748.1_cds_XP_013611066.1_4535_1;lcl|NC_027748.1_cds_XP_013611090.1_4536;lcl|NC_027748.1_cds_XP_013611090.1_4536_1;lcl|NC_027748.1_cds_XP_013619861.1_4537;lcl|NC_027748.1_cds_XP_013619861.1_4537_1,XP_013611066.1;XP_013611066.1;XP_013611090.1;XP_013611090.1;XP_013619861.1;XP_013619861.1
24,lcl|NC_027748.1_cds_XP_013635280.1_5160;lcl|NC_027748.1_cds_XP_013635280.1_5160_1;lcl|NC_027748.1_cds_XP_013637829.1_5161;lcl|NC_027748.1_cds_XP_013637829.1_5161_1;lcl|NC_027748.1_cds_XP_013629240.1_5162;lcl|NC_027748.1_cds_XP_013629240.1_5162_1;lcl|NC_027748.1_cds_XP_013622332.1_5164;lcl|NC_027748.1_cds_XP_013622332.1_5164_1;lcl|NC_027748.1_cds_XP_013629131.1_5165;lcl|NC_027748.1_cds_XP_013629131.1_5165_1,XP_013635280.1;XP_013635280.1;XP_013637829.1;XP_013637829.1;XP_013629240.1;XP_013629240.1;XP_013622332.1;XP_013622332.1;XP_013629131.1;XP_013629131.1
25,lcl|NC_027748.1_cds_XP_013592125.1_5345;lcl|NC_027748.1_cds_XP_013592125.1_5345_1;lcl|NC_027748.1_cds_XP_013586250.1_5346;lcl|NC_027748.1_cds_XP_013586250.1_5346_1;lcl|NC_027748.1_cds_XP_013637592.1_5347;lcl|NC_027748.1_cds_XP_013637592.1_5347_1;lcl|NC_027748.1_cds_XP_013637662.1_5348;lcl|NC_027748.1_cds_XP_013637662.1_5348_1,XP_013592125.1;XP_013592125.1;XP_013586250.1;XP_013586250.1;XP_013637592.1;XP_013637592.1;XP_013637662.1;XP_013637662.1
26,lcl|NC_027749.1_cds_XP_013620990.1_5383;lcl|NC_027749.1_cds_XP_013620990.1_5383_1;lcl|NC_027749.1_cds_XP_013620991.1_5384;lcl|NC_027749.1_cds_XP_013620991.1_5384_1;lcl|NC_027749.1_cds_XP_013620353.1_5385;lcl|NC_027749.1_cds_XP_013620353.1_5385_1;lcl|NC_027749.1_cds_XP_013620354.1_5386;lcl|NC_027749.1_cds_XP_013620354.1_5386_1,XP_013620990.1;XP_013620990.1;XP_013620991.1;XP_013620991.1;XP_013620353.1;XP_013620353.1;XP_013620354.1;XP_013620354.1
27,lcl|NC_027749.1_cds_XP_013618242.1_5429;lcl|NC_027749.1_cds_XP_013618242.1_5429_1;lcl|NC_027749.1_cds_XP_013618783.1_5430;lcl|NC_027749.1_cds_XP_013618783.1_5430_1;lcl|NC_027749.1_cds_XP_013618784.1_5431;lcl|NC_027749.1_cds_XP_013618784.1_5431_1,XP_013618242.1;XP_013618242.1;XP_013618783.1;XP_013618783.1;XP_013618784.1;XP_013618784.1
28,lcl|NC_027749.1_cds_XP_013621571.1_5721;lcl|NC_027749.1_cds_XP_013621571.1_5721_1;lcl|NC_027749.1_cds_XP_013621570.1_5722;lcl|NC_027749.1_cds_XP_013621570.1_5722_1;lcl|NC_027749.1_cds_XP_013620091.1_5723;lcl|NC_027749.1_cds_XP_013620091.1_5723_1,XP_013621571.1;XP_013621571.1;XP_013621570.1;XP_013621570.1;XP_013620091.1;XP_013620091.1
29,lcl|NC_027749.1_cds_XP_013616780.1_5885;lcl|NC_027749.1_cds_XP_013616780.1_5885_1;lcl|NC_027749.1_cds_XP_013619699.1_5886;lcl|NC_027749.1_cds_XP_013619699.1_5886_1;lcl|NC_027749.1_cds_XP_013621393.1_5887;lcl|NC_027749.1_cds_XP_013621393.1_5887_1,XP_013616780.1;XP_013616780.1;XP_013619699.1;XP_013619699.1;XP_013621393.1;XP_013621393.1
30,lcl|NC_027749.1_cds_XP_013618333.1_5976;lcl|NC_027749.1_cds_XP_013618333.1_5976_1;lcl|NC_027749.1_cds_XP_013616185.1_5977;lcl|NC_027749.1_cds_XP_013616185.1_5977_1;lcl|NC_027749.1_cds_XP_013613348.1_5978;lcl|NC_027749.1_cds_XP_013613348.1_5978_1,XP_013618333.1;XP_013618333.1;XP_013616185.1;XP_013616185.1;XP_013613348.1;XP_013613348.1
