potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Saccharide	19076714	19384975	308260	Prenyltransf, UDPGT_2, p450	-	NC_080041.1	LOC130731681;LOC13073_468;LOC130731684;LOC130734003;LOC13073_469;LOC130734002;LOC130734004;LOC130734005;LOC130729242;LOC130734007;LOC130734008;LOC130734009;LOC130729258;LOC130734010;LOC130734011;LOC130734013;LOC130734014;LOC13073_470;LOC13073_471;LOC130729266;LOC130734015;LOC130729275;LOC130731686	XP_057439925.1;XP_057439926.1;XP_057439928.1;XP_057442274.1;XP_057442275.1;XP_057442273.1;XP_057442276.1;XP_057442277.1;XP_057436904.1;XP_057442278.1;XP_057442279.1;XP_057442280.1;XP_057436930.1;XP_057442281.1;XP_057442282.1;XP_057442283.1;XP_057442284.1;XP_057442285.1;XP_057442286.1;XP_057436940.1;XP_057442287.1;XP_057436947.1;XP_057439929.1	
2	Saccharide	83902897	84001576	98680	Aminotran_1_2, Glycos_transf_2, SE	-	NC_080041.1	LOC130749016;LOC130723847;LOC130723855;LOC13072_116;LOC130723876;LOC130732136;LOC130723916;LOC130723903;LOC13072_117	XP_057458265.1;XP_057430971.1;XP_057430983.1;XP_057430989.1;XP_057431003.1;XP_057440229.1;XP_057431052.1;XP_057431032.1;XP_057431039.1	
3	Cyclopeptide	85549327	85902893	353570	BURP	-	NC_080041.1	LOC13072_160;LOC13072_161;LOC130725996;LOC13072_156;LOC13072_157;LOC13072_158;LOC13072_159;LOC130726074;LOC130749815;LOC130732156;LOC130732158;LOC130726140;LOC130726202;LOC130732159;LOC130726236;LOC130726244;LOC130726228;LOC130726263;LOC130726274;LOC130709543;LOC130726321;LOC130726337;LOC130726355;LOC130709610;LOC130726363;LOC130726371;LOC130726400;LOC130726421;LOC130726446;LOC13072_162;LOC130726484;LOC130726472;LOC130709657;LOC130709703;LOC130726602	XP_057433216.1;XP_057433224.1;XP_057433182.1;XP_057433191.1;XP_057433196.1;XP_057433202.1;XP_057433208.1;XP_057433279.1;XP_057459171.1;XP_057440248.1;XP_057440249.1;XP_057433355.1;XP_057433418.1;XP_057440250.1;XP_057433458.1;XP_057433466.1;XP_057433449.1;XP_057433496.1;XP_057433506.1;XP_057414914.1;XP_057433556.1;XP_057433575.1;XP_057433596.1;XP_057414947.1;XP_057433606.1;XP_057433615.1;XP_057433643.1;XP_057433660.1;XP_057433691.1;XP_057433697.1;XP_057433746.1;XP_057433739.1;XP_057414948.1;XP_057414950.1;XP_057433893.1	
4	Cyclopeptide	87841941	88469774	627830	BURP	-	NC_080041.1	LOC130727482;LOC13072_233;LOC13072_234;LOC13072_235;LOC130727483;LOC130727484;LOC130727487;LOC130727485;LOC130710502;LOC130710517;LOC130710539;LOC130710563;LOC130727492;LOC130727493;LOC130710571;LOC130727494;LOC130732182;LOC130727496;LOC130727497;LOC130727498;LOC130727500;LOC13072_236;LOC130727501;LOC130710592;LOC130727502;LOC130727503;LOC13072_237;LOC13072_238;LOC13072_239;LOC13072_240;LOC130727504;LOC130732183;LOC130727506;LOC130727508;LOC130727509;LOC130732184;LOC130732186;LOC130727510;LOC130732187;LOC130727511;LOC130727512;LOC130727513;LOC130727514;LOC130727515;LOC13072_241;LOC13072_242;LOC130727516;LOC13072_243	XP_057434611.1;XP_057434612.1;XP_057434613.1;XP_057434614.1;XP_057434615.1;XP_057434616.1;XP_057434618.1;XP_057434617.1;XP_057415782.1;XP_057415800.1;XP_057415831.1;XP_057415858.1;XP_057434620.1;XP_057434621.1;XP_057415868.1;XP_057434622.1;XP_057440270.1;XP_057434623.1;XP_057434624.1;XP_057434625.1;XP_057434627.1;XP_057434628.1;XP_057434629.1;XP_057415905.1;XP_057434630.1;XP_057434631.1;XP_057434632.1;XP_057434633.1;XP_057434634.1;XP_057434635.1;XP_057434636.1;XP_057440271.1;XP_057434637.1;XP_057434639.1;XP_057434640.1;XP_057440272.1;XP_057440273.1;XP_057434641.1;XP_057440274.1;XP_057434642.1;XP_057434643.1;XP_057434644.1;XP_057434645.1;XP_057434646.1;XP_057434647.1;XP_057434648.1;XP_057434650.1;XP_057434649.1	
5	Lignan	94679909	94773161	93250	Aldo_ket_red, Dirigent, Methyltransf_11	-	NC_080041.1	LOC130712863;LOC130728002;LOC130732257;LOC130728003;LOC130728004;LOC130712877;LOC130728006;LOC130732258;LOC130732259;LOC13073_991;LOC130728007;LOC130728008;LOC130712889	XP_057418662.1;XP_057435304.1;XP_057440329.1;XP_057435305.1;XP_057435306.1;XP_057418678.1;XP_057435307.1;XP_057440330.1;XP_057440331.1;XP_057440332.1;XP_057435308.1;XP_057435309.1;XP_057418691.1	
6	Saccharide	98199972	98278430	78460	Glycos_transf_1, adh_short, adh_short_C2, polyprenyl_synt	-	NC_080041.1	LOC130728218;LOC130714370;LOC130732308;LOC130728219;LOC13072_558;LOC13072_559;LOC130728220;LOC13072_560;LOC13072_561;LOC130728222;LOC130728223;LOC130728225;LOC130728224;LOC130728226;LOC130728228;LOC130728227	XP_057435586.1;XP_057420256.1;XP_057440365.1;XP_057435587.1;XP_057435588.1;XP_057435589.1;XP_057435590.1;XP_057435591.1;XP_057435592.1;XP_057435593.1;XP_057435594.1;XP_057435596.1;XP_057435595.1;XP_057435597.1;XP_057435599.1;XP_057435598.1	
7	Fatty_acid	122689107	122790056	100950	CER1-like_C, FA_hydroxylase, Lycopene_cycl, Methyltransf_11	-	NC_080041.1	LOC130730090;LOC130730092;LOC130730093;LOC130730094;LOC13073_1034;LOC13073_1035;LOC130730095;LOC130730096;LOC130730097;LOC13073_1036;LOC130730098;LOC130730099	XP_057437965.1;XP_057437966.1;XP_057437967.1;XP_057437970.1;XP_057437969.1;XP_057437968.1;XP_057437971.1;XP_057437972.1;XP_057437974.1;XP_057437973.1;XP_057437975.1;XP_057437976.1	
8	Putative	123059825	123183797	123970	2OG-FeII_Oxy, Acetyltransf_1, DIOX_N, Epimerase	-	NC_080041.1	LOC130730116;LOC130730117;LOC130730118;LOC130723541;LOC130730121;LOC130730120;LOC130730122;LOC130730123;LOC13073_1053;LOC13073_1054;LOC130730124;LOC130730127;LOC130730126;LOC130730128;LOC13073_1055;LOC130723547;LOC130723564	XP_057438005.1;XP_057438006.1;XP_057438008.1;XP_057430603.1;XP_057438010.1;XP_057438009.1;XP_057438011.1;XP_057438012.1;XP_057438015.1;XP_057438014.1;XP_057438013.1;XP_057438017.1;XP_057438016.1;XP_057438019.1;XP_057438020.1;XP_057430633.1;XP_057430655.1	
9	Saccharide	125064381	125138099	73720	2OG-FeII_Oxy, DIOX_N, UDPGT_2	flavonoid-5, oleananes-5	NC_080041.1	LOC130730273;LOC130732617;LOC130730274;LOC130730276;LOC130730281;LOC130730280;LOC130730279;LOC130730282;LOC130730283;LOC130730284;LOC130730286;LOC13073_1124;LOC130730287	XP_057438220.1;XP_057440610.1;XP_057438221.1;XP_057438222.1;XP_057438225.1;XP_057438224.1;XP_057438223.1;XP_057438227.1;XP_057438228.1;XP_057438229.1;XP_057438230.1;XP_057438232.1;XP_057438231.1	
10	Alkaloid	14673619	14835072	161450	Bet_v_1, adh_short, p450	-	NC_080042.1	LOC130737648;LOC130737649;LOC130737650;LOC130736097;LOC130736098;LOC13073_1729;LOC130737651;LOC130736100;LOC130737652	XP_057445446.1;XP_057445447.1;XP_057445448.1;XP_057443929.1;XP_057443930.1;XP_057445449.1;XP_057445450.1;XP_057443931.1;XP_057445451.1	
