Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_079490.1	XP_056698772.1	0	83	1		
NC_079488.1	XP_021864655.1	9	0	1		
NC_079492.1	XP_056687914.1	30	0	1		
NC_079487.1	XP_021865541.1	0	27	1		
NC_079490.1	XP_056698178.1	20	0	1		
NC_079491.1	XP_021860565.1	0	87	1		
NC_079489.1	XP_021850350.1	0	58	1		
NC_079487.1	XP_021835294.1	3	0	1		
NC_079490.1	XP_021846778.1	22	0	1		
NC_079492.1	XP_021856066.1	27	128	2		
NC_079487.1	XP_021842810.1	6	0	1		
NC_079490.1	XP_021866811.1	20	0	1		
NC_079487.1	XP_021853506.1	0	4	1		
NC_079487.1	XP_021860142.1	8	0	1		
NC_079490.1	XP_056682670.1	19	0	1		
NC_079488.1	XP_056692381.1	9	0	1		
NC_079492.1	XP_021851793.1	28	0	1		
NC_079491.1	XP_021837858.1	0	96	1		
NC_079487.1	XP_056692119.1	0	11	1		
NC_079490.1	XP_021851320.1	0	74	1		
NC_079490.1	XP_021866828.1	20	0	1		
NC_079491.1	XP_021845330.1	0	98	1		
NC_079492.1	XP_021858570.2	34	0	1		
NC_079490.1	XP_021837738.1	20	0	1		
NC_079490.1	XP_021866823.1	20	0	1		
NC_079487.1	XP_021863449.2	7	0	1		
NC_079490.1	XP_021848310.2	23	0	1		
NC_079490.1	XP_021856029.1	19	0	1		
NC_079490.1	XP_021866830.1	20	0	1		
NC_079492.1	XP_021846621.1	26	0	1		
NC_079487.1	XP_021838330.2	0	3	1		
NC_079490.1	XP_056699149.1	0	81	1		
NC_079489.1	XP_021848981.1	0	60	1		
NC_079487.1	XP_021860135.1	8	0	1		
NC_079488.1	XP_056692380.1	9	0	1		
NC_079492.1	XP_021845487.1	32	0	1		
NC_079490.1	XP_056682663.1	19	0	1		
NC_079490.1	XP_056682662.1	19	0	1		
NC_079492.1	XP_021858562.1	34	0	1		
NC_079487.1	XP_021867312.2	4	0	1		
NC_079490.1	XP_021861374.1	20	0	1		
NC_079487.1	XP_021860144.1	8	0	1		
NC_079487.1	XP_021847511.1	0	27	1		
NC_079487.1	XP_056684882.1	0	27	1		
NC_079492.1	XP_021857255.1	0	111	1		
NC_079490.1	XP_021859075.1	19	0	1		
NC_079487.1	XP_021863465.2	7	0	1		
NC_079490.1	XP_056698118.1	20	0	1		
NC_079492.1	XP_056689847.1	26	0	1		
NC_079487.1	XP_021863049.1	0	15	1		
NC_079487.1	XP_056683952.1	7	0	1		
NC_079487.1	XP_021867104.1	5	0	1		
NC_079487.1	XP_021854215.2	3	0	1		
NC_079487.1	XP_021867274.1	5	0	1		
NC_079490.1	XP_021848227.1	0	76	1		
NC_079492.1	XP_056686681.1	27	0	1		
NC_079487.1	XP_021835144.1	4	0	1		
NC_079488.1	XP_021837997.2	9	0	1		
NC_079490.1	XP_021859078.1	19	0	1		
NC_079489.1	XP_056695193.1	0	53	1		
NC_079492.1	XP_021848016.2	0	112	1		
NC_079487.1	XP_021860129.1	8	0	1		
NC_079492.1	XP_056687388.1	0	110	1		
NC_079490.1	XP_021856034.1	19	0	1		
NC_079489.1	XP_021842280.2	16	0	1		
NC_079492.1	XP_021860879.1	0	116	1		
NC_079492.1	XP_056686676.1	27	0	1		
NC_079489.1	XP_021849221.1	0	46	1		
NC_079487.1	XP_021839689.1	1	0	1		
NC_079488.1	XP_021866864.1	0	40	1		
NC_079492.1	XP_021844520.2	0	123	1		
NC_079492.1	XP_021846644.1	0	126	1		
NC_079487.1	XP_021863486.1	7	0	1		
NC_079490.1	XP_021856028.1	19	0	1		
NC_079487.1	XP_021838559.1	0	12	1		
NC_079490.1	XP_056698550.1	20	0	1		
NC_079491.1	XP_056685572.1	25	0	1		
NC_079489.1	XP_056695625.1	15	0	1		
NC_079491.1	XP_021860532.2	0	87	1		
NC_079490.1	XP_056698131.1	20	0	1		
NC_079492.1	XP_021863240.1	0	125	1		
NC_079492.1	XP_021855938.1	0	129	1		
NC_079492.1	XP_056688930.1	0	121	1		
NC_079487.1	XP_056693066.1	3	0	1		
NC_079487.1	XP_021867318.2	4	0	1		
NC_079492.1	XP_021844479.1	0	124	1		
NC_079487.1	XP_056699276.1	4	0	1		
NC_079490.1	XP_056682675.1	19	0	1		
NC_079490.1	XP_021837737.1	20	0	1		
NC_079487.1	XP_021835165.1	4	21	2		
NC_079488.1	XP_021850495.1	0	34	1		
NC_079489.1	XP_021861414.1	15	0	1		
NC_079487.1	XP_021834961.2	5	0	1		
NC_079488.1	XP_021845032.1	12	0	1		
NC_079488.1	XP_021849461.1	10	0	1		
NC_079491.1	XP_021856674.2	25	0	1		
NC_079487.1	XP_021834918.1	5	22	2		
NC_079488.1	XP_021839522.1	9	0	1		
NC_079492.1	XP_021845119.1	33	0	1		
NC_079488.1	XP_056693612.1	0	37	1		
NC_079490.1	XP_021844971.1	0	73	1		
NC_079492.1	XP_056687532.1	0	109	1		
NC_079487.1	XP_021835220.1	0	1	1		
