potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_050096.1_cds_NP_001170696.1_179_lcl|NC_050096.1_cds_NP_001170696.1_179_1;lcl|NC_050096.1_cds_NP_001144019.1_180_lcl|NC_050096.1_cds_NP_001144019.1_180_1;lcl|NC_050096.1_cds_XP_008650185.1_181_lcl|NC_050096.1_cds_XP_008650185.1_181_1	NP_001144019.1;NP_001170696.1;XP_008650185.1
2	lcl|NC_050096.1_cds_NP_001169654.1_235_lcl|NC_050096.1_cds_NP_001169654.1_235_1;lcl|NC_050096.1_cds_NP_001151098.1_236_lcl|NC_050096.1_cds_NP_001151098.1_236_1;lcl|NC_050096.1_cds_NP_001151102.1_238_lcl|NC_050096.1_cds_NP_001151102.1_238_1	NP_001151098.1;NP_001151102.1;NP_001169654.1
3	lcl|NC_050096.1_cds_NP_001149796.2_374_lcl|NC_050096.1_cds_NP_001149796.2_374_1;lcl|NC_050096.1_cds_NP_001131331.2_375_lcl|NC_050096.1_cds_NP_001131331.2_375_1;lcl|NC_050096.1_cds_NP_001151202.2_376_lcl|NC_050096.1_cds_NP_001151202.2_376_1	NP_001131331.2;NP_001149796.2;NP_001151202.2
4	lcl|NC_050096.1_cds_NP_001357668.1_770_lcl|NC_050096.1_cds_NP_001357668.1_770_1;lcl|NC_050096.1_cds_NP_001152530.2_771_lcl|NC_050096.1_cds_NP_001152530.2_771_1;lcl|NC_050096.1_cds_XP_008651532.1_772_lcl|NC_050096.1_cds_XP_008651532.1_772_1	NP_001152530.2;NP_001357668.1;XP_008651532.1
5	lcl|NC_050096.1_cds_XP_008651745.1_833_lcl|NC_050096.1_cds_XP_008651745.1_833_1;lcl|NC_050096.1_cds_XP_008651749.1_834_lcl|NC_050096.1_cds_XP_008651749.1_834_1;lcl|NC_050096.1_cds_NP_001169239.1_835_lcl|NC_050096.1_cds_NP_001169239.1_835_1;lcl|NC_050096.1_cds_NP_001152297.2_836_lcl|NC_050096.1_cds_NP_001152297.2_836_1	NP_001152297.2;NP_001169239.1;XP_008651745.1;XP_008651749.1
6	lcl|NC_050096.1_cds_XP_008653576.1_1430_lcl|NC_050096.1_cds_XP_008653576.1_1430_1;lcl|NC_050096.1_cds_XP_020401459.1_1431_lcl|NC_050096.1_cds_XP_020401459.1_1431_1;lcl|NC_050096.1_cds_NP_001333639.1_1432_lcl|NC_050096.1_cds_NP_001333639.1_1432_1	NP_001333639.1;XP_008653576.1;XP_020401459.1
7	lcl|NC_050096.1_cds_NP_001148853.2_1438_lcl|NC_050096.1_cds_NP_001148853.2_1438_1;lcl|NC_050096.1_cds_NP_001143812.2_1439_lcl|NC_050096.1_cds_NP_001143812.2_1439_1;lcl|NC_050096.1_cds_NP_001131979.1_1440_lcl|NC_050096.1_cds_NP_001131979.1_1440_1	NP_001131979.1;NP_001143812.2;NP_001148853.2
8	lcl|NC_050096.1_cds_NP_001149913.1_1847_lcl|NC_050096.1_cds_NP_001149913.1_1847_1;lcl|NC_050096.1_cds_NP_001131888.1_1848_lcl|NC_050096.1_cds_NP_001131888.1_1848_1;lcl|NC_050096.1_cds_NP_001150334.1_1849_lcl|NC_050096.1_cds_NP_001150334.1_1849_1	NP_001131888.1;NP_001149913.1;NP_001150334.1
9	lcl|NC_050096.1_cds_NP_001148282.2_2304_lcl|NC_050096.1_cds_NP_001148282.2_2304_1;lcl|NC_050096.1_cds_NP_001105229.2_2305_lcl|NC_050096.1_cds_NP_001105229.2_2305_1;lcl|NC_050096.1_cds_XP_008648471.1_2306_lcl|NC_050096.1_cds_XP_008648471.1_2306_1	NP_001105229.2;NP_001148282.2;XP_008648471.1
10	lcl|NC_050096.1_cds_XP_035816212.1_2666_lcl|NC_050096.1_cds_XP_035816212.1_2666_1;lcl|NC_050096.1_cds_XP_008656797.1_2667_lcl|NC_050096.1_cds_XP_008656797.1_2667_1;lcl|NC_050096.1_cds_XP_035816214.1_2668_lcl|NC_050096.1_cds_XP_035816214.1_2668_2	XP_008656797.1;XP_035816212.1;XP_035816214.1
