potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Saccharide	869103	992527	123420	2OG-FeII_Oxy, DIOX_N, Glycos_transf_1, Prenyltransf	-	NW_006238934.1	LOC102579898;LOC102580223;LOC102595367;LOC102580547;LOC102581136;LOC10258_98;LOC102581796;LOC102581469;LOC102582123;LOC102582445;LOC102596037;LOC10259_130;LOC107060868;LOC102582787;LOC102583122;LOC102583453	XP_006338984.1;XP_006338985.1;XP_015166068.1;XP_006338986.1;XP_006338988.1;XP_015164817.1;XP_006338990.1;XP_006338989.1;XP_006338991.1;XP_006338992.1;XP_015164837.1;XP_015164832.1;XP_015164827.1;XP_006338993.1;XP_006338994.1;XP_006338995.1	
2	Terpene	1040108	1122515	82410	Methyltransf_11, PRISE, adh_short_C2	-	NW_006238936.1	LOC102587855;LOC102588181;LOC102588514;LOC107062187;LOC102588831;LOC102589154;LOC102589482	XP_006339457.1;XP_006339458.1;XP_006339459.1;XP_015168031.1;XP_006339460.1;XP_006339461.1;XP_006339462.1	
3	Saccharide	1566683	1841302	274620	ECH_2, Epimerase, Glycos_transf_1, adh_short, adh_short_C2, p450	-	NW_006238936.1	LOC102605679;LOC102606010;LOC107062274;LOC102603562;LOC102603899;LOC107062205;LOC102604235;LOC107062208;LOC102606353;LOC102604897;LOC102605237;LOC102605569;LOC102606245;LOC102578256;LOC10260_119;LOC102578925;LOC107057723;LOC10257_39;LOC102579251;LOC102578924;LOC102578583;LOC102579573;LOC10257_40;LOC102580118;LOC10258_146;LOC10258_147;LOC102580897;LOC10258_148;LOC102581238;NAD-ME;NAD-ME_1;LOC107061804;LOC10706_3;LOC102579253;LOC102582452;LOC102582129;LOC107062218;LOC102582792	XP_006339515.1;XP_006339516.2;XP_015168206.1;XP_006339777.1;XP_006339778.1;XP_015168058.1;XP_006339779.2;XP_015168061.1;XP_015167091.1;XP_006339780.1;XP_006339781.1;XP_006339782.1;XP_006339784.2;XP_006339785.2;XP_006339517.1;XP_015168068.1;XP_015168076.1;XP_006339521.1;XP_015167108.1;XP_006339520.1;XP_006339519.1;XP_006339522.1;XP_006339523.1;XP_006339524.1;XP_006339525.1;XP_006339526.1;XP_006339527.1;XP_006339529.1;XP_006339528.1;XP_006339530.1;XP_015167129.1;XP_015167135.1;XP_015167137.1;XP_015167132.1;XP_006339532.1;XP_006339531.1;XP_015168084.1;XP_006339533.1	
4	Fatty_acid-Alkaloid	256321	794840	538520	Bet_v_1, FA_desaturase, Str_synth	-	NW_006238942.1	LOC102580669;LOC102581244;LOC10258_216;LOC102581806;LOC107063277	XP_006340100.1;XP_006340102.1;XP_006340103.1;XP_006340104.1;XP_015170412.1	
5	Alkaloid	1956217	2015249	59030	AMP-binding, Str_synth	-	NW_006238946.1	LOC102577835;LOC102605013;LOC102588958;LOC102589279;LOC102589606;LOC102589944	XP_006340818.1;XP_006340954.1;XP_006340819.1;XP_006340820.1;XP_006340821.2;XP_006340822.1	
6	Saccharide	1	1347571	1347570	Acetyltransf_1, Aminotran_1_2, Glyco_hydro_1	-	NW_006238951.1	LOC102587220;LOC102587543;LOC107059542;LOC102588841;LOC107059544;LOC102589167;LOC102583476;LOC10258_353;LOC102584466;LOC102584794;LOC107059545;LOC102589831	XP_006341337.1;XP_006341338.1;XP_015161608.1;XP_006341339.1;XP_015161609.1;XP_006341340.1;XP_006341328.1;XP_015161606.1;XP_006341329.1;XP_006341330.1;XP_015161611.1;XP_015161614.1	
7	Polyketide-Alkaloid	252280	374096	121820	AMP-binding, BBE, Chal_sti_synt_C, FAD_binding_4, Methyltransf_11	-	NW_006238958.1	LOC102596499;LOC102590716;LOC102591073;LOC102591408;LOC102591734;LOC102596836;LOC102597159;LOC102592072;LOC102592407;LOC102592745;LOC10259_477;LOC10259_478;LOC102593540;LOC102593859;LOC10259_479;LOC102594175;LOC107059675;LOC102594726	XP_015161884.1;XP_006341939.1;XP_006341940.1;XP_006341941.1;XP_006341942.1;XP_015161936.1;XP_006342218.1;XP_006341943.1;XP_006341944.1;XP_006341947.1;XP_006341946.1;XP_006341945.1;XP_006341948.1;XP_006341949.1;XP_006341951.1;XP_006341950.1;XP_015161937.1;XP_006341952.1	
8	Saccharide	124201	379239	255040	ADH_N, ADH_N_2, ADH_zinc_N, Transferase, UDPGT_2	carboxyl-2, hydroxycinnamate-2	NW_006238962.1	LOC102594838;LOC102592863;LOC102597811;LOC102598118;LOC102593207;LOC102593544;LOC107059738;LOC102594178;LOC102593862;LOC102594836;LOC102598447;LOC102598786;LOC102595175;LOC107059751;LOC102599442;LOC102599768;LOC102597492;LOC10259_521;LOC102596064;LOC10259_522;LOC102597808;LOC102598444;LOC102598783	XP_015162041.1;XP_015162042.1;XP_006342684.1;XP_006342685.1;XP_006342414.1;XP_006342415.1;XP_015162043.1;XP_006342417.1;XP_015162130.1;XP_015162044.1;XP_006342686.1;XP_006342687.1;XP_015162131.1;XP_015162132.1;XP_015162134.1;XP_015162045.1;XP_006342425.1;XP_006342423.1;XP_015162046.1;XP_006342422.1;XP_006342426.1;XP_006342427.1;XP_006342428.1	
9	Saccharide	2483757	2569250	85490	Glycos_transf_2, Peptidase_S10	-	NW_006238962.1	LOC102592528;LOC102584806;LOC102585123;LOC107059760;LOC107059761;LOC10705_14;LOC107059747;LOC102593638	XP_006342671.1;XP_015162152.1;XP_015162153.1;XP_015162154.1;XP_015162155.1;XP_015162124.1;XP_015162123.1;XP_006342672.1	
10	Alkaloid	549802	1331145	781340	AMP-binding, Str_synth, p450	-	NW_006238992.1	LOC102597617;LOC102597939;LOC107060211;LOC107060212;LOC102604602;LOC102598260;LOC10259_849;LOC10259_850;LOC10259_851;LOC107060213;LOC102598601;LOC107060214;LOC107060215;LOC107060216;LOC107060217;LOC102599250;LOC102599572	XP_006345338.1;XP_006345339.1;XP_015163291.1;XP_015163292.1;XP_015163293.1;XP_015163307.1;XP_015163308.1;XP_015163309.1;XP_015163310.1;XP_015163294.1;XP_006345341.1;XP_015163295.1;XP_015163296.1;XP_015163297.1;XP_015163298.1;XP_006345342.1;XP_006345343.1	
