potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_015438.3_cds_XP_004228534.1_362_lcl|NC_015438.3_cds_XP_004228534.1_362_1;lcl|NC_015438.3_cds_NP_001233810.1_365_lcl|NC_015438.3_cds_NP_001233810.1_365_1;lcl|NC_015438.3_cds_XP_004228533.1_366_lcl|NC_015438.3_cds_XP_004228533.1_366_1	NP_001233810.1;XP_004228533.1;XP_004228534.1
2	lcl|NC_015438.3_cds_NP_001234823.1_411_lcl|NC_015438.3_cds_NP_001234823.1_411_1;lcl|NC_015438.3_cds_XP_019069502.1_412_lcl|NC_015438.3_cds_XP_019069502.1_412_1;lcl|NC_015438.3_cds_NP_001234830.1_413_lcl|NC_015438.3_cds_NP_001234830.1_413_1	NP_001234823.1;NP_001234830.1;XP_019069502.1
3	lcl|NC_015438.3_cds_XP_004228391.1_664_lcl|NC_015438.3_cds_XP_004228391.1_664_1;lcl|NC_015438.3_cds_XP_019069734.1_665_lcl|NC_015438.3_cds_XP_019069734.1_665_1;lcl|NC_015438.3_cds_XP_019067469.1_666_lcl|NC_015438.3_cds_XP_019067469.1_666_1	XP_004228391.1;XP_019067469.1;XP_019069734.1
4	lcl|NC_015438.3_cds_XP_004228388.1_670_lcl|NC_015438.3_cds_XP_004228388.1_670_1;lcl|NC_015438.3_cds_NP_001265987.1_671_lcl|NC_015438.3_cds_NP_001265987.1_671_2;lcl|NC_015438.3_cds_XP_004228386.1_672_lcl|NC_015438.3_cds_XP_004228386.1_672_1	NP_001265987.1;XP_004228386.1;XP_004228388.1
5	lcl|NC_015438.3_cds_NP_001316171.1_1002_lcl|NC_015438.3_cds_NP_001316171.1_1002_2;lcl|NC_015438.3_cds_XP_025887455.1_1003_lcl|NC_015438.3_cds_XP_025887455.1_1003_2;lcl|NC_015438.3_cds_XP_025887447.1_1004_lcl|NC_015438.3_cds_XP_025887447.1_1004_2	NP_001316171.1;XP_025887447.1;XP_025887455.1
6	lcl|NC_015438.3_cds_XP_019068088.1_1149_lcl|NC_015438.3_cds_XP_019068088.1_1149_1;lcl|NC_015438.3_cds_XP_010319833.1_1150_lcl|NC_015438.3_cds_XP_010319833.1_1150_1;lcl|NC_015438.3_cds_XP_004229007.1_1151_lcl|NC_015438.3_cds_XP_004229007.1_1151_1;lcl|NC_015438.3_cds_XP_025886195.1_1152_lcl|NC_015438.3_cds_XP_025886195.1_1152_1	XP_004229007.1;XP_010319833.1;XP_019068088.1;XP_025886195.1
7	lcl|NC_015438.3_cds_XP_010321891.1_1240_lcl|NC_015438.3_cds_XP_010321891.1_1240_1;lcl|NC_015438.3_cds_XP_004229323.3_1241_lcl|NC_015438.3_cds_XP_004229323.3_1241_1;lcl|NC_015438.3_cds_XP_010321865.1_1242_lcl|NC_015438.3_cds_XP_010321865.1_1242_1;lcl|NC_015438.3_cds_XP_019068130.1_1243_lcl|NC_015438.3_cds_XP_019068130.1_1243_1	XP_004229323.3;XP_010321865.1;XP_010321891.1;XP_019068130.1
8	lcl|NC_015438.3_cds_XP_004229294.1_1441_lcl|NC_015438.3_cds_XP_004229294.1_1441_1;lcl|NC_015438.3_cds_XP_025886536.1_1442_lcl|NC_015438.3_cds_XP_025886536.1_1442_1;lcl|NC_015438.3_cds_XP_004229182.1_1443_lcl|NC_015438.3_cds_XP_004229182.1_1443_1	XP_004229182.1;XP_004229294.1;XP_025886536.1
9	lcl|NC_015438.3_cds_XP_004229416.1_1602_lcl|NC_015438.3_cds_XP_004229416.1_1602_1;lcl|NC_015438.3_cds_XP_004229417.1_1603_lcl|NC_015438.3_cds_XP_004229417.1_1603_1;lcl|NC_015438.3_cds_XP_004229418.1_1604_lcl|NC_015438.3_cds_XP_004229418.1_1604_1	XP_004229416.1;XP_004229417.1;XP_004229418.1
10	lcl|NC_015438.3_cds_XP_004229507.1_1768_lcl|NC_015438.3_cds_XP_004229507.1_1768_1;lcl|NC_015438.3_cds_XP_004229506.1_1769_lcl|NC_015438.3_cds_XP_004229506.1_1769_1;lcl|NC_015438.3_cds_XP_004229508.1_1770_lcl|NC_015438.3_cds_XP_004229508.1_1770_1	XP_004229506.1;XP_004229507.1;XP_004229508.1
11	lcl|NC_015438.3_cds_XP_010323192.1_1788_lcl|NC_015438.3_cds_XP_010323192.1_1788_1;lcl|NC_015438.3_cds_XP_010323205.1_1789_lcl|NC_015438.3_cds_XP_010323205.1_1789_1;lcl|NC_015438.3_cds_XP_010323201.1_1790_lcl|NC_015438.3_cds_XP_010323201.1_1790_1;lcl|NC_015438.3_cds_XP_019070859.1_1791_lcl|NC_015438.3_cds_XP_019070859.1_1791_1;lcl|NC_015438.3_cds_XP_010323195.1_1792_lcl|NC_015438.3_cds_XP_010323195.1_1792_1	XP_010323192.1;XP_010323195.1;XP_010323201.1;XP_010323205.1;XP_019070859.1
12	lcl|NC_015438.3_cds_XP_004229647.2_2040_lcl|NC_015438.3_cds_XP_004229647.2_2040_1;lcl|NC_015438.3_cds_XP_004229649.1_2041_lcl|NC_015438.3_cds_XP_004229649.1_2041_1;lcl|NC_015438.3_cds_XP_004229650.1_2042_lcl|NC_015438.3_cds_XP_004229650.1_2042_1;lcl|NC_015438.3_cds_XP_004229651.1_2043_lcl|NC_015438.3_cds_XP_004229651.1_2043_1;lcl|NC_015438.3_cds_XP_004229653.1_2044_lcl|NC_015438.3_cds_XP_004229653.1_2044_1	XP_004229647.2;XP_004229649.1;XP_004229650.1;XP_004229651.1;XP_004229653.1
13	lcl|NC_015438.3_cds_XP_004229819.1_2357_lcl|NC_015438.3_cds_XP_004229819.1_2357_1;lcl|NC_015438.3_cds_XP_004231165.1_2358_lcl|NC_015438.3_cds_XP_004231165.1_2358_1;lcl|NC_015438.3_cds_XP_004231166.1_2359_lcl|NC_015438.3_cds_XP_004231166.1_2359_1	XP_004229819.1;XP_004231165.1;XP_004231166.1
14	lcl|NC_015438.3_cds_XP_004229834.1_2385_lcl|NC_015438.3_cds_XP_004229834.1_2385_1;lcl|NC_015438.3_cds_XP_004229835.1_2386_lcl|NC_015438.3_cds_XP_004229835.1_2386_1;lcl|NC_015438.3_cds_XP_004229837.1_2387_lcl|NC_015438.3_cds_XP_004229837.1_2387_1;lcl|NC_015438.3_cds_XP_004229839.1_2389_lcl|NC_015438.3_cds_XP_004229839.1_2389_1	XP_004229834.1;XP_004229835.1;XP_004229837.1;XP_004229839.1
15	lcl|NC_015438.3_cds_XP_004229959.1_2641_lcl|NC_015438.3_cds_XP_004229959.1_2641_1;lcl|NC_015438.3_cds_XP_004229961.1_2643_lcl|NC_015438.3_cds_XP_004229961.1_2643_1;lcl|NC_015438.3_cds_XP_004229962.1_2644_lcl|NC_015438.3_cds_XP_004229962.1_2644_1	XP_004229959.1;XP_004229961.1;XP_004229962.1
16	lcl|NC_015438.3_cds_XP_025884744.1_2729_lcl|NC_015438.3_cds_XP_025884744.1_2729_1;lcl|NC_015438.3_cds_XP_010327072.1_2730_lcl|NC_015438.3_cds_XP_010327072.1_2730_1;lcl|NC_015438.3_cds_XP_025887948.1_2731_lcl|NC_015438.3_cds_XP_025887948.1_2731_1;lcl|NC_015438.3_cds_XP_004231223.1_2732_lcl|NC_015438.3_cds_XP_004231223.1_2732_1	XP_004231223.1;XP_010327072.1;XP_025884744.1;XP_025887948.1
17	lcl|NC_015438.3_cds_XP_004230048.3_2839_lcl|NC_015438.3_cds_XP_004230048.3_2839_1;lcl|NC_015438.3_cds_XP_004230051.2_2840_lcl|NC_015438.3_cds_XP_004230051.2_2840_1;lcl|NC_015438.3_cds_XP_004230052.1_2841_lcl|NC_015438.3_cds_XP_004230052.1_2841_1	XP_004230048.3;XP_004230051.2;XP_004230052.1
18	lcl|NC_015438.3_cds_XP_025883553.1_3703_lcl|NC_015438.3_cds_XP_025883553.1_3703_1;lcl|NC_015438.3_cds_XP_004230502.1_3704_lcl|NC_015438.3_cds_XP_004230502.1_3704_1;lcl|NC_015438.3_cds_XP_004230503.1_3705_lcl|NC_015438.3_cds_XP_004230503.1_3705_1	XP_004230502.1;XP_004230503.1;XP_025883553.1
19	lcl|NC_015438.3_cds_XP_010315161.1_4018_lcl|NC_015438.3_cds_XP_010315161.1_4018_1;lcl|NC_015438.3_cds_XP_019067407.1_4019_lcl|NC_015438.3_cds_XP_019067407.1_4019_1;lcl|NC_015438.3_cds_XP_004230653.1_4020_lcl|NC_015438.3_cds_XP_004230653.1_4020_1;lcl|NC_015438.3_cds_XP_010315163.1_4021_lcl|NC_015438.3_cds_XP_010315163.1_4021_1	XP_004230653.1;XP_010315161.1;XP_010315163.1;XP_019067407.1
20	lcl|NC_015438.3_cds_XP_004230809.1_4309_lcl|NC_015438.3_cds_XP_004230809.1_4309_1;lcl|NC_015438.3_cds_XP_004230810.1_4310_lcl|NC_015438.3_cds_XP_004230810.1_4310_1;lcl|NC_015438.3_cds_XP_025884757.1_4311_lcl|NC_015438.3_cds_XP_025884757.1_4311_1;lcl|NC_015438.3_cds_XP_004230811.1_4312_lcl|NC_015438.3_cds_XP_004230811.1_4312_1;lcl|NC_015438.3_cds_XP_004230812.1_4313_lcl|NC_015438.3_cds_XP_004230812.1_4313_1;lcl|NC_015438.3_cds_XP_004230813.1_4314_lcl|NC_015438.3_cds_XP_004230813.1_4314_1	XP_004230809.1;XP_004230810.1;XP_004230811.1;XP_004230812.1;XP_004230813.1;XP_025884757.1
21	lcl|NC_015438.3_cds_XP_004230840.1_4368_lcl|NC_015438.3_cds_XP_004230840.1_4368_1;lcl|NC_015438.3_cds_XP_004230841.1_4369_lcl|NC_015438.3_cds_XP_004230841.1_4369_1;lcl|NC_015438.3_cds_XP_004230842.1_4370_lcl|NC_015438.3_cds_XP_004230842.1_4370_1	XP_004230840.1;XP_004230841.1;XP_004230842.1
22	lcl|NC_015439.3_cds_XP_010315625.1_5047_lcl|NC_015439.3_cds_XP_010315625.1_5047_1;lcl|NC_015439.3_cds_XP_004231554.1_5048_lcl|NC_015439.3_cds_XP_004231554.1_5048_1;lcl|NC_015439.3_cds_XP_004231555.1_5049_lcl|NC_015439.3_cds_XP_004231555.1_5049_1	XP_004231554.1;XP_004231555.1;XP_010315625.1
23	lcl|NC_015439.3_cds_NP_001296726.1_5576_lcl|NC_015439.3_cds_NP_001296726.1_5576_1;lcl|NC_015439.3_cds_XP_019067505.1_5577_lcl|NC_015439.3_cds_XP_019067505.1_5577_1;lcl|NC_015439.3_cds_XP_004233449.1_5578_lcl|NC_015439.3_cds_XP_004233449.1_5578_1	NP_001296726.1;XP_004233449.1;XP_019067505.1
24	lcl|NC_015439.3_cds_XP_004233446.1_5581_lcl|NC_015439.3_cds_XP_004233446.1_5581_1;lcl|NC_015439.3_cds_XP_004233948.1_5582_lcl|NC_015439.3_cds_XP_004233948.1_5582_1;lcl|NC_015439.3_cds_XP_004233946.1_5583_lcl|NC_015439.3_cds_XP_004233946.1_5583_1;lcl|NC_015439.3_cds_XP_004233445.1_5584_lcl|NC_015439.3_cds_XP_004233445.1_5584_1	XP_004233445.1;XP_004233446.1;XP_004233946.1;XP_004233948.1
25	lcl|NC_015439.3_cds_XP_004233435.1_5596_lcl|NC_015439.3_cds_XP_004233435.1_5596_1;lcl|NC_015439.3_cds_XP_010317164.1_5597_lcl|NC_015439.3_cds_XP_010317164.1_5597_1;lcl|NC_015439.3_cds_XP_004233433.1_5598_lcl|NC_015439.3_cds_XP_004233433.1_5598_1	XP_004233433.1;XP_004233435.1;XP_010317164.1
26	lcl|NC_015439.3_cds_XP_004233924.1_5757_lcl|NC_015439.3_cds_XP_004233924.1_5757_1;lcl|NC_015439.3_cds_XP_004233351.1_5758_lcl|NC_015439.3_cds_XP_004233351.1_5758_1;lcl|NC_015439.3_cds_XP_004233352.1_5759_lcl|NC_015439.3_cds_XP_004233352.1_5759_1;lcl|NC_015439.3_cds_XP_010317101.2_5760_lcl|NC_015439.3_cds_XP_010317101.2_5760_1;lcl|NC_015439.3_cds_XP_004233349.1_5761_lcl|NC_015439.3_cds_XP_004233349.1_5761_1	XP_004233349.1;XP_004233351.1;XP_004233352.1;XP_004233924.1;XP_010317101.2
