Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_056051.1	XP_042034899.1	77	0	1		
	XP_042043539.1	0	351	1		
NC_056032.1	XP_042048850.1	0	9	1		
NC_056033.1	XP_042015533.1	9	0	1		
NC_056046.1	XP_042022134.1	63	0	1		
NC_056035.1	XP_042052884.1	0	78	1		
NC_056046.1	XP_042020440.1	64	0	1		
NC_056041.1	XP_042001740.1	0	168	1		
NC_056033.1	XP_042015608.1	0	43	1		
NC_056034.1	XP_042047797.1	16	70	2		
NC_056040.1	XP_041998528.1	44	0	1		
NC_056041.1	XP_042000550.1	47	0	1		
NC_056046.1	XP_042021784.1	0	253	1		
NC_056047.1	XP_042023381.1	66	0	1		
NC_056032.1	XP_042063729.1	1	0	1		
NC_056039.1	XP_041995700.1	0	142	1		
NC_056042.1	XP_042005587.1	49	0	1		
NC_056034.1	XP_042050586.1	0	68	1		
NC_056047.1	XP_042022756.1	0	259	1		
NC_056048.1	XP_042026333.1	68	0	1		
NC_056034.1	XP_042050627.1	16	0	1		
NC_056042.1	XP_042004994.1	49	0	1		
NC_056050.1	XP_042033254.1	0	298	1		
NC_056039.1	XP_041993020.1	0	137	1		
NC_056053.1	XP_042040213.1	90	0	1		
NC_056049.1	XP_042028837.1	71	0	1		
NC_056035.1	XP_042056001.1	22	0	1		
NC_056050.1	XP_042033361.1	74	0	1		
NC_056032.1	XP_042068490.1	0	13	1		
	XP_042043166.1	0	349	1		
NC_056035.1	XP_042056938.1	0	79	1		
NC_056043.1	XP_042009954.1	0	207	1		
NC_056034.1	XP_042050916.1	19	0	1		
NC_056034.1	XP_042050635.1	16	71	2		
NC_056035.1	XP_042055293.1	26	0	1		
NC_056040.1	XP_042000310.1	44	0	1		
NC_056035.1	XP_042053266.1	22	0	1		
NC_056048.1	XP_042028417.1	68	0	1		
NC_056039.1	XP_041995910.1	0	146	1		
NC_056041.1	XP_042001819.1	47	0	1		
NC_056042.1	XP_042005481.1	0	192	1		
NC_056035.1	XP_042053826.1	0	81	1		
NC_056049.1	XP_042030612.1	0	289	1		
NC_056043.1	XP_042008746.1	57	0	1		
	XP_042045002.1	0	359	1		
NC_056053.1	XP_042040399.1	89	0	1		
NC_056034.1	XP_042051066.1	20	0	1		
NC_056052.1	XP_042037511.1	84	0	1		
NC_056039.1	XP_041992830.1	41	0	1		
NC_056051.1	XP_042034863.1	77	0	1		
NC_056032.1	XP_042005123.1	0	27	1		
NC_056050.1	XP_042032824.1	75	0	1		
NC_056052.1	XP_042038454.1	85	329	2		
NC_056033.1	XP_042028933.1	0	42	1		
NC_056052.1	XP_042038182.1	0	318	1		
NC_056033.1	XP_042020142.1	9	0	1		
NC_056039.1	XP_041992635.1	0	143	1		
NC_056043.1	XP_042008300.1	0	211	1		
NC_056043.1	XP_042010516.1	57	199	2		
NC_056038.1	XP_041990301.1	0	135	1		
NC_056052.1	XP_042039989.1	84	0	1		
NC_056051.1	XP_042035308.1	78	0	1		
NC_056041.1	XP_042004138.1	47	0	1		
NC_056048.1	XP_042028019.1	69	0	1		
NC_056043.1	XP_042009225.1	0	210	1		
NC_056050.1	XP_042031959.1	74	0	1		
NC_056053.1	XP_042042854.1	89	0	1		
NC_056033.1	XP_042042781.1	9	0	1		
NC_056046.1	XP_042018675.1	62	0	1		
NC_056051.1	XP_042036584.1	80	0	1		
NC_056034.1	XP_042049659.1	12	0	1		
NC_056033.1	XP_042010706.1	10	0	1		
NC_056034.1	XP_042052169.1	0	72	1		
NC_056035.1	XP_042053721.1	22	0	1		
NC_056042.1	XP_042005174.1	0	196	1		
NC_056046.1	XP_042019936.1	0	243	1		
NC_056051.1	XP_042036918.1	0	308	1		
NC_056034.1	XP_042052050.1	13	0	1		
	XP_042043842.1	0	353	1		
NC_056034.1	XP_042047623.1	19	0	1		
NC_056034.1	XP_042051142.1	20	0	1		
NC_056036.1	XP_042057505.1	0	101	1		
NC_056043.1	XP_042009227.1	0	207	1		
NC_056032.1	XP_042047824.1	3	5	2		
NC_056049.1	XP_042030690.1	0	290	1		
NC_056041.1	XP_042000652.1	0	174	1		
NC_056040.1	XP_041998527.1	44	0	1		
NC_056046.1	XP_042018665.1	62	0	1		
NC_056039.1	XP_041993917.1	42	0	1		
NC_056040.1	XP_041996326.1	45	0	1		
NC_056041.1	XP_042000631.1	47	0	1		
	XP_042043831.1	0	352	1		
NC_056045.1	XP_042015983.1	0	238	1		
NC_056034.1	XP_042047304.1	19	0	1		
NC_056038.1	XP_041989695.1	0	131	1		
NC_056052.1	XP_042037563.1	88	0	1		
NC_056052.1	XP_042039233.1	0	315	1		
NC_056052.1	XP_042038884.1	0	316	1		
NC_056042.1	XP_042006441.1	0	194	1		
NC_056042.1	XP_042006027.1	0	195	1		
NC_056042.1	XP_042008077.1	52	0	1		
NC_056046.1	XP_042020139.1	64	0	1		
NC_056051.1	XP_042035554.1	79	0	1		
NC_056041.1	XP_042003545.1	0	178	1		
NC_056042.1	XP_042007965.1	0	197	1		
NC_056053.1	XP_042040458.1	92	0	1		
NC_056035.1	XP_042055021.1	0	76	1		
NC_056051.1	XP_042036597.1	0	300	1		
NC_056052.1	XP_042039234.1	0	315	1		
NC_056049.1	XP_042031123.1	72	0	1		
NC_056038.1	XP_041991077.1	39	0	1		
NC_056047.1	XP_042024020.1	67	0	1		
NC_056041.1	XP_042002997.1	48	0	1		
NC_056036.1	XP_042057719.1	33	0	1		
NC_056033.1	XP_042011991.1	0	37	1		
NC_056034.1	XP_042051463.1	13	0	1		
NC_056033.1	XP_042011995.1	0	37	1		
NC_056036.1	XP_042059992.1	31	0	1		
NC_056036.1	XP_042058985.1	0	105	1		
NC_056051.1	XP_042036501.1	78	0	1		
NC_056037.1	XP_042064079.1	34	0	1		
NC_056034.1	XP_042051157.1	20	0	1		
NC_056042.1	XP_042006830.1	54	0	1		
NC_056040.1	XP_041996357.1	0	160	1		
NC_056053.1	XP_042041871.1	0	340	1		
NC_056049.1	XP_042030820.1	71	0	1		
NC_056041.1	XP_042004300.1	0	179	1		
NC_056048.1	XP_042028359.1	68	0	1		
NC_056052.1	XP_042038984.1	83	0	1		
NC_056033.1	XP_042047261.1	0	31	1		
NC_056042.1	XP_042005557.1	0	185	1		
NC_056035.1	XP_042053269.1	22	0	1		
NC_056032.1	XP_042048526.1	4	0	1		
NC_056036.1	XP_042061383.1	27	107	2		
NC_056046.1	XP_042022190.1	63	0	1		
	XP_042043535.1	0	351	1		
NC_056041.1	XP_042000891.1	0	176	1		
NC_056035.1	XP_042055038.1	0	86	1		
NC_056042.1	XP_042006335.1	54	0	1		
NC_056034.1	XP_042050615.1	15	69	2		
NC_056048.1	XP_042028512.1	68	0	1		
NC_056038.1	XP_042067504.1	39	0	1		
NC_056053.1	XP_042041014.1	0	338	1		
NC_056052.1	XP_042039538.1	84	0	1		
NC_056036.1	XP_042061062.1	28	0	1		
NC_056032.1	XP_041994545.1	0	20	1		
NC_056052.1	XP_042038622.1	0	323	1		
NC_056053.1	XP_042040418.1	90	0	1		
NC_056043.1	XP_042009464.1	57	200	2		
NC_056046.1	XP_042021055.1	0	245	1		
NC_056041.1	XP_042003064.1	48	0	1		
NC_056053.1	XP_042042558.1	89	0	1		
NC_056041.1	XP_042004400.1	0	166	1		
NC_056032.1	XP_042060327.1	5	0	1		
NC_056038.1	XP_042068058.1	39	0	1		
NC_056037.1	XP_042063602.1	35	0	1		
