Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NW_023590999.1	XP_037494090.1	27	64	2		
	XP_012086609.1	0	89	1		
NW_023590973.1	NP_001295661.1	26	0	1		
NW_023590789.1	XP_012081601.1	14	0	1		
NW_023590739.1	XP_037491294.1	12	0	1		
NW_023590804.1	XP_012082506.1	19	0	1		
NW_023590644.1	XP_020534845.1	5	0	1		
NW_023591572.1	XP_037496900.1	39	0	1		
NW_023590662.1	XP_037496685.1	7	0	1		
	XP_012080538.1	0	62	1		
NW_023591767.1	XP_037497788.1	48	0	1		
	XP_037494529.1	0	75	1		
NW_023590796.1	XP_012076354.1	18	0	1		
NW_023591289.1	XP_037495586.1	31	0	1		
	XP_037492916.1	0	44	1		
NW_023590789.1	XP_037491780.1	15	0	1		
NW_023590727.1	XP_037491219.1	10	0	1		
NW_023590739.1	XP_012073041.1	12	0	1		
	XP_012087913.1	0	83	1		
	XP_012081721.1	0	43	1		
NW_023591619.1	XP_012079318.2	41	117	2		
NW_023591619.1	XP_037497105.1	41	0	1		
NW_023590662.1	XP_012068616.1	7	0	1		
	XP_012087234.2	0	137	1		
	XP_012085839.2	0	20	1		
NW_023591550.1	XP_012083446.1	38	0	1		
NW_023590566.1	XP_012075744.2	1	0	1		
NW_023590796.1	XP_020536467.1	18	0	1		
NW_023591708.1	XP_037497512.1	47	0	1		
	XP_012074254.1	0	41	1		
	XP_012079576.1	0	3	1		
NW_023591244.1	XP_037495430.1	30	0	1		
NW_023590644.1	XP_012071754.1	5	0	1		
	XP_037492631.1	0	36	1		
	XP_012090474.1	0	87	1		
NW_023591619.1	XP_012079317.1	41	117	2		
	XP_037494504.1	0	74	1		
NW_023591289.1	XP_012092053.1	31	0	1		
NW_023591289.1	XP_012092052.1	31	0	1		
NW_023590909.1	XP_012076795.1	22	0	1		
NW_023591619.1	XP_037497109.1	41	0	1		
	XP_012066882.1	0	41	1		
	XP_012069754.1	0	138	1		
	XP_012067320.1	0	78	1		
NW_023591682.1	XP_037497310.1	46	0	1		
NW_023591140.1	XP_037495033.1	28	0	1		
NW_023591244.1	XP_037495477.1	29	88	2		
	XP_012077752.1	0	122	1		
	XP_012083848.1	0	50	1		
NW_023590789.1	XP_037492280.1	15	0	1		
	XP_012084954.2	0	120	1		
NW_023590739.1	XP_012087757.1	11	0	1		
	XP_012071093.1	0	37	1		
NW_023591598.1	XP_037497008.1	40	0	1		
NW_023590739.1	XP_012073058.2	12	0	1		
NW_023591682.1	XP_012075426.1	46	0	1		
NW_023590831.1	XP_012070229.1	20	0	1		
	XP_012076976.1	0	46	1		
NW_023590644.1	XP_012071759.1	5	0	1		
	XP_037496340.1	0	109	1		
	XP_012089068.1	0	16	1		
NW_023590566.1	XP_012075538.1	1	0	1		
NW_023591140.1	XP_012085800.1	28	0	1		
NW_023590956.1	XP_037493679.1	23	0	1		
	XP_012075912.1	0	113	1		
	XP_012069828.2	0	15	1		
NW_023590789.1	XP_037492313.1	15	0	1		
NW_023591244.1	XP_012075985.2	30	0	1		
NW_023590789.1	XP_012070202.1	15	0	1		
	XP_012073205.1	0	76	1		
NW_023590739.1	XP_012087732.1	12	0	1		
NW_023590956.1	XP_020535466.1	24	0	1		
NW_023591598.1	XP_012072658.1	40	0	1		
NW_023591289.1	XP_012092057.1	31	0	1		
	XP_012086610.1	0	89	1		
NW_023591381.1	XP_012087444.1	34	0	1		
NW_023591381.1	XP_012092787.1	34	0	1		
NW_023590909.1	XP_012076805.1	22	0	1		
NW_023590789.1	XP_012075240.1	15	0	1		
NW_023591244.1	XP_037495442.1	30	0	1		
	XP_037492097.1	0	19	1		
NW_023591308.1	XP_012087105.1	32	0	1		
NW_023591708.1	XP_012073457.1	47	0	1		
NW_023591381.1	XP_012092791.1	34	0	1		
	XP_020533579.1	0	78	1		
NW_023591572.1	XP_020532793.1	39	0	1		
	XP_012064660.2	0	108	1		
NW_023591381.1	XP_037495939.1	34	0	1		
NW_023591244.1	XP_037495425.1	30	0	1		
NW_023590956.1	XP_012073665.1	23	59	2		
NW_023591619.1	XP_020536874.1	43	0	1		
	XP_020541318.1	0	32	1		
NW_023591767.1	XP_012085891.2	48	0	1		
NW_023590662.1	XP_020533980.1	7	0	1		
NW_023590999.1	XP_020532913.2	27	0	1		
	XP_012074597.1	0	121	1		
	XP_037497671.1	0	131	1		
NW_023591289.1	XP_037495623.1	31	0	1		
NW_023590804.1	XP_012082505.1	19	0	1		
NW_023591598.1	XP_012065910.1	40	0	1		
	XP_012074291.1	0	107	1		
	XP_012072155.1	0	53	1		
NW_023590671.1	XP_012069747.1	8	0	1		
NW_023591308.1	XP_037495656.1	32	0	1		
NW_023590739.1	XP_012092658.1	13	0	1		
NW_023591244.1	XP_037495488.1	30	0	1		
NW_023590956.1	XP_012073881.1	24	0	1		
NW_023590727.1	XP_037491222.1	10	0	1		
NW_023591572.1	XP_037496905.1	39	0	1		
	XP_012071686.1	0	49	1		
	XP_020539804.1	0	39	1		
NW_023590956.1	XP_012068153.1	25	0	1		
NW_023591619.1	XP_037497104.1	41	0	1		
NW_023590909.1	XP_020536433.1	22	0	1		
NW_023590567.1	XP_012088389.1	2	0	1		
	XP_012071899.1	0	128	1		
NW_023590662.1	XP_012068618.1	7	0	1		
	XP_012070166.1	0	114	1		
	XP_037491054.1	0	13	1		
NW_023591619.1	XP_037497103.1	42	0	1		
NW_023590909.1	XP_037493103.1	22	0	1		
NW_023590999.1	XP_012065608.1	27	0	1		
	XP_012091213.1	0	45	1		
	XP_012087059.1	0	137	1		
NW_023591289.1	XP_037495596.1	31	0	1		
	XP_012084255.2	0	24	1		
NW_023590789.1	XP_037491653.1	17	0	1		
NW_023591140.1	XP_012072406.1	28	82	2		
NW_023591289.1	XP_037495594.1	31	0	1		
	XP_012081736.1	0	23	1		
NW_023591140.1	XP_012085799.1	28	0	1		
NW_023590909.1	XP_012076807.1	22	0	1		
NW_023590739.1	XP_037491252.1	11	0	1		
NW_023590999.1	XP_012065698.1	27	0	1		
NW_023591598.1	XP_012072656.1	40	0	1		
	XP_012072790.1	0	35	1		
NW_023590739.1	XP_012087798.1	12	0	1		
NW_023590662.1	XP_012068606.1	7	0	1		
NW_023590956.1	XP_012068156.1	25	0	1		
	XP_012091571.1	0	67	1		
NW_023590567.1	XP_012088398.1	2	0	1		
	XP_037496318.1	0	108	1		
NW_023590909.1	XP_020536516.2	22	0	1		
	XP_012068036.1	0	73	1		
NW_023590727.1	XP_020540656.1	10	0	1		
NW_023591140.1	XP_012072403.1	28	0	1		
NW_023590796.1	XP_012076352.1	18	0	1		
NW_023590644.1	XP_012071756.1	5	0	1		
	XP_012086611.1	0	89	1		
NW_023591767.1	XP_012085889.1	48	0	1		
NW_023590739.1	XP_012092665.1	13	0	1		
NW_023591619.1	XP_037497079.1	42	0	1		
NW_023591619.1	XP_012078336.1	42	0	1		
NW_023590661.1	XP_020537583.1	6	0	1		
NW_023590956.1	XP_012068388.1	25	0	1		
NW_023590567.1	XP_012088392.1	2	0	1		
NW_023590567.1	XP_037495574.1	2	0	1		
NW_023591140.1	XP_037495007.1	28	0	1		
NW_023591767.1	XP_037497806.1	48	0	1		
NW_023591682.1	XP_037497348.1	45	0	1		
	XP_012066470.1	0	14	1		
	XP_012085785.1	0	42	1		
	XP_020541028.1	0	66	1		
NW_023590662.1	XP_020533978.1	7	0	1		
	XP_012065453.1	0	87	1		
NW_023590909.1	XP_012076801.1	22	0	1		
NW_023590831.1	XP_037492686.1	20	0	1		
NW_023591289.1	XP_037495599.1	31	0	1		
NW_023590739.1	XP_012087759.1	11	0	1		
NW_023590956.1	XP_012073721.1	24	0	1		
	XP_012079237.1	0	3	1		
NW_023591657.1	XP_012072332.1	44	0	1		
