Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_027750.1	XP_013627692.1	12	0	1		
NC_027754.1	XP_013595239.1	46	0	1		
NC_027751.1	XP_013633458.1	0	140	1		
NC_027752.1	XP_013585203.1	29	0	1		
NC_027751.1	XP_013633912.1	0	116	1		
	XP_013614188.1	0	290	1		
NC_027749.1	XP_013621571.1	0	28	1		
NC_027755.1	XP_013604956.1	0	252	1		
NC_027749.1	XP_013618242.1	0	27	1		
NC_027751.1	XP_013633909.1	26	0	1		
NC_027754.1	XP_013597557.1	44	0	1		
NC_027751.1	XP_013637044.1	23	0	1		
NC_027754.1	XP_013598902.1	47	0	1		
NC_027750.1	XP_013625232.1	0	99	1		
NC_027753.1	XP_013591152.1	0	179	1		
NC_027755.1	XP_013600133.1	0	244	1		
NC_027750.1	XP_013623453.1	15	0	1		
NC_027755.1	XP_013599752.1	0	228	1		
NC_027756.1	XP_013609259.1	0	256	1		
NC_027751.1	XP_013631179.1	25	0	1		
NC_027751.1	XP_013637123.1	26	0	1		
NC_027748.1	XP_013607571.1	1	0	1		
NC_027755.1	XP_013605739.1	53	0	1		
NC_027748.1	XP_013619861.1	0	23	1		
NC_027750.1	XP_013626175.1	0	108	1		
NC_027754.1	XP_013593120.1	0	219	1		
NC_027749.1	XP_013620486.1	7	0	1		
NC_027752.1	XP_013586242.1	0	168	1		
NC_027751.1	XP_013636391.1	25	0	1		
NC_027751.1	XP_013635446.1	0	120	1		
NC_027755.1	XP_013602216.1	54	0	1		
NC_027754.1	XP_013596127.1	0	203	1		
NC_027748.1	XP_013622363.1	0	1	1		
NC_027752.1	XP_013585887.1	37	0	1		
NC_027753.1	XP_013590925.1	0	184	1		
NC_027751.1	XP_013632169.1	22	0	1		
NC_027753.1	XP_013591949.1	0	181	1		
NC_027755.1	XP_013600855.1	52	0	1		
NC_027754.1	XP_013597307.1	0	207	1		
NC_027748.1	XP_013618537.1	0	16	1		
NC_027750.1	XP_013622543.1	0	86	1		
NC_027752.1	XP_013587378.1	0	158	1		
NC_027750.1	XP_013625222.1	0	82	1		
NC_027748.1	XP_013593397.1	0	1	1		
NC_027751.1	XP_013632409.1	0	112	1		
NC_027756.1	XP_013612935.1	0	255	1		
NC_027753.1	XP_013591431.1	0	189	1		
NC_027755.1	XP_013600180.1	49	0	1		
NC_027755.1	XP_013604140.1	49	0	1		
NC_027751.1	XP_013634385.1	23	0	1		
NC_027751.1	XP_013630928.1	25	0	1		
NC_027749.1	XP_013621677.1	8	0	1		
NC_027749.1	XP_013619930.1	0	46	1		
NC_027756.1	XP_013607711.1	0	263	1		
NC_027753.1	XP_013588112.1	0	169	1		
NC_027756.1	XP_013609586.1	0	271	1		
NC_027756.1	XP_013607096.1	0	259	1		
NC_027749.1	XP_013617043.1	0	41	1		
NC_027752.1	XP_013587720.1	0	146	1		
NC_027754.1	XP_013598559.1	44	0	1		
NC_027755.1	XP_013605005.1	54	0	1		
NC_027750.1	XP_013627904.1	0	75	1		
NC_027756.1	XP_013608008.1	0	270	1		
NC_027754.1	XP_013593264.1	0	203	1		
NC_027753.1	XP_013590431.1	0	175	1		
NC_027754.1	XP_013595585.1	0	201	1		
NC_027751.1	XP_013636387.1	0	138	1		
NC_027749.1	XP_013619332.1	0	61	1		
NC_027752.1	XP_013586379.1	33	0	1		
NC_027748.1	XP_013635719.1	2	0	1		
NC_027748.1	XP_013598392.1	0	7	1		
NC_027756.1	XP_013606346.1	57	0	1		
NC_027754.1	XP_013597655.1	45	0	1		
NC_027748.1	XP_013609362.1	0	18	1		
NC_027750.1	XP_013627374.1	0	89	1		
NC_027748.1	XP_013624535.1	2	0	1		
NC_027749.1	XP_013621143.1	0	51	1		
NC_027752.1	XP_013587470.1	0	156	1		
NC_027752.1	XP_013584307.1	0	153	1		
NC_027750.1	XP_013623999.1	0	80	1		
NC_027754.1	XP_013593547.1	40	0	1		
NC_027753.1	XP_013591485.1	39	0	1		
NC_027755.1	XP_013604141.1	49	0	1		
NC_027750.1	XP_013628880.1	13	0	1		
NC_027751.1	XP_013636988.1	0	120	1		
NC_027751.1	XP_013631764.1	25	0	1		
NC_027748.1	XP_013602506.1	0	6	1		
NC_027752.1	XP_013587431.1	36	0	1		
NC_027751.1	XP_013630978.1	24	0	1		
NC_027755.1	XP_013601671.1	0	240	1		
NC_027752.1	XP_013584521.1	29	0	1		
NC_027752.1	XP_013586858.1	31	0	1		
NC_027749.1	XP_013616298.1	0	60	1		
NC_027751.1	XP_013637009.1	0	119	1		
NC_027751.1	XP_013635997.1	19	0	1		
NC_027755.1	XP_013605853.1	55	0	1		
NC_027750.1	XP_013622089.1	0	82	1		
NC_027751.1	XP_013634796.1	22	0	1		
NC_027756.1	XP_013610402.1	57	0	1		
NC_027753.1	XP_013587876.1	38	0	1		
NC_027756.1	XP_013613238.1	0	273	1		
NC_027749.1	XP_013618672.1	0	35	1		
NC_027751.1	XP_013634490.1	23	0	1		
NC_027751.1	XP_013636029.1	0	128	1		
NC_027751.1	XP_013637045.1	23	0	1		
NC_027748.1	XP_013624520.1	2	0	1		
NC_027750.1	XP_013626265.1	12	0	1		
NC_027749.1	XP_013618600.1	0	33	1		
NC_027749.1	XP_013616376.1	8	0	1		
NC_027752.1	XP_013638910.1	33	0	1		
NC_027751.1	XP_013634875.1	0	112	1		
NC_027751.1	XP_013633964.1	20	0	1		
NC_027751.1	XP_013632170.1	22	0	1		
NC_027751.1	XP_013635636.1	0	117	1		
NC_027750.1	XP_013621916.1	0	72	1		
NC_027756.1	XP_013610113.1	0	257	1		
NC_027755.1	XP_013604976.1	0	250	1		
NC_027750.1	XP_013625231.1	0	99	1		
NC_027750.1	XP_013627981.1	0	91	1		
NC_027753.1	XP_013588267.1	0	174	1		
NC_027756.1	XP_013607965.1	0	268	1		
NC_027748.1	XP_013619798.1	1	0	1		
NC_027751.1	XP_013637117.1	21	127	2		
NC_027755.1	XP_013604489.1	0	248	1		
NC_027755.1	XP_013599592.1	51	0	1		
NC_027750.1	XP_013624814.1	0	105	1		
NC_027752.1	XP_013584793.1	0	167	1		
NC_027750.1	XP_013621867.1	0	107	1		
NC_027749.1	XP_013615460.1	10	0	1		
NC_027751.1	XP_013634031.1	22	0	1		
NC_027750.1	XP_013625847.1	15	0	1		
NC_027750.1	XP_013626968.1	0	84	1		
	XP_013613722.1	0	286	1		
NC_027753.1	XP_013590432.1	0	175	1		
NC_027755.1	XP_013602449.1	52	0	1		
NC_027749.1	XP_013621488.1	7	0	1		
NC_027755.1	XP_013603910.1	56	0	1		
NC_027756.1	XP_013606581.1	0	266	1		
NC_027755.1	XP_013601452.1	50	0	1		
NC_027755.1	XP_013603936.1	0	226	1		
NC_027754.1	XP_013597103.1	0	204	1		
NC_027750.1	XP_013629079.1	0	85	1		
NC_027748.1	XP_013594209.1	5	0	1		
NC_027754.1	XP_013596632.1	47	0	1		
NC_027751.1	XP_013633183.1	0	131	1		
NC_027756.1	XP_013605995.1	58	0	1		
NC_027754.1	XP_013594901.1	0	205	1		
NC_027751.1	XP_013633989.1	24	0	1		
NC_027754.1	XP_013596097.1	47	218	2		
NC_027749.1	XP_013620598.1	0	32	1		
NC_027751.1	XP_013632249.1	19	0	1		
NC_027751.1	XP_013634927.1	26	0	1		
NC_027749.1	XP_013617531.1	0	51	1		
NC_027749.1	XP_013617358.1	9	0	1		
NC_027754.1	XP_013595195.1	0	222	1		
NC_027752.1	XP_013637682.1	34	0	1		
NC_027754.1	XP_013595043.1	43	0	1		
NC_027749.1	XP_013620008.1	8	39	2		
NC_027749.1	XP_013618149.1	6	0	1		
NC_027755.1	XP_013601541.1	51	0	1		
NC_027750.1	XP_013628697.1	0	90	1		
NC_027752.1	XP_013638161.1	30	0	1		
NC_027750.1	XP_013630153.1	15	0	1		
NC_027751.1	XP_013632274.1	20	0	1		
NC_027751.1	XP_013634621.1	20	0	1		
NC_027754.1	XP_013594948.1	0	208	1		
NC_027754.1	XP_013596036.1	0	206	1		
NC_027751.1	XP_013637460.1	0	118	1		
NC_027750.1	XP_013630681.1	15	0	1		
NC_027752.1	XP_013584343.1	0	145	1		
NC_027749.1	XP_013620349.1	10	0	1		
NC_027749.1	XP_013616169.1	0	54	1		
NC_027751.1	XP_013637551.1	0	129	1		
NC_027754.1	XP_013593765.1	46	0	1		
NC_027748.1	XP_013610812.1	5	0	1		
NC_027750.1	XP_013623610.1	0	66	1		
NC_027752.1	XP_013638595.1	29	0	1		
NC_027750.1	XP_013629070.1	14	0	1		
NC_027751.1	XP_013631196.1	26	0	1		
NC_027756.1	XP_013607138.1	0	268	1		
NC_027754.1	XP_013597431.1	0	194	1		
NC_027749.1	XP_013613975.1	11	0	1		
NC_027750.1	XP_013629463.1	0	81	1		
NC_027748.1	XP_013610868.1	5	0	1		
	XP_013614610.1	0	292	1		
NC_027754.1	XP_013597555.1	44	0	1		
NC_027752.1	XP_013585307.1	37	0	1		
NC_027755.1	XP_013602357.1	53	0	1		
NC_027748.1	XP_013624513.1	2	0	1		
NC_027754.1	XP_013597547.1	0	206	1		
NC_027751.1	XP_013634489.1	23	0	1		
NC_027755.1	XP_013600759.1	50	0	1		
NC_027752.1	XP_013586241.1	0	168	1		
NC_027752.1	XP_013638778.1	34	0	1		
NC_027749.1	XP_013618636.1	0	56	1		
NC_027755.1	XP_013604150.1	48	0	1		
	XP_013614038.1	0	287	1		
NC_027753.1	XP_013591484.1	39	0	1		
NC_027756.1	XP_013612597.1	0	255	1		
NC_027755.1	XP_013604693.1	0	253	1		
NC_027752.1	XP_013639481.1	0	161	1		
NC_027754.1	XP_013595075.1	44	0	1		
NC_027755.1	XP_013605105.1	50	0	1		
NC_027749.1	XP_013619420.1	9	0	1		
NC_027754.1	XP_013598345.1	47	0	1		
NC_027753.1	XP_013589668.1	38	0	1		
NC_027751.1	XP_013632422.1	19	0	1		
NC_027752.1	XP_013638537.1	30	0	1		
NC_027754.1	XP_013595039.1	0	212	1		
NC_027749.1	XP_013620160.1	9	0	1		
NC_027751.1	XP_013633305.1	25	0	1		
NC_027751.1	XP_013635070.1	0	137	1		
NC_027754.1	XP_013594797.1	0	202	1		
NC_027750.1	XP_013628842.1	17	0	1		
NC_027754.1	XP_013596799.1	0	210	1		
NC_027748.1	XP_013600792.1	0	11	1		
NC_027756.1	XP_013608535.1	0	282	1		
NC_027750.1	XP_013629074.1	14	0	1		
NC_027753.1	XP_013589823.1	0	185	1		
NC_027756.1	XP_013613040.1	58	0	1		
NC_027748.1	XP_013600913.1	2	0	1		
NC_027754.1	XP_013593762.1	46	0	1		
NC_027751.1	XP_013633230.1	23	0	1		
NC_027751.1	XP_013633965.1	20	0	1		
NC_027751.1	XP_013631077.1	28	0	1		
NC_027749.1	XP_013618880.1	0	43	1		
NC_027755.1	XP_013600794.1	56	0	1		
NC_027749.1	XP_013618038.1	11	0	1		
NC_027750.1	XP_013624287.1	0	94	1		
NC_027752.1	XP_013587077.1	0	168	1		
NC_027748.1	XP_013584621.1	3	0	1		
NC_027751.1	XP_013634611.1	0	117	1		
NC_027754.1	XP_013594239.1	41	0	1		
NC_027751.1	XP_013634493.1	0	136	1		
NC_027754.1	XP_013594553.1	0	195	1		
NC_027748.1	XP_013610820.1	5	0	1		
NC_027754.1	XP_013593926.1	0	197	1		
NC_027755.1	XP_013601185.1	48	0	1		
NC_027748.1	XP_013630832.1	1	0	1		
NC_027749.1	XP_013620353.1	0	26	1		
NC_027751.1	XP_013636344.1	0	134	1		
NC_027748.1	XP_013600886.1	2	0	1		
NC_027749.1	XP_013617357.1	9	0	1		
NC_027750.1	XP_013626729.1	0	77	1		
NC_027752.1	XP_013639793.1	31	0	1		
NC_027751.1	XP_013630931.1	25	0	1		
NC_027754.1	XP_013597887.1	0	217	1		
NC_027749.1	XP_013619868.1	10	0	1		
NC_027752.1	XP_013638297.1	29	0	1		
NC_027749.1	XP_013620653.1	0	52	1		
NC_027755.1	XP_013604595.1	53	0	1		
NC_027754.1	XP_013596676.1	43	0	1		
NC_027749.1	XP_013617838.1	0	58	1		
NC_027751.1	XP_013632322.1	0	134	1		
NC_027754.1	XP_013599112.1	0	204	1		
	XP_013615287.1	0	293	1		
NC_027751.1	XP_013635964.1	0	133	1		
NC_027751.1	XP_013634733.1	23	0	1		
NC_027751.1	XP_013636845.1	24	0	1		
NC_027750.1	XP_013626609.1	0	97	1		
NC_027755.1	XP_013604525.1	0	241	1		
NC_027755.1	XP_013599607.1	0	242	1		
NC_027752.1	XP_013586148.1	29	0	1		
NC_027748.1	XP_013635538.1	2	0	1		
	XP_013614121.1	0	289	1		
NC_027755.1	XP_013603824.1	0	244	1		
NC_027748.1	XP_013619783.1	0	5	1		
NC_027750.1	XP_013624199.1	17	92	2		
NC_027751.1	XP_013632036.1	0	130	1		
NC_027755.1	XP_013600387.1	49	0	1		
NC_027751.1	XP_013634136.1	19	0	1		
NC_027750.1	XP_013630323.1	0	80	1		
NC_027755.1	XP_013604143.1	49	0	1		
NC_027756.1	XP_013609546.1	0	281	1		
NC_027752.1	XP_013586818.1	0	150	1		
NC_027755.1	XP_013602051.1	54	0	1		
NC_027754.1	XP_013596039.1	0	213	1		
NC_027750.1	XP_013622202.1	18	0	1		
NC_027754.1	XP_013596848.1	41	0	1		
NC_027752.1	XP_013584007.1	35	157	2		
NC_027755.1	XP_013605103.1	50	0	1		
NC_027750.1	XP_013627303.1	0	93	1		
NC_027754.1	XP_013598543.1	43	0	1		
NC_027749.1	XP_013621611.1	0	38	1		
NC_027749.1	XP_013618058.1	11	0	1		
NC_027754.1	XP_013595882.1	0	200	1		
NC_027752.1	XP_013586378.1	33	0	1		
NC_027749.1	XP_013620991.1	0	26	1		
NC_027750.1	XP_013622358.1	0	94	1		
NC_027754.1	XP_013599107.1	0	201	1		
NC_027753.1	XP_013589456.1	0	177	1		
NC_027751.1	XP_013637374.1	23	0	1		
NC_027753.1	XP_013589066.1	0	170	1		
NC_027750.1	XP_013629199.1	13	0	1		
NC_027752.1	XP_013587731.1	36	0	1		
NC_027754.1	XP_013594804.1	42	0	1		
NC_027751.1	XP_013636692.1	0	123	1		
NC_027748.1	XP_013606807.1	0	16	1		
NC_027756.1	XP_013609830.1	0	256	1		
NC_027755.1	XP_013603254.1	0	227	1		
NC_027751.1	XP_013634670.1	0	114	1		
NC_027755.1	XP_013605858.1	0	245	1		
NC_027750.1	XP_013624900.1	0	107	1		
NC_027756.1	XP_013610710.1	58	0	1		
NC_027751.1	XP_013634487.1	0	121	1		
NC_027755.1	XP_013599726.1	51	0	1		
NC_027756.1	XP_013608661.1	0	270	1		
NC_027749.1	XP_013620254.1	0	48	1		
NC_027750.1	XP_013623179.1	13	0	1		
NC_027750.1	XP_013625146.1	0	95	1		
NC_027753.1	XP_013591861.1	0	173	1		
NC_027755.1	XP_013600048.1	49	0	1		
NC_027754.1	XP_013598508.1	43	0	1		
NC_027753.1	XP_013591636.1	38	0	1		
NC_027749.1	XP_013619711.1	0	31	1		
NC_027748.1	XP_013639186.1	0	3	1		
NC_027756.1	XP_013608052.1	0	271	1		
NC_027755.1	XP_013603741.1	0	226	1		
NC_027755.1	XP_013602463.1	50	0	1		
NC_027751.1	XP_013634163.1	0	138	1		
NC_027754.1	XP_013595760.1	0	220	1		
NC_027748.1	XP_013634149.1	5	0	1		
NC_027754.1	XP_013596972.1	40	0	1		
NC_027749.1	XP_013616921.1	0	36	1		
NC_027752.1	XP_013585060.1	0	154	1		
NC_027748.1	XP_013600800.1	0	11	1		
NC_027754.1	XP_013599016.1	0	219	1		
NC_027754.1	XP_013595735.1	45	0	1		
NC_027750.1	XP_013626264.1	12	0	1		
NC_027754.1	XP_013594236.1	40	0	1		
NC_027755.1	XP_013603095.1	49	0	1		
NC_027754.1	XP_013592967.1	40	0	1		
NC_027755.1	XP_013604288.1	54	0	1		
NC_027755.1	XP_013600791.1	56	0	1		
NC_027752.1	XP_013584136.1	36	0	1		
NC_027755.1	XP_013605529.1	53	0	1		
NC_027753.1	XP_013591630.1	38	0	1		
	XP_013614036.1	0	287	1		
NC_027749.1	XP_013617037.1	0	40	1		
NC_027752.1	XP_013639288.1	0	155	1		
NC_027752.1	XP_013639459.1	0	159	1		
NC_027751.1	XP_013637378.1	21	0	1		
NC_027749.1	XP_013618070.1	0	62	1		
NC_027752.1	XP_013587721.1	0	146	1		
NC_027751.1	XP_013633471.1	27	0	1		
NC_027755.1	XP_013600386.1	49	0	1		
NC_027750.1	XP_013625833.1	0	68	1		
NC_027750.1	XP_013626347.1	0	68	1		
NC_027750.1	XP_013625566.1	0	77	1		
NC_027751.1	XP_013631628.1	23	0	1		
NC_027753.1	XP_013591100.1	0	169	1		
NC_027751.1	XP_013636213.1	0	140	1		
NC_027752.1	XP_013638945.1	36	0	1		
NC_027752.1	XP_013586377.1	33	0	1		
NC_027749.1	XP_013616158.1	7	0	1		
NC_027756.1	XP_013609562.1	0	260	1		
NC_027755.1	XP_013603222.1	53	0	1		
NC_027749.1	XP_013616341.1	0	32	1		
NC_027750.1	XP_013623420.1	0	74	1		
NC_027754.1	XP_013594318.1	47	218	2		
NC_027748.1	XP_013602347.1	0	13	1		
NC_027753.1	XP_013591634.1	38	0	1		
NC_027751.1	XP_013632127.1	25	0	1		
NC_027755.1	XP_013601617.1	0	239	1		
NC_027753.1	XP_013589711.1	39	0	1		
NC_027751.1	XP_013637280.1	0	113	1		
NC_027749.1	XP_013618045.1	11	0	1		
NC_027750.1	XP_013626144.1	18	98	2		
NC_027755.1	XP_013603094.1	49	0	1		
NC_027753.1	XP_013591013.1	0	171	1		
NC_027756.1	XP_013609564.1	0	276	1		
NC_027756.1	XP_013608897.1	0	279	1		
NC_027756.1	XP_013607795.1	57	0	1		
NC_027751.1	XP_013635154.1	0	125	1		
NC_027748.1	XP_013592085.1	0	13	1		
NC_027755.1	XP_013600132.1	0	244	1		
NC_027748.1	XP_013602499.1	0	6	1		
NC_027750.1	XP_013627486.1	15	0	1		
NC_027754.1	XP_013594808.1	42	0	1		
NC_027756.1	XP_013612794.1	0	261	1		
NC_027756.1	XP_013609210.1	0	269	1		
NC_027756.1	XP_013606121.1	0	255	1		
NC_027753.1	XP_013590136.1	0	169	1		
NC_027755.1	XP_013603339.1	0	246	1		
NC_027749.1	XP_013618039.1	11	0	1		
NC_027749.1	XP_013616995.1	0	38	1		
NC_027751.1	XP_013635973.1	0	144	1		
NC_027753.1	XP_013588224.1	0	177	1		
NC_027748.1	XP_013638149.1	0	8	1		
NC_027748.1	XP_013622332.1	0	24	1		
NC_027755.1	XP_013605769.1	0	229	1		
NC_027754.1	XP_013596357.1	45	0	1		
NC_027750.1	XP_013626680.1	0	68	1		
NC_027751.1	XP_013633599.1	0	138	1		
NC_027750.1	XP_013626200.1	0	108	1		
NC_027754.1	XP_013596797.1	43	0	1		
NC_027754.1	XP_013595471.1	0	208	1		
NC_027750.1	XP_013629204.1	0	66	1		
NC_027754.1	XP_013593813.1	0	200	1		
	XP_013613590.1	0	285	1		
NC_027749.1	XP_013619372.1	8	0	1		
NC_027752.1	XP_013584393.1	0	145	1		
NC_027750.1	XP_013630774.1	0	78	1		
NC_027756.1	XP_013606892.1	58	0	1		
NC_027754.1	XP_013597744.1	0	206	1		
NC_027754.1	XP_013598347.1	47	0	1		
NC_027754.1	XP_013593570.1	0	220	1		
NC_027750.1	XP_013623901.1	0	76	1		
NC_027754.1	XP_013596080.1	0	205	1		
NC_027752.1	XP_013639012.1	0	152	1		
NC_027751.1	XP_013633304.1	25	0	1		
NC_027750.1	XP_013629397.1	0	90	1		
NC_027751.1	XP_013633181.1	0	131	1		
NC_027756.1	XP_013607130.1	57	0	1		
NC_027748.1	XP_013635713.1	2	0	1		
NC_027756.1	XP_013613214.1	58	0	1		
NC_027752.1	XP_013584807.1	32	168, BGC0002400	2		
NC_027750.1	XP_013630101.1	18	98	2		
NC_027754.1	XP_013594551.1	0	194	1		
NC_027751.1	XP_013637145.1	0	143	1		
NC_027751.1	XP_013637125.1	26	0	1		
NC_027755.1	XP_013601186.1	48	0	1		
NC_027751.1	XP_013632553.1	0	117	1		
NC_027752.1	XP_013583374.1	33	0	1		
NC_027751.1	XP_013631883.1	0	137	1		
NC_027755.1	XP_013600106.1	54	0	1		
NC_027750.1	XP_013629203.1	0	66	1		
NC_027749.1	XP_013618036.1	11	0	1		
NC_027755.1	XP_013601192.1	0	224	1		
NC_027753.1	XP_013590222.1	0	177	1		
NC_027755.1	XP_013599595.1	51	0	1		
NC_027753.1	XP_013590898.1	0	182	1		
NC_027753.1	XP_013591190.1	39	0	1		
	XP_013614504.1	0	291	1		
NC_027748.1	XP_013616613.1	0	7	1		
NC_027754.1	XP_013593074.1	0	219	1		
NC_027751.1	XP_013637126.1	26	0	1		
NC_027751.1	XP_013634359.1	19	0	1		
NC_027749.1	XP_013618727.1	0	43	1		
NC_027750.1	XP_013621933.1	0	83	1		
NC_027755.1	XP_013605509.1	55	0	1		
NC_027749.1	XP_013620518.1	6	0	1		
NC_027755.1	XP_013599489.1	48	0	1		
NC_027751.1	XP_013632552.1	0	117	1		
NC_027755.1	XP_013605104.1	50	0	1		
NC_027748.1	XP_013592304.1	5	0	1		
NC_027750.1	XP_013625256.1	0	67	1		
NC_027754.1	XP_013597651.1	45	0	1		
NC_027752.1	XP_013638944.1	36	0	1		
NC_027750.1	XP_013627590.1	0	80	1		
NC_027756.1	XP_013609521.1	0	262	1		
NC_027748.1	XP_013589140.1	0	8	1		
NC_027753.1	XP_013588055.1	39	0	1		
NC_027751.1	XP_013631181.1	25	0	1		
NC_027749.1	XP_013618995.1	0	63	1		
NC_027750.1	XP_013622851.1	0	67	1		
NC_027753.1	XP_013591483.1	39	0	1		
NC_027750.1	XP_013628843.1	17	0	1		
NC_027750.1	XP_013625257.1	0	67	1		
NC_027750.1	XP_013628879.1	13	0	1		
NC_027750.1	XP_013625223.1	0	82	1		
NC_027750.1	XP_013627608.1	17	92	2		
NC_027753.1	XP_013592587.1	39	0	1		
NC_027755.1	XP_013604564.1	0	234	1		
NC_027755.1	XP_013600730.1	55	0	1		
NC_027753.1	XP_013590556.1	39	0	1		
NC_027756.1	XP_013612196.1	0	278	1		
NC_027753.1	XP_013590664.1	0	182	1		
NC_027751.1	XP_013633316.1	0	137	1		
NC_027756.1	XP_013609099.1	0	275	1		
NC_027749.1	XP_013616922.1	0	36	1		
NC_027750.1	XP_013627649.1	0	103	1		
NC_027748.1	XP_013621396.1	3	0	1		
NC_027751.1	XP_013631800.1	21	0	1		
NC_027749.1	XP_013617808.1	0	57	1		
NC_027749.1	XP_013616185.1	0	30	1		
NC_027755.1	XP_013603795.1	0	253	1		
NC_027752.1	XP_013584011.1	37	0	1		
NC_027748.1	XP_013602439.1	0	2	1		
	XP_013614187.1	0	290	1		
NC_027752.1	XP_013638209.1	0	147	1		
NC_027753.1	XP_013588793.1	0	186	1		
NC_027753.1	XP_013592832.1	39	0	1		
NC_027753.1	XP_013588324.1	0	179	1		
NC_027750.1	XP_013622535.1	18	0	1		
NC_027752.1	XP_013584241.1	0	163	1		
NC_027751.1	XP_013631065.1	0	126	1		
NC_027749.1	XP_013620570.1	0	52	1		
NC_027750.1	XP_013622801.1	0	93	1		
NC_027751.1	XP_013631908.1	0	132	1		
	XP_013614183.1	0	290	1		
NC_027756.1	XP_013608521.1	0	280	1		
NC_027755.1	XP_013603093.1	49	0	1		
NC_027751.1	XP_013635725.1	0	142	1		
NC_027752.1	XP_013583970.1	0	150	1		
NC_027754.1	XP_013593761.1	46	0	1		
NC_027752.1	XP_013638946.1	36	0	1		
	XP_013614117.1	0	288	1		
NC_027750.1	XP_013628024.1	0	76	1		
NC_027752.1	XP_013639663.1	0	163	1		
NC_027748.1	XP_013639073.1	0	14	1		
NC_027756.1	XP_013607128.1	57	0	1		
NC_027750.1	XP_013626584.1	0	96	1		
NC_027751.1	XP_013632609.1	0	118	1		
NC_027752.1	XP_013585345.1	0	164	1		
NC_027755.1	XP_013603812.1	0	236	1		
NC_027750.1	XP_013621868.1	0	72	1		
NC_027751.1	XP_013633342.1	26	0	1		
