Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NW_020620492.1	XP_026431862.1	84	0	1		
NC_039364.1	XP_026397431.1	48	0	1		
NC_039358.1	XP_026388121.1	6	0	1		
	XP_026435300.1	0	351	1		
NC_039361.1	XP_026377331.1	33	0	1		
NC_039358.1	XP_026429583.1	1	1	2		
NC_039363.1	XP_026390110.1	45	0	1		
NW_020650526.1	XP_026444219.1	107	0	1		
NC_039362.1	XP_026383322.1	37	131	2		
NC_039358.1	XP_026382588.1	3	4	2		
NC_039358.1	XP_026415955.1	0	27	1		
NC_039365.1	XP_026408427.1	0	254	1		
NW_020624377.1	XP_026437880.1	93	0	1		
NW_020632152.1	XP_026441557.1	101	0	1		
NC_039364.1	XP_026400758.1	0	199	1		
NC_039359.1	XP_026446593.1	14	0	1		
NC_039361.1	XP_026378748.1	0	128	1		
NW_020620492.1	XP_026431908.1	84	0	1		
NC_039368.1	XP_026425989.1	71	0	1		
NC_039359.1	XP_026452367.1	0	79	1		
NC_039360.1	XP_026458200.1	29	0	1		
NC_039361.1	XP_026379436.1	0	126	1		
NC_039368.1	XP_026423902.1	0	310	1		
NC_039358.1	XP_026460965.1	0	35	1		
NC_039368.1	XP_026425236.1	71	0	1		
NC_039364.1	XP_026403571.1	52	0	1		
NC_039358.1	XP_026386725.1	4	0	1		
NC_039364.1	XP_026400201.1	53	0	1		
NW_020632152.1	XP_026441458.1	101	0	1		
NC_039366.1	XP_026415320.1	0	278	1		
NC_039365.1	XP_026407401.1	0	240	1		
	XP_026438102.1	0	360	1		
NW_020618825.1	XP_026429977.1	77	0	1		
NW_020618825.1	XP_026430068.1	74	0	1		
NW_020650970.1	XP_026444496.1	108	0	1		
NC_039361.1	XP_026380920.1	32	0	1		
NC_039358.1	XP_026382351.1	2	0	1		
NC_039368.1	XP_026427350.1	0	314	1		
NC_039361.1	XP_026381087.1	0	123	1		
NC_039366.1	XP_026414456.1	0	284	1		
	XP_026439732.1	0	366	1		
NW_020651082.1	XP_026444821.1	110	0	1		
NC_039361.1	XP_026377328.1	33	0	1		
NC_039358.1	XP_026438044.1	0	32	1		
NW_020649859.1	XP_026443748.1	105	0	1		
NC_039368.1	XP_026425588.1	0	313	1		
NC_039359.1	XP_026452204.1	24	0	1		
NC_039359.1	XP_026447156.1	16	0	1		
NC_039364.1	XP_026402741.1	0	212	1		
NC_039368.1	XP_026424860.1	0	305	1		
	XP_026430668.1	0	329	1		
NC_039362.1	XP_026385438.1	37	0	1		
NC_039365.1	XP_026410345.1	0	244	1		
