potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Saccharide	66255959	68936779	2680820	Glyco_hydro_1, Methyltransf_11	-	CM034146.1	KI387_000384;KI387_000385;KI387_000386;KI387_000387;KI387_000388;KI387_000389;KI387_000390;KI387_000391;KI387_000392;KI387_000393;KI387_044299;KI387_000394	KAH9328276.1;KAH9328277.1;KAH9328278.1;KAH9328279.1;KAH9328280.1;KAH9328281.1;KAH9328282.1;KAH9328283.1;KAH9328284.1;KAH9328285.1;KAH9332155.1;KAH9328286.1	
2	Putative	271456504	274156257	2699750	Acetyltransf_1, Aminotran_1_2, Transferase	-	CM034146.1	KI387_001284;KI387_001285;KI387_001286;KI387_001287;KI387_001288;KI387_001289;KI387_001290;KI387_001291;KI387_001292;KI387_001293;KI387_001294;KI387_001295;KI387_001296;KI387_001297;KI387_001298;KI387_001299;KI387_001300;KI387_001301;KI387_001302	KAH9329176.1;KAH9329177.1;KAH9329178.1;KAH9329179.1;KAH9329180.1;KAH9329181.1;KAH9329182.1;KAH9329183.1;KAH9329184.1;KAH9329185.1;KAH9329186.1;KAH9329187.1;KAH9329188.1;KAH9329189.1;KAH9329190.1;KAH9329191.1;KAH9329192.1;KAH9329193.1;KAH9329194.1	
3	Lignan	659719826	662547324	2827500	Acetyltransf_1, Amino_oxidase, DAHP_synth_2, Dirigent	-	CM034146.1	KI387_002350;KI387_002351;KI387_002352;KI387_002353;KI387_002354;KI387_002355;KI387_002356;KI387_002357;KI387_002358;KI387_002359;KI387_002360;KI387_002361	KAH9330242.1;KAH9330243.1;KAH9330244.1;KAH9330245.1;KAH9330246.1;KAH9330247.1;KAH9330248.1;KAH9330249.1;KAH9330250.1;KAH9330251.1;KAH9330252.1;KAH9330253.1	
4	Saccharide	680889165	685256699	4367530	ADH_N, ADH_zinc_N, Glyco_hydro_1, Transferase	-	CM034146.1	KI387_002447;KI387_002448;KI387_002449;KI387_002450;KI387_002451;KI387_002452;KI387_002453;KI387_002454;KI387_002455;KI387_002456;KI387_044320;KI387_044321;KI387_044322;KI387_044323;KI387_044324	KAH9330339.1;KAH9330340.1;KAH9330341.1;KAH9330342.1;KAH9330343.1;KAH9330344.1;KAH9330345.1;KAH9330346.1;KAH9330347.1;KAH9330348.1;KAH9332176.1;KAH9332177.1;KAH9332178.1;KAH9332179.1;KAH9332180.1	
5	Saccharide	18306818	20640238	2333420	2OG-FeII_Oxy, DIOX_N, Glyco_hydro_1, Oxidored_FMN, p450	-	CM034147.1	KI387_004320;KI387_004321;KI387_004322;KI387_004323;KI387_004324;KI387_004325;KI387_004326;KI387_004327;KI387_004328;KI387_004329;KI387_004330;KI387_004331;KI387_004332;KI387_004333;KI387_004334;KI387_004335;KI387_004336;KI387_004337;KI387_004338;KI387_004339;KI387_004340;KI387_004341;KI387_004342;KI387_004343;KI387_004344;KI387_004345;KI387_004346;KI387_004347;KI387_004348;KI387_004349	KAH9324142.1;KAH9324143.1;KAH9324144.1;KAH9324145.1;KAH9324146.1;KAH9324147.1;KAH9324148.1;KAH9324149.1;KAH9324150.1;KAH9324151.1;KAH9324152.1;KAH9324153.1;KAH9324154.1;KAH9324155.1;KAH9324156.1;KAH9324157.1;KAH9324158.1;KAH9324159.1;KAH9324160.1;KAH9324161.1;KAH9324162.1;KAH9324163.1;KAH9324164.1;KAH9324165.1;KAH9324166.1;KAH9324167.1;KAH9324168.1;KAH9324169.1;KAH9324170.1;KAH9324171.1	
6	Mate	154716510	156488525	1772020	Dirigent, MatE	-	CM034147.1	KI387_004969;KI387_004970;KI387_004971;KI387_004972;KI387_004973;KI387_004974;KI387_004975;KI387_004976;KI387_004977;KI387_004978;KI387_004979;KI387_004980;KI387_004981;KI387_004982;KI387_004983;KI387_004984	KAH9324791.1;KAH9324792.1;KAH9324793.1;KAH9324794.1;KAH9324795.1;KAH9324796.1;KAH9324797.1;KAH9324798.1;KAH9324799.1;KAH9324800.1;KAH9324801.1;KAH9324802.1;KAH9324803.1;KAH9324804.1;KAH9324805.1;KAH9324806.1	
7	Fatty_acid	196264403	199380865	3116460	FA_hydroxylase, Methyltransf_11, adh_short, adh_short_C2	-	CM034147.1	KI387_005153;KI387_005154;KI387_005155;KI387_005156;KI387_005157;KI387_005158;KI387_005159;KI387_005160;KI387_005161;KI387_005162;KI387_005163;KI387_005164;KI387_005165;KI387_005166;KI387_005167;KI387_005168;KI387_005169;KI387_005170;KI387_005171;KI387_005172;KI387_005173	KAH9324975.1;KAH9324976.1;KAH9324977.1;KAH9324978.1;KAH9324979.1;KAH9324980.1;KAH9324981.1;KAH9324982.1;KAH9324983.1;KAH9324984.1;KAH9324985.1;KAH9324986.1;KAH9324987.1;KAH9324988.1;KAH9324989.1;KAH9324990.1;KAH9324991.1;KAH9324992.1;KAH9324993.1;KAH9324994.1;KAH9324995.1	
8	Putative	235436209	241105749	5669540	2OG-FeII_Oxy, DIOX_N, Transferase	-	CM034147.1	KI387_005329;KI387_005330;KI387_005331;KI387_005332;KI387_005333;KI387_005334;KI387_005335;KI387_005336;KI387_005337;KI387_005338;KI387_005339;KI387_005340;KI387_005341;KI387_005342;KI387_005343;KI387_005344;KI387_005345;KI387_005346;KI387_005347;KI387_005348;KI387_005349;KI387_005350;KI387_005351;KI387_005352;KI387_005353;KI387_005354;KI387_005355	KAH9325151.1;KAH9325152.1;KAH9325153.1;KAH9325154.1;KAH9325155.1;KAH9325156.1;KAH9325157.1;KAH9325158.1;KAH9325159.1;KAH9325160.1;KAH9325161.1;KAH9325162.1;KAH9325163.1;KAH9325164.1;KAH9325165.1;KAH9325166.1;KAH9325167.1;KAH9325168.1;KAH9325169.1;KAH9325170.1;KAH9325171.1;KAH9325172.1;KAH9325173.1;KAH9325174.1;KAH9325175.1;KAH9325176.1;KAH9325177.1	
9	Putative	242194820	245809809	3614990	2OG-FeII_Oxy, DIOX_N, p450	-	CM034147.1	KI387_005359;KI387_005360;KI387_005361;KI387_005362;KI387_005363;KI387_005364;KI387_005365;KI387_005366;KI387_005367;KI387_005368;KI387_005369;KI387_005370;KI387_005371;KI387_005372;KI387_005373;KI387_005374;KI387_005375;KI387_005376;KI387_005377	KAH9325181.1;KAH9325182.1;KAH9325183.1;KAH9325184.1;KAH9325185.1;KAH9325186.1;KAH9325187.1;KAH9325188.1;KAH9325189.1;KAH9325190.1;KAH9325191.1;KAH9325192.1;KAH9325193.1;KAH9325194.1;KAH9325195.1;KAH9325196.1;KAH9325197.1;KAH9325198.1;KAH9325199.1	
10	Saccharide	250152339	253566064	3413720	2OG-FeII_Oxy, DIOX_N, Glycos_transf_1	-	CM034147.1	KI387_005390;KI387_005391;KI387_005392;KI387_005393;KI387_005394;KI387_005395;KI387_005396;KI387_005397;KI387_005398;KI387_005399;KI387_005400;KI387_005401;KI387_005402;KI387_005403;KI387_005404;KI387_005405;KI387_005406;KI387_005407;KI387_005408;KI387_005409	KAH9325212.1;KAH9325213.1;KAH9325214.1;KAH9325215.1;KAH9325216.1;KAH9325217.1;KAH9325218.1;KAH9325219.1;KAH9325220.1;KAH9325221.1;KAH9325222.1;KAH9325223.1;KAH9325224.1;KAH9325225.1;KAH9325226.1;KAH9325227.1;KAH9325228.1;KAH9325229.1;KAH9325230.1;KAH9325231.1	
11	Saccharide	549969884	553463727	3493840	Cellulose_synt, Glyco_transf_28, NAD_binding_1, UDPGT	-	CM034147.1	KI387_006093;KI387_006094;KI387_006095;KI387_006096;KI387_006097;KI387_006098	KAH9325915.1;KAH9325916.1;KAH9325917.1;KAH9325918.1;KAH9325919.1;KAH9325920.1	
12	Saccharide-Polyketide	683710861	685284161	1573300	Chal_sti_synt_C, Chal_sti_synt_N, UDPGT_2, p450	small phenolic	CM034147.1	KI387_006378;KI387_006379;KI387_006380;KI387_006381;KI387_006382;KI387_006383;KI387_006384;KI387_006385;KI387_006386	KAH9326200.1;KAH9326201.1;KAH9326202.1;KAH9326203.1;KAH9326204.1;KAH9326205.1;KAH9326206.1;KAH9326207.1;KAH9326208.1	
13	Fatty_acid-Terpene	779994700	781098195	1103490	FA_desaturase, Terpene_synth, Terpene_synth_C	-	CM034147.1	KI387_006867;KI387_006868;KI387_006869;KI387_006870;KI387_006871	KAH9326689.1;KAH9326690.1;KAH9326691.1;KAH9326692.1;KAH9326693.1	
14	Putative	817985950	825104377	7118430	2OG-FeII_Oxy, DIOX_N, Epimerase, Lipoxygenase	-	CM034147.1	KI387_007074;KI387_007075;KI387_007076;KI387_007077;KI387_007078;KI387_007079;KI387_007080;KI387_007081;KI387_007082;KI387_007083;KI387_007084;KI387_007085;KI387_007086;KI387_007087;KI387_007088;KI387_007089;KI387_007090;KI387_007091;KI387_007092;KI387_007093;KI387_007094;KI387_007095;KI387_007096;KI387_007097;KI387_007098;KI387_007099;KI387_007100;KI387_007101;KI387_007102;KI387_007103;KI387_007104;KI387_007105;KI387_007106;KI387_007107;KI387_007108	KAH9326896.1;KAH9326897.1;KAH9326898.1;KAH9326899.1;KAH9326900.1;KAH9326901.1;KAH9326902.1;KAH9326903.1;KAH9326904.1;KAH9326905.1;KAH9326906.1;KAH9326907.1;KAH9326908.1;KAH9326909.1;KAH9326910.1;KAH9326911.1;KAH9326912.1;KAH9326913.1;KAH9326914.1;KAH9326915.1;KAH9326916.1;KAH9326917.1;KAH9326918.1;KAH9326919.1;KAH9326920.1;KAH9326921.1;KAH9326922.1;KAH9326923.1;KAH9326924.1;KAH9326925.1;KAH9326926.1;KAH9326927.1;KAH9326928.1;KAH9326929.1;KAH9326930.1	
