potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology	Best_Match_BGC	Similarity
1	Phenolamide-Alkaloid	17837543	18081299	243760	Amino_oxidase, Epimerase, Pyridoxal_deC, Transferase	-	NC_050096.1	LOC541658;LOC54165_1;LOC103631811;LOC542329;LOC100274071;LOC103631813;LOC10363_94;LOC10363_95;LOC10363_96;LOC10363_97;LOC100191941;LOC10019_59;LOC100192994;LOC100272889;LOC10027_61;LOC109940762;LOC100502400;LOC100276776;LOC103631816;LOC103631817;LOC100383097;LOC100285936;LOC100192907	NP_001335483.1;XP_008651696.1;XP_008651686.2;NP_001338939.1;NP_001141922.1;XP_020400844.1;XP_020400847.1;XP_020400849.1;XP_020400855.1;XP_008651716.1;NP_001130837.1;XP_008673893.1;NP_001345448.1;NP_001334818.1;NP_001140814.1;XP_020396542.2;NP_001334052.1;NP_001143961.2;XP_008651745.1;XP_008651749.1;NP_001169239.1;NP_001152297.2;NP_001131566.1		107.0	38.912133891213394
2	Terpene	60769642	61452729	683090	3Beta_HSD, Terpene_synth, Terpene_synth_C, adh_short, p450	-	NC_050096.1	LOC100273344;LOC10027_183;LOC100382263;LOC100304075;LOC10030_26;LOC10030_27;LOC10030_28;LOC100279862;LOC10027_184;LOC10027_185;LOC100192048;LOC10019_137;LOC103634953;LOC100278306;LOC103634963;LOC112163586;LOC103634972;LOC732834;LOC103634981;LOC103634991;LOC10363_258;LOC100191377;LOC109943421;LOC103644657;LOC100285964;LOC10028_128	NP_001347169.1;XP_008667626.1;NP_001355127.1;NP_001351191.1;XP_008681202.1;XP_008681206.1;XP_008681211.1;XP_020405784.1;XP_020405789.1;NP_001146287.1;XP_008675586.1;NP_001130943.1;XP_020401969.1;NP_001145094.1;XP_020401968.1;NP_001348247.1;XP_008655773.1;NP_001105912.1;XP_008655781.1;NP_001349533.1;XP_008655798.1;NP_001130283.1;XP_020401970.1;XP_020397248.1;NP_001152325.1;XP_008680805.1		107.0	30.592734225621417
3	Saccharide	165048040	166398171	1350130	Glycos_transf_1, p450	-	NC_050096.1	LOC100384432;LOC100383075;LOC103640487;LOC100280674;LOC10028_219;LOC100502453;LOC103640488;z1D_2;z1D_4;LOC103640490;LOC100281147;LOC100381786;LOC103640492;LOC100383396;LOC100274516;LOC100279869;LOC10027_327;LOC10027_328	NP_001355148.1;NP_001169217.1;XP_008661317.2;XP_023157815.1;NP_001147065.1;NP_001335402.1;NP_001306667.1;NP_001105056.1;NP_001105646.1;XP_008661335.2;NP_001147538.2;NP_001168056.1;XP_008661355.1;NP_001169522.1;NP_001142345.2;NP_001146294.1;XP_008672921.1;XP_008672927.1		72.0	37.31778425655977
4	Putative	204027816	204395312	367500	Abhydrolase_3, Epimerase, adh_short	-	NC_050096.1	LOC103643149;LOC100285154;LOC103643151;LOC732845;LOC73284_1;LOC100280790;LOC100282856;LOC100278083;LOC10030_41;LOC100304433;LOC100191284;LOC100284555;LOC10028_282;LOC10028_283	XP_020402815.1;NP_001151520.1;XP_008664525.1;XP_008649383.1;NP_001105920.2;NP_001147183.2;NP_001149234.2;NP_001144948.2;XP_008681533.1;NP_001340271.1;NP_001130190.1;XP_023158128.1;NP_001150922.2;XP_023158130.1		20.0	41.7910447761194
5	Cyclopeptide	207460819	209109902	1649080	BURP	-	NC_050096.1	LOC100191319;LOC10019_259;LOC109943726;LOC103645223;LOC542374;LOC103645224;LOC10019_261;LOC10019_260;LOC100193504;LOC100272562;LOC100304340;LOC100282193;LOC100136885;LOC100279974;LOC10027_417;LOC100191796;LOC10019_262;LOC100283745;LOC103645226;LOC118476111;LOC118476107;LOC118476108;LOC118476109;LOC118476112;LOC100276784;LOC103633036;LOC100277057;LOC103643187;LOC10364_227;LOC100277774;LOC100273676;LOC10027_418;LOC118476113;LOC118476114;LOC100284858;LOC10028_294;LOC10028_295;LOC10028_296;LOC10028_297;LOC10028_298;LOC100383045	XP_020402522.1;NP_001130225.1;XP_020402817.1;XP_020402253.2;NP_001358550.1;XP_023156652.1;NP_001132089.1;XP_008651651.1;XP_008651689.1;NP_001140501.1;NP_001159250.1;NP_001148577.2;NP_001108127.1;XP_020405847.1;NP_001146394.1;XP_023157733.1;NP_001130693.1;NP_001358891.1;XP_020398905.1;XP_035820120.1;XP_035820117.1;XP_035820118.1;XP_035820119.1;XP_035820121.1;XP_008664560.1;XP_020402819.2;NP_001358514.1;XP_008664561.1;XP_035820122.1;NP_001278518.1;NP_001141560.1;XP_008667873.1;XP_035820123.1;XP_035820124.1;XP_035823765.1;XP_035823770.1;XP_035823771.1;NP_001151225.1;XP_008679176.1;XP_008679188.1;NP_001344030.1		178.0	19.767441860465116
6	Fatty_acid	216226879	216480155	253280	Epimerase, FA_desaturase, Transferase	-	NC_050096.1	LOC100281073;LOC542463;LOC54246_1;LOC100276300;LOC100284744;LOC100101547;LOC10019_279;LOC100193830	NP_001147464.1;XP_008648792.1;NP_001105488.1;NP_001143595.1;NP_001151111.1;NP_001306628.1;XP_008657369.1;NP_001132384.1		190.0	60.10362694300518
7	Saccharide-Terpene	219491668	219833920	342250	2OG-FeII_Oxy, DIOX_N, Terpene_synth, Terpene_synth_C, UDPGT_2	*monoterpenoid, cyanogenic glucoside	NC_050096.1	LOC100280958;LOC100283080;LOC100272519;LOC100384238;LOC10364_250;LOC103643290;LOC100273996;LOC542156;LOC54215_1;LOC103643291;LOC10028_328;LOC100284177	NP_001147350.1;NP_001149454.1;NP_001140460.2;XP_008646053.1;XP_020402286.1;XP_020402285.1;NP_001141854.1;NP_001105249.1;XP_020395976.1;NP_001105677.2;NP_001150545.1;XP_008678321.1		169.0	47.43083003952569
8	Terpene-Mate-Polyketide	246384037	247270436	886400	2OG-FeII_Oxy, COesterase, Chal_sti_synt_C, Chal_sti_synt_N, Epimerase, MatE, Terpene_synth, Terpene_synth_C	-	NC_050096.1	LOC103643567;LOC100285638;LOC100282655;LOC100192102;LOC10019_319;LOC100283833;LOC100285393;LOC10028_387;an1;LOC111590564;LOC100272425;LOC10027_514;LOC100275378;LOC10027_515;LOC10027_516;LOC100384600;LOC100502255;LOC100273716;LOC10027_517;LOC10027_518;LOC10027_519;LOC10027_520;LOC10027_521;LOC10027_522;LOC100285292;LOC118473207;LOC100192561;LOC100272827;LOC100383727;LOC10038_220;LOC10038_221;LOC100217159	XP_008664959.1;NP_001152001.2;NP_001149035.1;XP_035823477.1;NP_001130997.1;NP_001169461.1;NP_001151758.1;XP_008679989.1;NP_001105329.3;XP_023157115.1;NP_001308289.1;XP_020402978.1;NP_001142938.1;XP_008669475.1;XP_008669479.1;NP_001353799.1;NP_001183661.1;XP_020402378.1;XP_020402379.1;XP_035820177.1;XP_008664963.1;XP_008664964.1;XP_035820178.1;XP_035820179.1;NP_001151657.2;XP_035817869.1;NP_001131249.2;NP_001354701.1;NP_001169835.1;XP_023155974.1;NP_001241862.1;NP_001136996.1		41.0	27.464788732394368
9	Alkaloid	249276743	249950588	673850	Aminotran_1_2, Pyridoxal_deC, p450	-	NC_050096.1	LOC100126887;LOC10038_223;LOC100382239;LOC10038_222;LOC100274380;LOC10019_323;LOC100191228;LOC10019_322;LOC103645415;LOC100193040;LOC10019_324;LOC103645417;LOC103645418	NP_001106069.2;XP_008643875.1;XP_008643870.1;NP_001168464.1;NP_001142212.1;XP_035817634.1;XP_008646247.1;NP_001130134.1;XP_020399305.1;XP_020395267.1;NP_001345528.1;XP_008666693.1;XP_008666694.1		107.0	50.0
10	Terpene	10914116	11033487	119370	ADH_N, ADH_zinc_N, Terpene_synth, Terpene_synth_C, Transferase	-	NC_050097.1	LOC103645953;LOC100191885;LOC10019_435;LOC103645954;LOC109944469;LOC100273642;LOC103645955;LOC10364_749;LOC10364_750;LOC100274033;LOC541974;LOC54197_1;LOC100276715;LOC103645956	XP_008668896.2;NP_001130781.1;XP_035820389.1;NP_001288371.1;XP_020404844.1;NP_001141530.1;NP_001348116.1;XP_008668899.1;XP_008668900.1;NP_001141888.1;NP_001105097.2;XP_008668623.1;NP_001143909.1;NP_001309865.1		41.0	43.624161073825505
