Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_003074.8	NP_001319765.1	38	0	1		
NC_003075.7	NP_567513.4	47	0	1		
NC_003076.8	NP_198612.1	55	0	1		
NC_003070.9	NP_001322525.1	16	0	1		
NC_003075.7	NP_193405.1	47	0	1		
NC_003076.8	NP_197204.1	52	0	1		
NC_003070.9	NP_001077840.1	17	0	1		
NC_003076.8	NP_001331986.1	52	0	1		
NC_003070.9	NP_001323311.1	16	0	1		
NC_003076.8	NP_001190498.1	61	0	1		
NC_003075.7	NP_193264.3	46	0	1		
NC_003076.8	NP_200682.1	64	0	1		
NC_003070.9	NP_001320425.1	5	0	1		
NC_003076.8	NP_200532.1	63	0	1		
NC_003071.7	NP_001324586.1	28	0	1		
NC_003070.9	NP_849838.1	11	0	1		
NC_003074.8	NP_187634.1	40	0	1		
NC_003070.9	NP_175353.1	9	0	1		
NC_003071.7	NP_001323959.1	23	0	1		
NC_003071.7	NP_001323604.1	22	0	1		
NC_003071.7	NP_181554.1	27	0	1		
NC_003076.8	NP_001332423.1	63	0	1		
NC_003070.9	NP_564881.3	15	0	1		
NC_003074.8	NP_566984.1	37	0	1		
NC_003076.8	NP_199259.1	58	0	1		
NC_003076.8	NP_197196.1	52	0	1		
NC_003076.8	NP_001190450.1	57	0	1		
NC_003076.8	NP_199275.1	59	0	1		
NC_003070.9	NP_001319181.1	9	0	1		
NC_003070.9	NP_973885.1	3	0	1		
NC_003074.8	NP_190099.3	35	0	1		
NC_003070.9	NP_001320384.1	1	0	1		
NC_003075.7	NP_567511.3	47	0	1		
NC_003070.9	NP_171700.1	1	0	1		
NC_003070.9	NP_175357.1	9	0	1		
NC_003070.9	NP_001322051.1	9	0	1		
NC_003076.8	NP_198622.1	55	0	1		
NC_003071.7	NP_180735.1	25	0	1		
NC_003071.7	NP_001031518.1	27	0	1		
NC_003071.7	NP_001077952.1	21	0	1		
NC_003070.9	NP_001031161.1	9	0	1		
NC_003076.8	NP_001032088.1	63	0	1		
NC_003075.7	NP_001320015.1	49	0	1		
NC_003070.9	NP_173658.1	3	0	1		
NC_003076.8	NP_001330491.1	64	0	1		
NC_003071.7	NP_565925.1	27	0	1		
NC_003074.8	NP_683608.1	33	0	1		
NC_003071.7	NP_180192.1	22	0	1		
NC_003070.9	NP_564216.1	6	0	1		
NC_003070.9	NP_001185325.1	14	0	1		
NC_003070.9	NP_175687.2	10	0	1		
NC_003074.8	NP_850553.1	41	0	1		
NC_003074.8	NP_001319549.1	29	0	1		
NC_003070.9	NP_001319209.1	10	0	1		
NC_003074.8	NP_001326199.1	38	0	1		
NC_003070.9	NP_173814.2	5	0	1		
NC_003070.9	NP_001322315.1	8	0	1		
NC_003070.9	NP_001322312.1	9	0	1		
NC_003070.9	NP_176476.1	12	0	1		
NC_003070.9	NP_176483.1	12	0	1		
NC_003071.7	NP_001324881.1	22	0	1		
NC_003075.7	NP_001328610.1	46	0	1		
NC_003074.8	NP_850551.1	40	0	1		
NC_003070.9	NP_001322052.1	9	0	1		
NC_003075.7	NP_193411.1	47	0	1		
NC_003076.8	NP_001032011.1	58	0	1		
NC_003071.7	NP_180499.1	23	0	1		
NC_003075.7	NP_001329488.1	46	0	1		
NC_003071.7	NP_001324815.1	22	0	1		
NC_003071.7	NP_001318290.1	22	0	1		
NC_003076.8	NP_198620.1	55	0	1		
NC_003070.9	NP_001320946.1	16	0	1		
NC_003070.9	NP_175346.1	9	0	1		
NC_003076.8	NP_199065.1	57	0	1		
NC_003071.7	NP_001323919.1	23	0	1		
NC_003074.8	NP_566845.1	31	0	1		
NC_003074.8	NP_001326982.1	33	0	1		
NC_003070.9	NP_565182.1	17	0	1		
NC_003070.9	NP_001320381.1	1	0	1		
NC_003070.9	NP_177965.1	17	0	1		
NC_003070.9	NP_177474.1	16	0	1		
NC_003074.8	NP_001190114.1	39	0	1		
NC_003076.8	NP_199252.1	58	0	1		
NC_003074.8	NP_187969.1	42	0	1		
NC_003071.7	NP_001078004.1	26	0	1		
NC_003076.8	NP_201161.1	51	0	1		
NC_003070.9	NP_176480.1	12	0	1		
NC_003076.8	NP_001190324.1	52	0	1		
NC_003070.9	NP_683299.1	2	0	1		
NC_003070.9	NP_001077818.1	16	0	1		
NC_003070.9	NP_564883.2	15	0	1		
NC_003076.8	NP_199715.1	61	0	1		
NC_003071.7	NP_565547.1	19	0	1		
NC_003071.7	NP_001323602.1	22	0	1		
NC_003076.8	NP_199607.1	60	0	1		
NC_003074.8	NP_001326984.1	33	0	1		
NC_003074.8	NP_001327080.1	42	0	1		
NC_003074.8	NP_190897.1	37	0	1		
NC_003071.7	NP_001324225.1	26	0	1		
NC_003074.8	NP_001030669.1	41	0	1		
NC_003074.8	NP_001326326.1	36	0	1		
NC_003070.9	NP_564357.1	7	0	1		
NC_003070.9	NP_001320786.1	12	0	1		
NC_003071.7	NP_001031442.1	23	0	1		
NC_003074.8	NP_001325469.1	29	0	1		
NC_003071.7	NP_001324895.1	22	0	1		
NC_003075.7	NP_192961.1	43	0	1		
