potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Fatty_acid-Saccharide-Alkaloid	895388	1238131	342740	2OG-FeII_Oxy, ADH_N, ADH_zinc_N, AMP-binding, Aminotran_1_2, Bet_v_1, DIOX_N, FA_hydroxylase, Methyltransf_11, UDPGT_2, adh_short, adh_short_C2, p450	cyanogenic glucoside, monoterpenoid	NC_039358.1	LOC113325137;LOC113325973;LOC113324773;LOC113324778;LOC113324783;LOC113276881;LOC11332_4;LOC11332_3;LOC113324789;LOC113330103;LOC113324806;LOC113324815;LOC113276897;LOC113276913;LOC113324820;LOC113276929;LOC11327_15;LOC113324825;LOC113276962;LOC113324831;LOC113276978;LOC113333567	XP_026429145.1;XP_026429583.1;XP_026428850.1;XP_026428854.1;XP_026428860.1;XP_026382085.1;XP_026428876.1;XP_026428866.1;XP_026428872.1;XP_026432750.1;XP_026428884.1;XP_026428892.1;XP_026382086.1;XP_026382087.1;XP_026428896.1;XP_026382089.1;XP_026382088.1;XP_026428901.1;XP_026382090.1;XP_026428906.1;XP_026382091.1;XP_026435786.1	
2	Alkaloid	3019429	3260325	240900	2OG-FeII_Oxy, DIOX_N, Pyridoxal_deC, adh_short	-	NC_039358.1	LOC113277430;LOC11327_30;LOC113277451;LOC113277444;LOC113325020;LOC113277461;LOC113277479;LOC113277470;LOC113277488	XP_026382317.1;XP_026382321.1;XP_026382330.1;XP_026382326.1;XP_026429050.1;XP_026382339.1;XP_026382351.1;XP_026382346.1;XP_026382359.1	
3	Fatty_acid-Saccharide	3883635	4498670	615030	2OG-FeII_Oxy, AMP-binding, Aminotran_1_2, DIOX_N, FA_hydroxylase, Lipoxygenase, Methyltransf_11, UDPGT_2, adh_short, adh_short_C2, p450	cyanogenic glucoside, monoterpenoid	NC_039358.1	LOC113325069;LOC113325077;LOC113325084;LOC113277789;LOC113277768;LOC113277777;LOC113277797;LOC113355159;LOC113277807;LOC113277819;LOC113325147;LOC113355877;LOC113325158;LOC113277829;LOC113277892;LOC113277899;LOC113358069;LOC113277907;LOC11327_47;LOC11327_48;LOC11327_49;LOC11327_50;LOC113277914;LOC11327_45;LOC11327_46	XP_026429094.1;XP_026429099.1;XP_026429106.1;XP_026382569.1;XP_026382553.1;XP_026382560.1;XP_026382581.1;XP_026454010.1;XP_026382588.1;XP_026382595.1;XP_026429156.1;XP_026454907.1;XP_026429164.1;XP_026382601.1;XP_026382650.1;XP_026382657.1;XP_026457622.1;XP_026382667.1;XP_026382704.1;XP_026382696.1;XP_026382686.1;XP_026382681.1;XP_026382693.1;XP_026382677.1;XP_026382673.1	
4	Phenolamide	28549670	28828108	278440	Pyridoxal_deC, Transferase	-	NC_039358.1	LOC113272356;LOC113326770;LOC11332_39;LOC11332_40;LOC11332_41;LOC113281986;LOC113272562;LOC113282004;LOC113282011;LOC113282020;LOC11328_88	XP_026378004.1;XP_026430211.1;XP_026430215.1;XP_026430222.1;XP_026430229.1;XP_026386688.1;XP_026378182.1;XP_026386705.1;XP_026386714.1;XP_026386725.1;XP_026386734.1	
5	Lignan-Fatty_acid	33481555	33749510	267950	Dirigent, FA_hydroxylase	-	NC_039358.1	LOC113282718;LOC113280625;LOC113282725;LOC113282732;LOC11328_106;LOC113280700;LOC113280789;LOC113281009;LOC113281098;LOC113281250;LOC113281335;LOC113282745;LOC113327412;LOC113282754;LOC113327428;LOC113281546;LOC113327444;LOC113282764	XP_026387563.1;XP_026385035.1;XP_026387577.1;XP_026387585.1;XP_026387587.1;XP_026385101.1;XP_026385180.1;XP_026385460.1;XP_026385561.1;XP_026385764.1;XP_026385856.1;XP_026387597.1;XP_026430466.1;XP_026387609.1;XP_026430467.1;XP_026386134.1;XP_026430469.1;XP_026387621.1	
6	Saccharide-Polyketide-Alkaloid	35343265	35776344	433080	Bet_v_1, Cellulose_synt, Chal_sti_synt_C	-	NC_039358.1	LOC113283129;LOC11328_118;LOC11328_119;LOC113283121;LOC113284498;LOC113327626;LOC113283146;LOC113283154;LOC113283163;LOC113284581;LOC113284813;LOC113285124;LOC113327642;LOC113285280;LOC113327662;LOC11332_49	XP_026388073.1;XP_026388078.1;XP_026388087.1;XP_026388063.1;XP_026389802.1;XP_026430580.1;XP_026388098.1;XP_026388108.1;XP_026388121.1;XP_026389890.1;XP_026389969.1;XP_026389993.1;XP_026430587.1;XP_026390017.1;XP_026430601.1;XP_026430607.1	
7	Fatty_acid	43587171	44117743	530570	2OG-FeII_Oxy, ADH_N, ADH_zinc_N, DIOX_N, FA_desaturase_2, TPMT	-	NC_039358.1	LOC113295985;LOC113296050;LOC113296114;LOC113296184;LOC113284484;LOC113284478;LOC113284492;LOC11328_160;LOC113284499;LOC113284506;LOC113296312;LOC113284521;LOC113284530;LOC113284537;LOC113284545;LOC113328272;LOC113296452;LOC113296661;LOC113296744;LOC113284564;LOC113284553;LOC113328281;LOC113284571;LOC113296911;LOC113296990;LOC113297068;LOC113284578;LOC113284593;LOC113297141;LOC113284587;LOC113284614;LOC113297311	XP_026400119.1;XP_026400194.1;XP_026400260.1;XP_026400316.1;XP_026389754.1;XP_026389741.1;XP_026389767.1;XP_026389773.1;XP_026389776.1;XP_026389782.1;XP_026400426.1;XP_026389797.1;XP_026389809.1;XP_026389822.1;XP_026389832.1;XP_026431175.1;XP_026400562.1;XP_026400789.1;XP_026400889.1;XP_026389844.1;XP_026389837.1;XP_026431183.1;XP_026389850.1;XP_026401090.1;XP_026401181.1;XP_026401282.1;XP_026389857.1;XP_026389876.1;XP_026401372.1;XP_026389867.1;XP_026389912.1;XP_026401558.1	
8	Saccharide	83543248	83692496	149250	UDPGT_2, p450	flavonoid-10, oleananes-10	NC_039358.1	LOC113292670;LOC113292682;LOC11329_100;LOC113346616;LOC113346621;LOC113292700;LOC113292710;LOC113292719;LOC113292727;LOC113346631;LOC113292736;LOC113346637;LOC113330781;LOC113292756;LOC113292745;LOC113292767	XP_026397339.1;XP_026397353.1;XP_026397347.1;XP_026445867.1;XP_026445874.1;XP_026397360.1;XP_026397369.1;XP_026397377.1;XP_026397386.1;XP_026445885.1;XP_026397393.1;XP_026445898.1;XP_026433377.1;XP_026397411.1;XP_026397402.1;XP_026397417.1	
9	Saccharide	203705963	203772968	67000	Epimerase, UDPGT_2, p450	small phenolic	NC_039358.1	LOC113312714;LOC113312717;LOC11331_113;LOC113335600;LOC113358532	XP_026417237.1;XP_026417241.1;XP_026417246.1;XP_026437410.1;XP_026457912.1	
10	Saccharide-Alkaloid	229152688	229520437	367750	Bet_v_1, ECH_2, UDPGT_2	carboxyl-7	NC_039358.1	LOC113338030;LOC113271707;LOC113338038;LOC113318381;LOC11331_325;LOC11331_326;LOC11331_327;LOC11331_328;LOC113338050;LOC113338053;LOC11333_95;LOC113318405;LOC113338083;LOC113271733;LOC113318414;LOC113318422;LOC113271747;LOC113318430;LOC113318439;LOC113318479;LOC113318470;LOC113318456;LOC11331_329	XP_026439341.1;XP_026377398.1;XP_026439347.1;XP_026422325.1;XP_026422332.1;XP_026422334.1;XP_026422337.1;XP_026422344.1;XP_026439354.1;XP_026439358.1;XP_026439366.1;XP_026422354.1;XP_026439391.1;XP_026377424.1;XP_026422368.1;XP_026422380.1;XP_026377438.1;XP_026422388.1;XP_026422397.1;XP_026422432.1;XP_026422423.1;XP_026422406.1;XP_026422413.1	
11	Alkaloid	238965472	239105061	139590	ADH_N, ADH_zinc_N, Bet_v_1, p450	-	NC_039358.1	LOC113321025;LOC11332_127;LOC11332_128;LOC113339093;LOC113339119;LOC113339135;LOC113321065;LOC113321069;LOC113321056;LOC113273915;LOC113273927;LOC113273937;LOC113273947;LOC113321079;LOC113321089	XP_026424706.1;XP_026424701.1;XP_026424691.1;XP_026440281.1;XP_026440289.1;XP_026440290.1;XP_026424732.1;XP_026424739.1;XP_026424722.1;XP_026379272.1;XP_026379281.1;XP_026379290.1;XP_026379293.1;XP_026424747.1;XP_026424757.1	
12	Alkaloid	239218008	239678451	460440	Bet_v_1, p450	-	NC_039358.1	LOC113321147;LOC113321140;LOC113274012;LOC113321153;LOC113339193;LOC113321171;LOC113274025;LOC113339212;LOC113274036;LOC113274046;LOC113339224;LOC113339235;LOC113274071;LOC113339244;LOC113339254;LOC113321188;LOC113339263;LOC113339272;LOC113339280;LOC113321199	XP_026424822.1;XP_026424814.1;XP_026379353.1;XP_026424828.1;XP_026440298.1;XP_026424841.1;XP_026379357.1;XP_026440308.1;XP_026379363.1;XP_026379368.1;XP_026440313.1;XP_026440323.1;XP_026379374.1;XP_026440334.1;XP_026440342.1;XP_026424857.1;XP_026440351.1;XP_026440361.1;XP_026440367.1;XP_026424867.1	
13	Terpene	246280905	246381584	100680	Epimerase, Terpene_synth, Terpene_synth_C	-	NC_039358.1	LOC113323941;LOC113323933;LOC113275962;LOC113275971;LOC113340049	XP_026428074.1;XP_026428066.1;XP_026381336.1;XP_026381347.1;XP_026441049.1	
14	Polyketide	27934846	28248609	313760	Acetyltransf_1, Chal_sti_synt_C, His_biosynth, Trp_syntA	-	NC_039359.1	LOC11334_227;LOC113347204;LOC11334_226;LOC113347206;LOC113347205;LOC113347208;LOC11334_228;LOC11334_229;LOC113347207;LOC113350787;LOC113347210;LOC113347212;LOC113353077;LOC113353078;LOC113347215;LOC113347217;LOC113353079;LOC113347218;LOC113347219;LOC113347220;LOC113353082;LOC113353083	XP_026446596.1;XP_026446593.1;XP_026446594.1;XP_026446598.1;XP_026446597.1;XP_026446600.1;XP_026446601.1;XP_026446602.1;XP_026446599.1;XP_026450691.1;XP_026446603.1;XP_026446604.1;XP_026452570.1;XP_026452571.1;XP_026446606.1;XP_026446607.1;XP_026452572.1;XP_026446608.1;XP_026446609.1;XP_026446610.1;XP_026452573.1;XP_026452574.1	
15	Mate	51388553	52167301	778750	2OG-FeII_Oxy, DIOX_N, MatE, Methyltransf_3, Transferase, adh_short_C2, p450	-	NC_039359.1	LOC113350992;LOC113350993;LOC113353254;LOC113347632;LOC113347633;LOC11334_387;LOC113350996;LOC113347635;LOC11334_388;LOC113347634;LOC11334_389;LOC11334_390;LOC113347638;LOC113347640;LOC11334_391;LOC113350998;LOC113350999;LOC113351000;LOC113347643;LOC113351001;LOC113351003;LOC113353263;LOC113347645;LOC113353266;LOC113353268;LOC113351005;LOC113353271	XP_026450865.1;XP_026450866.1;XP_026452702.1;XP_026447093.1;XP_026447094.1;XP_026447096.1;XP_026450867.1;XP_026447100.1;XP_026447101.1;XP_026447097.1;XP_026447098.1;XP_026447099.1;XP_026447102.1;XP_026447104.1;XP_026447103.1;XP_026450869.1;XP_026450870.1;XP_026450871.1;XP_026447105.1;XP_026450872.1;XP_026450873.1;XP_026452703.1;XP_026447106.1;XP_026452705.1;XP_026452706.1;XP_026450874.1;XP_026452707.1	
16	Alkaloid	54622461	54835442	212980	Bet_v_1, Transferase, p450	-	NC_039359.1	LOC113347695;LOC113347696;LOC113351055;LOC113347697;LOC113351056;LOC113347699;LOC113353310;LOC113351058;LOC113353311;LOC113347700	XP_026447156.1;XP_026447157.1;XP_026450911.1;XP_026447158.1;XP_026450912.1;XP_026447159.1;XP_026452738.1;XP_026450913.1;XP_026452739.1;XP_026447160.1	
17	Saccharide	68196591	68584747	388160	Methyltransf_11, UDPGT_2, p450	flavonoid, oleananes	NC_039359.1	LOC113347935;LOC113347937;LOC113347936;LOC113353470;LOC113351301;LOC113347941;LOC113347943;LOC113353474;LOC113351302	XP_026447414.1;XP_026447416.1;XP_026447415.1;XP_026452843.1;XP_026451100.1;XP_026447417.1;XP_026447418.1;XP_026452845.1;XP_026451101.1	
18	Alkaloid	70905433	71586902	681470	Bet_v_1, Methyltransf_11, p450	-	NC_039359.1	LOC113347981;LOC11335_100;LOC113353497;LOC11335_99;LOC113351351;LOC113351352;LOC113351353;LOC113347984;LOC11334_504;LOC11334_505;LOC113351354;LOC113347990;LOC113353507;LOC113351355;LOC113351356;LOC113351357;LOC113351358;LOC113351359;LOC113347992	XP_026447459.1;XP_026452860.1;XP_026452858.1;XP_026452859.1;XP_026451139.1;XP_026451140.1;XP_026451141.1;XP_026447462.1;XP_026447460.1;XP_026447461.1;XP_026451142.1;XP_026447464.1;XP_026452861.1;XP_026451143.1;XP_026451144.1;XP_026451145.1;XP_026451146.1;XP_026451147.1;XP_026447465.1	
19	Terpene	133389736	133498436	108700	Aldo_ket_red, SQHop_cyclase_C, SQHop_cyclase_N, p450	beta-amyrin	NC_039359.1	LOC113351983;LOC113351984;LOC113353970;LOC113353971;LOC11335_184;LOC11335_185;LOC113353972;LOC113353973	XP_026451658.1;XP_026451659.1;XP_026453218.1;XP_026453219.1;XP_026453221.1;XP_026453220.1;XP_026453222.1;XP_026453223.1	
