Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_080041.1	XP_057415905.1	4	0	1		
NC_080046.1	XP_057433839.1	49	0	1		
NC_080046.1	XP_057430098.1	0	172	1		
NC_080041.1	XP_057435347.1	0	25	1		
NC_080041.1	XP_057440043.1	0	11	1		
NC_080044.1	XP_057420232.1	0	142	1		
NC_080045.1	XP_057424144.1	0	148	1		
NC_080043.1	XP_057456353.1	16	0	1		
NC_080041.1	XP_057443167.1	0	10	1		
NC_080043.1	XP_057458512.1	22	0	1		
NC_080043.1	XP_057457833.1	27	0	1		
NC_080044.1	XP_057419120.1	42	0	1		
NC_080041.1	XP_057439867.1	0	12	1		
NC_080041.1	XP_057433202.1	3	0	1		
NC_080043.1	XP_057456236.1	21	0	1		
NC_080044.1	XP_057415410.1	38	0	1		
NC_080043.1	XP_057414843.1	31	0	1		
NC_080044.1	XP_057422478.1	38	0	1		
NC_080046.1	XP_057430681.1	0	170	1		
NC_080046.1	XP_057433035.1	0	173	1		
NC_080042.1	XP_057450179.1	15	0	1		
NC_080044.1	XP_057415462.1	41	0	1		
NC_080042.1	XP_057444783.1	0	61	1		
NC_080041.1	XP_057453832.1	0	17	1		
NC_080041.1	XP_057458621.1	0	18	1		
NC_080045.1	XP_057422745.1	0	158	1		
NC_080044.1	XP_057419611.1	38	0	1		
NC_080042.1	XP_057448893.1	0	71	1		
NC_080044.1	XP_057416840.1	37	0	1		
NC_080041.1	XP_057434627.1	4	0	1		
NC_080044.1	XP_057416902.1	37	0	1		
NC_080042.1	XP_057450183.1	15	0	1		
NC_080043.1	XP_057457091.1	24	0	1		
NC_080043.1	XP_057451735.1	20	0	1		
NC_080044.1	XP_057416901.1	37	0	1		
NC_080046.1	XP_057433840.1	49	0	1		
NC_080042.1	XP_057448578.1	0	69	1		
NC_080041.1	XP_057442277.1	1	0	1		
NC_080042.1	XP_057448788.1	0	70	1		
NC_080044.1	XP_057421867.1	37	0	1		
NC_080044.1	XP_057418349.1	0	131	1		
NC_080044.1	XP_057417167.1	0	140	1		
NC_080041.1	XP_057434969.1	0	23	1		
NC_080043.1	XP_057457236.1	20	0	1		
NC_080041.1	XP_057439926.1	1	0	1		
NC_080042.1	XP_057445993.1	0	52	1		
NC_080043.1	XP_057459041.1	20	0	1		
NC_080043.1	XP_057451871.1	31	0	1		
NC_080041.1	XP_057438097.1	0	43	1		
NC_080044.1	XP_057421654.1	39	0	1		
NC_080043.1	XP_057456390.1	16	0	1		
NC_080043.1	XP_057456862.1	19	0	1		
NC_080043.1	XP_057456352.1	16	0	1		
NC_080043.1	XP_057453025.1	34	111	2		
NC_080042.1	XP_057448488.1	13	0	1		
NC_080042.1	XP_057449572.1	0	77	1		
NC_080041.1	XP_057435599.1	6	0	1		
NC_080046.1	XP_057430308.1	0	176	1		
NC_080043.1	XP_057456797.1	18	0	1		
NC_080043.1	XP_057451828.1	26	0	1		
NC_080043.1	XP_057454557.1	0	106	1		
NC_080046.1	XP_057429005.1	0	189	1		
NC_080046.1	XP_057432376.1	48	0	1		
NC_080042.1	XP_057449175.1	0	72	1		
NC_080045.1	XP_057425833.1	43	0	1		
NC_080041.1	XP_057433697.1	3	0	1		
NC_080043.1	XP_057452354.1	0	99	1		
NC_080041.1	XP_057434656.1	0	21	1		
NC_080042.1	XP_057448577.1	0	69	1		
NC_080042.1	XP_057446054.1	0	53	1		
NC_080042.1	XP_057448082.1	12	0	1		
NC_080043.1	XP_057450645.1	20	0	1		
NC_080041.1	XP_057439754.1	0	50	1		
NC_080043.1	XP_057457824.1	22	0	1		
NC_080043.1	XP_057457237.1	20	0	1		
NC_080043.1	XP_057451153.1	17	0	1		
NC_080046.1	XP_057429023.1	50	0	1		
NC_080044.1	XP_057416710.1	37	0	1		
NC_080042.1	XP_057450181.1	15	79	2		
NC_080043.1	XP_057457366.1	20	0	1		
NC_080043.1	XP_057453361.1	32	0	1		
NC_080041.1	XP_057438225.1	9	0	1		
NC_080041.1	XP_057440375.1	0	29	1		
NC_080042.1	XP_057448480.1	13	0	1		
NC_080041.1	XP_057433466.1	3	0	1		
NC_080043.1	XP_057454564.1	0	106	1		
NC_080046.1	XP_057431736.1	0	183	1		
NC_080043.1	XP_057456856.1	19	0	1		
NC_080043.1	XP_057458648.1	0	85	1		
NC_080043.1	XP_057456396.1	16	0	1		
NC_080045.1	XP_057427219.1	43	0	1		
NC_080043.1	XP_057455293.1	34	0	1		
NC_080046.1	XP_057431632.1	0	187	1		
NC_080043.1	XP_057451775.1	22	0	1		
NC_080043.1	XP_057458646.1	0	85	1		
NC_080043.1	XP_057458805.1	20	0	1		
NC_080043.1	XP_057456230.1	35	0	1		
NC_080043.1	XP_057452451.1	26	0	1		
NC_080046.1	XP_057430744.1	0	178	1		
NC_080043.1	XP_057456394.1	16	0	1		
NC_080041.1	XP_057459215.1	0	19	1		
NC_080043.1	XP_057453174.1	0	120	1		
NC_080045.1	XP_057423678.1	43	0	1		
NC_080043.1	XP_057458643.1	27	0	1		
NC_080043.1	XP_057456419.1	0	118	1		
NC_080042.1	XP_057444771.1	0	60	1		
NC_080042.1	XP_057444842.1	13	0	1		
NC_080042.1	XP_057444445.1	0	55	1		
NC_080043.1	XP_057456781.1	18	0	1		
NC_080043.1	XP_057454609.1	0	108	1		
NC_080041.1	XP_057442328.1	0	6	1		
NC_080045.1	XP_057424295.1	47	0	1		
NC_080044.1	XP_057416059.1	0	128	1		
NC_080043.1	XP_057456859.1	19	0	1		
NC_080046.1	XP_057433440.1	52	0	1		
NC_080041.1	XP_057437366.1	0	6	1		
NC_080044.1	XP_057414986.1	0	144	1		
NC_080041.1	XP_057438832.1	0	45	1		
NC_080045.1	XP_057425767.1	44	0	1		
NC_080043.1	XP_057455936.1	0	114	1		
NC_080043.1	XP_057456404.1	16	0	1		
NC_080043.1	XP_057453944.1	33	0	1		
NC_080045.1	XP_057423895.1	0	165	1		
NC_080043.1	XP_057458303.1	28	0	1		
NC_080043.1	XP_057450684.1	0	97	1		
NC_080041.1	XP_057439171.1	0	49	1		
NC_080041.1	XP_057452332.1	0	15	1		
NC_080041.1	XP_057438335.1	0	44	1		
NC_080041.1	XP_057434624.1	4	0	1		
NC_080043.1	XP_057456407.1	16	0	1		
NC_080046.1	XP_057429609.1	0	169	1		
NC_080043.1	XP_057452792.1	28	0	1		
NC_080042.1	XP_057448451.1	13	0	1		
NC_080043.1	XP_057453968.1	33	0	1		
NC_080043.1	XP_057453367.1	32	0	1		
NC_080046.1	XP_057433836.1	49	0	1		
NC_080041.1	XP_057437465.1	0	39	1		
NC_080044.1	XP_057419885.1	37	0	1		
NC_080042.1	XP_057443623.1	13	0	1		
NC_080041.1	XP_057433355.1	3	0	1		
NC_080043.1	XP_057451239.1	0	100	1		
NC_080044.1	XP_057419047.1	0	138	1		
NC_080044.1	XP_057416542.1	38	0	1		
NC_080045.1	XP_057423679.1	43	0	1		
NC_080041.1	XP_057433893.1	3	0	1		
NC_080044.1	XP_057419851.1	0	142	1		
NC_080043.1	XP_057456363.1	16	0	1		
NC_080043.1	XP_057456375.1	16	0	1		
NC_080042.1	XP_057446156.1	0	54	1		
NC_080041.1	XP_057433449.1	3	0	1		
NC_080041.1	XP_057438836.1	0	45	1		
NC_080041.1	XP_057431052.1	2	0	1		
NC_080043.1	XP_057450964.1	22	0	1		
NC_080043.1	XP_057458299.1	28	0	1		
NC_080043.1	XP_057453371.1	32	0	1		
NC_080041.1	XP_057442283.1	1	0	1		
NC_080042.1	XP_057448466.1	13	0	1		
NC_080041.1	XP_057433506.1	3	0	1		
NC_080043.1	XP_057453959.1	33	0	1		
NC_080042.1	XP_057449573.1	0	77	1		
NC_080046.1	XP_057429206.1	0	189	1		
NC_080044.1	XP_057420728.1	0	139	1		
NC_080041.1	XP_057435307.1	5	0	1		
NC_080043.1	XP_057451249.1	0	90	1		
NC_080043.1	XP_057453962.1	33	0	1		
NC_080041.1	XP_057427777.1	0	39	1		
NC_080041.1	XP_057436254.1	0	31	1		
NC_080043.1	XP_057453364.1	32	0	1		
NC_080046.1	XP_057433828.1	49	0	1		
NC_080043.1	XP_057456237.1	21	0	1		
NC_080045.1	XP_057428103.1	0	156	1		
NC_080043.1	XP_057454610.1	0	108	1		
NC_080041.1	XP_057434641.1	4	0	1		
NC_080041.1	XP_057442273.1	1	0	1		
NC_080043.1	XP_057458540.1	0	84	1		
NC_080041.1	XP_057436649.1	0	35	1		
NC_080046.1	XP_057430099.1	0	172	1		
NC_080045.1	XP_057426869.1	0	149	1		
NC_080043.1	XP_057454245.1	0	103	1		
NC_080043.1	XP_057456791.1	18	0	1		
NC_080043.1	XP_057451217.1	31	0	1		
NC_080045.1	XP_057424723.1	45	0	1		
NC_080044.1	XP_057420568.1	38	0	1		
NC_080046.1	XP_057433760.1	0	184	1		
NC_080041.1	XP_057433691.1	3	0	1		
NC_080043.1	XP_057456371.1	16	0	1		
NC_080043.1	XP_057451812.1	24	0	1		
NC_080043.1	XP_057451869.1	30	0	1		
NC_080046.1	XP_057433827.1	49	0	1		
NC_080042.1	XP_057449410.1	0	74	1		
NC_080044.1	XP_057420522.1	0	136	1		
NC_080041.1	XP_057442279.1	1	0	1		
NC_080043.1	XP_057457663.1	24	0	1		
NC_080044.1	XP_057415126.1	0	126	1		
NC_080043.1	XP_057454561.1	0	107	1		
NC_080045.1	XP_057427543.1	0	155	1		
NC_080042.1	XP_057445451.1	10	0	1		
NC_080044.1	XP_057415201.1	0	130	1		
NC_080043.1	XP_057456381.1	16	0	1		
NC_080044.1	XP_057416545.1	38	0	1		
NC_080045.1	XP_057424720.1	45	0	1		
NC_080044.1	XP_057420685.1	0	141	1		
NC_080043.1	XP_057457546.1	0	82	1		
NC_080041.1	XP_057436691.1	0	36	1		
