potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NW_006238923.1_cds_XP_006303639.1_96_lcl|NW_006238923.1_cds_XP_006303639.1_96_1;lcl|NW_006238923.1_cds_XP_006304156.1_97_lcl|NW_006238923.1_cds_XP_006304156.1_97_1;lcl|NW_006238923.1_cds_XP_006304974.1_99_lcl|NW_006238923.1_cds_XP_006304974.1_99_1	XP_006303639.1;XP_006304156.1;XP_006304974.1
2	lcl|NW_006238923.1_cds_XP_006305595.1_179_lcl|NW_006238923.1_cds_XP_006305595.1_179_1;lcl|NW_006238923.1_cds_XP_006305278.2_180_lcl|NW_006238923.1_cds_XP_006305278.2_180_1;lcl|NW_006238923.1_cds_XP_006303267.1_181_lcl|NW_006238923.1_cds_XP_006303267.1_181_1	XP_006303267.1;XP_006305278.2;XP_006305595.1
3	lcl|NW_006238923.1_cds_XP_006307604.1_286_lcl|NW_006238923.1_cds_XP_006307604.1_286_1;lcl|NW_006238923.1_cds_XP_006305695.1_287_lcl|NW_006238923.1_cds_XP_006305695.1_287_1;lcl|NW_006238923.1_cds_XP_006306434.1_288_lcl|NW_006238923.1_cds_XP_006306434.1_288_1	XP_006305695.1;XP_006306434.1;XP_006307604.1
4	lcl|NW_006238923.1_cds_XP_006304423.1_387_lcl|NW_006238923.1_cds_XP_006304423.1_387_1;lcl|NW_006238923.1_cds_XP_006303676.1_388_lcl|NW_006238923.1_cds_XP_006303676.1_388_1;lcl|NW_006238923.1_cds_XP_006306303.1_389_lcl|NW_006238923.1_cds_XP_006306303.1_389_1	XP_006303676.1;XP_006304423.1;XP_006306303.1
5	lcl|NW_006238923.1_cds_XP_023645343.1_469_lcl|NW_006238923.1_cds_XP_023645343.1_469_1;lcl|NW_006238923.1_cds_XP_006305986.1_470_lcl|NW_006238923.1_cds_XP_006305986.1_470_1;lcl|NW_006238923.1_cds_XP_006303777.1_471_lcl|NW_006238923.1_cds_XP_006303777.1_471_1	XP_006303777.1;XP_006305986.1;XP_023645343.1
6	lcl|NW_006238923.1_cds_XP_006305828.1_624_lcl|NW_006238923.1_cds_XP_006305828.1_624_1;lcl|NW_006238923.1_cds_XP_006305980.1_625_lcl|NW_006238923.1_cds_XP_006305980.1_625_1;lcl|NW_006238923.1_cds_XP_006307449.1_626_lcl|NW_006238923.1_cds_XP_006307449.1_626_1	XP_006305828.1;XP_006305980.1;XP_006307449.1
7	lcl|NW_006238923.1_cds_XP_006303511.1_988_lcl|NW_006238923.1_cds_XP_006303511.1_988_1;lcl|NW_006238923.1_cds_XP_023644759.1_989_lcl|NW_006238923.1_cds_XP_023644759.1_989_1;lcl|NW_006238923.1_cds_XP_006304437.1_990_lcl|NW_006238923.1_cds_XP_006304437.1_990_1	XP_006303511.1;XP_006304437.1;XP_023644759.1
8	lcl|NW_006238923.1_cds_XP_006305032.1_1011_lcl|NW_006238923.1_cds_XP_006305032.1_1011_1;lcl|NW_006238923.1_cds_XP_006304860.1_1013_lcl|NW_006238923.1_cds_XP_006304860.1_1013_1;lcl|NW_006238923.1_cds_XP_006304165.1_1014_lcl|NW_006238923.1_cds_XP_006304165.1_1014_1	XP_006304165.1;XP_006304860.1;XP_006305032.1
9	lcl|NW_006238923.1_cds_XP_006305485.1_1033_lcl|NW_006238923.1_cds_XP_006305485.1_1033_1;lcl|NW_006238923.1_cds_XP_006307415.1_1034_lcl|NW_006238923.1_cds_XP_006307415.1_1034_1;lcl|NW_006238923.1_cds_XP_006306095.1_1035_lcl|NW_006238923.1_cds_XP_006306095.1_1035_1	XP_006305485.1;XP_006306095.1;XP_006307415.1
10	lcl|NW_006238923.1_cds_XP_006305369.1_1146_lcl|NW_006238923.1_cds_XP_006305369.1_1146_1;lcl|NW_006238923.1_cds_XP_006305357.1_1147_lcl|NW_006238923.1_cds_XP_006305357.1_1147_1;lcl|NW_006238923.1_cds_XP_006304701.1_1148_lcl|NW_006238923.1_cds_XP_006304701.1_1148_1;lcl|NW_006238923.1_cds_XP_006303172.1_1150_lcl|NW_006238923.1_cds_XP_006303172.1_1150_1	XP_006303172.1;XP_006304701.1;XP_006305357.1;XP_006305369.1
11	lcl|NW_006238923.1_cds_XP_023644700.1_1438_lcl|NW_006238923.1_cds_XP_023644700.1_1438_1;lcl|NW_006238923.1_cds_XP_006305371.2_1439_lcl|NW_006238923.1_cds_XP_006305371.2_1439_1;lcl|NW_006238923.1_cds_XP_006305492.2_1440_lcl|NW_006238923.1_cds_XP_006305492.2_1440_1;lcl|NW_006238923.1_cds_XP_006303929.1_1441_lcl|NW_006238923.1_cds_XP_006303929.1_1441_1	XP_006303929.1;XP_006305371.2;XP_006305492.2;XP_023644700.1
12	lcl|NW_006238923.1_cds_XP_023645633.1_2109_lcl|NW_006238923.1_cds_XP_023645633.1_2109_1;lcl|NW_006238923.1_cds_XP_023645634.1_2110_lcl|NW_006238923.1_cds_XP_023645634.1_2110_1;lcl|NW_006238923.1_cds_XP_006304968.1_2111_lcl|NW_006238923.1_cds_XP_006304968.1_2111_1	XP_006304968.1;XP_023645633.1;XP_023645634.1
13	lcl|NW_006238923.1_cds_XP_006307453.1_2275_lcl|NW_006238923.1_cds_XP_006307453.1_2275_1;lcl|NW_006238923.1_cds_XP_006306255.1_2276_lcl|NW_006238923.1_cds_XP_006306255.1_2276_1;lcl|NW_006238923.1_cds_XP_023633136.1_2277_lcl|NW_006238923.1_cds_XP_023633136.1_2277_1;lcl|NW_006238923.1_cds_XP_006305996.1_2278_lcl|NW_006238923.1_cds_XP_006305996.1_2278_1;lcl|NW_006238923.1_cds_XP_006304424.1_2279_lcl|NW_006238923.1_cds_XP_006304424.1_2279_1	XP_006304424.1;XP_006305996.1;XP_006306255.1;XP_006307453.1;XP_023633136.1
14	lcl|NW_006238923.1_cds_XP_006307358.2_2381_lcl|NW_006238923.1_cds_XP_006307358.2_2381_1;lcl|NW_006238923.1_cds_XP_006307129.1_2382_lcl|NW_006238923.1_cds_XP_006307129.1_2382_1;lcl|NW_006238923.1_cds_XP_006304758.1_2383_lcl|NW_006238923.1_cds_XP_006304758.1_2383_1	XP_006304758.1;XP_006307129.1;XP_006307358.2
15	lcl|NW_006238923.1_cds_XP_006304681.1_2448_lcl|NW_006238923.1_cds_XP_006304681.1_2448_1;lcl|NW_006238923.1_cds_XP_006304733.1_2449_lcl|NW_006238923.1_cds_XP_006304733.1_2449_1;lcl|NW_006238923.1_cds_XP_006304517.1_2450_lcl|NW_006238923.1_cds_XP_006304517.1_2450_1	XP_006304517.1;XP_006304681.1;XP_006304733.1
16	lcl|NW_006238923.1_cds_XP_023645928.1_2971_lcl|NW_006238923.1_cds_XP_023645928.1_2971_1;lcl|NW_006238923.1_cds_XP_023645257.1_2972_lcl|NW_006238923.1_cds_XP_023645257.1_2972_1;lcl|NW_006238923.1_cds_XP_006305049.1_2976_lcl|NW_006238923.1_cds_XP_006305049.1_2976_1	XP_006305049.1;XP_023645257.1;XP_023645928.1
17	lcl|NW_006238923.1_cds_XP_023645965.1_3182_lcl|NW_006238923.1_cds_XP_023645965.1_3182_1;lcl|NW_006238923.1_cds_XP_023645964.1_3183_lcl|NW_006238923.1_cds_XP_023645964.1_3183_1;lcl|NW_006238923.1_cds_XP_006307339.1_3184_lcl|NW_006238923.1_cds_XP_006307339.1_3184_1	XP_006307339.1;XP_023645964.1;XP_023645965.1
