potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Lignan-Fatty_acid	2602245	2868667	266420	Dirigent, FA_hydroxylase, p450	-	NC_058518.1	LOC123453131;LOC123453142;LOC123453150;LOC123403423;LOC123414127;LOC123417298;LOC123453170;LOC123453179;LOC123453188;LOC123418852;LOC123403433	XP_044985836.1;XP_044985846.1;XP_044985859.1;XP_044953299.1;XP_044962608.1;XP_044962861.1;XP_044985878.1;XP_044985890.1;XP_044985902.1;XP_044963088.1;XP_044953308.1	
2	Polyketide	10362313	10575247	212930	2OG-FeII_Oxy, Chal_sti_synt_C, Chal_sti_synt_N, Dimerisation, Methyltransf_2	-	NC_058518.1	LOC123395230;LOC123404448;LOC123442440;LOC123442530;LOC123442618;LOC123442699;LOC123442790;LOC123442876;LOC123442962;LOC123443044;LOC123404467;LOC123443121	XP_044946124.1;XP_044954319.1;XP_044974458.1;XP_044974572.1;XP_044974683.1;XP_044974790.1;XP_044974902.1;XP_044975020.1;XP_044975129.1;XP_044975248.1;XP_044954335.1;XP_044975365.1	
3	Saccharide	16733414	17984571	1251160	ADH_N, ADH_zinc_N, UDPGT_2, p450	cyanogenic glucoside-2, monoterpenoid-2	NC_058518.1	LOC123450541;LOC123450639;LOC12345_3;LOC123450919;LOC123450812;LOC123451020;LOC123451129;LOC123451228	XP_044983683.1;XP_044983745.1;XP_044983783.1;XP_044983905.1;XP_044983846.1;XP_044984006.1;XP_044984106.1;XP_044984175.1	
4	Putative	65724731	67492999	1768270	2OG-FeII_Oxy, Acetyltransf_1, Aminotran_1_2, DIOX_N, Peptidase_S10	-	NC_058518.1	LOC123407166;LOC123424404;LOC12342_32;LOC123424419;LOC123407181;LOC123396668;LOC123424438;LOC12342_33;LOC123424428;LOC123424450;LOC123407191	XP_044956179.1;XP_044963960.1;XP_044963952.1;XP_044963969.1;XP_044956197.1;XP_044947476.1;XP_044963991.1;XP_044963998.1;XP_044963979.1;XP_044964011.1;XP_044956206.1	
5	Saccharide	84266721	85539541	1272820	Glycos_transf_1, Lyase_aromatic, p450	-	NC_058518.1	LOC123425502;LOC123425514;LOC12342_74;LOC123425542;LOC123407511;LOC123407519;LOC123407527;LOC123407533;LOC123425559;LOC123425549	XP_044965135.1;XP_044965151.1;XP_044965160.1;XP_044965172.1;XP_044956597.1;XP_044956607.1;XP_044956620.1;XP_044956633.1;XP_044965187.1;XP_044965179.1	
6	Saccharide	125642087	128536250	2894160	Cellulose_synt, Transferase, UDPGT_2	flavonoid	NC_058518.1	LOC123426920;LOC123426925;LOC12342_126;LOC123408081;LOC123426939;LOC123426950;LOC123397519	XP_044966770.1;XP_044966784.1;XP_044966788.1;XP_044957219.1;XP_044966798.1;XP_044966810.1;XP_044947985.1	
7	Saccharide	358787341	359266953	479610	AMP-binding, Cellulose_synt, Methyltransf_11	-	NC_058518.1	LOC123436626;LOC123436642;LOC12343_112;LOC12343_113;LOC12343_114;LOC12343_115;LOC12343_116;LOC12343_117;LOC12343_118;LOC12343_119;LOC123436738;LOC12343_120;LOC12343_121;LOC123399193;LOC123436774;LOC123436790;LOC12343_122;LOC12343_123;LOC12343_124;LOC123436836;LOC123410993	XP_044971578.1;XP_044971579.1;XP_044971580.1;XP_044971581.1;XP_044971583.1;XP_044971584.1;XP_044971585.1;XP_044971586.1;XP_044971587.1;XP_044971588.1;XP_044971589.1;XP_044971590.1;XP_044971591.1;XP_044949564.1;XP_044971593.1;XP_044971597.1;XP_044971596.1;XP_044971595.1;XP_044971594.1;XP_044971598.1;XP_044959848.1	
8	Saccharide-Polyketide	430558699	431138756	580060	Chal_sti_synt_C, Chal_sti_synt_N, Methyltransf_7, UDPGT_2, adh_short	flavonoid, oleananes	NC_058518.1	LOC123400071;LOC123412867;LOC123412873;LOC123400080;LOC123442819;LOC123442829	XP_044950406.1;XP_044961759.1;XP_044961771.1;XP_044950418.1;XP_044974906.1;XP_044974919.1	
9	Saccharide	440862561	441200963	338400	2OG-FeII_Oxy, DIOX_N, Methyltransf_11, UDPGT_2	flavonoid, oleananes	NC_058518.1	LOC123413236;LOC123443439;LOC12344_120;LOC12344_121;LOC123413246;LOC123443460;LOC123443477;LOC123443468;LOC123443484;LOC12344_122;LOC12344_123;LOC123443493;LOC123443513	XP_044962117.1;XP_044975746.1;XP_044975763.1;XP_044975755.1;XP_044962125.1;XP_044975772.1;XP_044975793.1;XP_044975780.1;XP_044975804.1;XP_044975815.1;XP_044975822.1;XP_044975830.1;XP_044975839.1	
10	Putative	478493343	479034488	541140	2OG-FeII_Oxy, DIOX_N, Dimerisation, Methyltransf_2, p450	-	NC_058518.1	LOC123416265;LOC123447172;LOC123416281;LOC123416297;LOC123416329;LOC123401231;LOC123447192;LOC123416345;LOC123416361	XP_044962722.1;XP_044979691.1;XP_044962723.1;XP_044962724.1;XP_044962726.1;XP_044950909.1;XP_044979711.1;XP_044962727.1;XP_044962728.1	
