potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NW_015787497.1_cds_XP_016500146.1_144_lcl|NW_015787497.1_cds_XP_016500146.1_144_1;lcl|NW_015787497.1_cds_XP_016500328.1_145_lcl|NW_015787497.1_cds_XP_016500328.1_145_1;lcl|NW_015787497.1_cds_XP_016500421.1_146_lcl|NW_015787497.1_cds_XP_016500421.1_146_1	XP_016500146.1;XP_016500328.1;XP_016500421.1
2	lcl|NW_015787545.1_cds_XP_016502577.1_166_lcl|NW_015787545.1_cds_XP_016502577.1_166_1;lcl|NW_015787549.1_cds_XP_016502671.1_167_lcl|NW_015787549.1_cds_XP_016502671.1_167_1;lcl|NW_015787549.1_cds_XP_016502771.1_168_lcl|NW_015787549.1_cds_XP_016502771.1_168_1	XP_016502577.1;XP_016502671.1;XP_016502771.1
3	lcl|NW_015787584.1_cds_XP_016504221.1_180_lcl|NW_015787584.1_cds_XP_016504221.1_180_1;lcl|NW_015787592.1_cds_XP_016504320.1_181_lcl|NW_015787592.1_cds_XP_016504320.1_181_1;lcl|NW_015787593.1_cds_XP_016504415.1_182_lcl|NW_015787593.1_cds_XP_016504415.1_182_1	XP_016504221.1;XP_016504320.1;XP_016504415.1
4	lcl|NW_015787636.1_cds_XP_016505416.1_190_lcl|NW_015787636.1_cds_XP_016505416.1_190_1;lcl|NW_015787636.1_cds_XP_016505796.1_191_lcl|NW_015787636.1_cds_XP_016505796.1_191_1;lcl|NW_015787636.1_cds_XP_016505703.1_193_lcl|NW_015787636.1_cds_XP_016505703.1_193_1	XP_016505416.1;XP_016505703.1;XP_016505796.1
5	lcl|NW_015787684.1_cds_XP_016509708.1_224_lcl|NW_015787684.1_cds_XP_016509708.1_224_1;lcl|NW_015787696.1_cds_XP_016509800.1_225_lcl|NW_015787696.1_cds_XP_016509800.1_225_1;lcl|NW_015787703.1_cds_XP_016510352.1_226_lcl|NW_015787703.1_cds_XP_016510352.1_226_1;lcl|NW_015787722.1_cds_XP_016510750.1_228_lcl|NW_015787722.1_cds_XP_016510750.1_228_1;lcl|NW_015787722.1_cds_XP_016510844.1_229_lcl|NW_015787722.1_cds_XP_016510844.1_229_1	XP_016509708.1;XP_016509800.1;XP_016510352.1;XP_016510750.1;XP_016510844.1
6	lcl|NW_015788567.1_cds_XP_016469426.1_577_lcl|NW_015788567.1_cds_XP_016469426.1_577_1;lcl|NW_015788570.1_cds_XP_016469511.1_578_lcl|NW_015788570.1_cds_XP_016469511.1_578_1;lcl|NW_015788576.1_cds_XP_016469721.1_579_lcl|NW_015788576.1_cds_XP_016469721.1_579_1;lcl|NW_015788593.1_cds_XP_016470276.1_580_lcl|NW_015788593.1_cds_XP_016470276.1_580_1;lcl|NW_015788593.1_cds_XP_016470340.1_581_lcl|NW_015788593.1_cds_XP_016470340.1_581_1	XP_016469426.1;XP_016469511.1;XP_016469721.1;XP_016470276.1;XP_016470340.1
7	lcl|NW_015788617.1_cds_XP_016472234.1_604_lcl|NW_015788617.1_cds_XP_016472234.1_604_1;lcl|NW_015788624.1_cds_XP_016472329.1_605_lcl|NW_015788624.1_cds_XP_016472329.1_605_1;lcl|NW_015788644.1_cds_XP_016472553.1_606_lcl|NW_015788644.1_cds_XP_016472553.1_606_1	XP_016472234.1;XP_016472329.1;XP_016472553.1
8	lcl|NW_015789966.1_cds_XP_016499370.1_1261_lcl|NW_015789966.1_cds_XP_016499370.1_1261_1;lcl|NW_015789971.1_cds_XP_016499380.1_1262_lcl|NW_015789971.1_cds_XP_016499380.1_1262_1;lcl|NW_015789982.1_cds_XP_016499412.1_1263_lcl|NW_015789982.1_cds_XP_016499412.1_1263_1	XP_016499370.1;XP_016499380.1;XP_016499412.1
9	lcl|NW_015791208.1_cds_XP_016506027.1_1855_lcl|NW_015791208.1_cds_XP_016506027.1_1855_1;lcl|NW_015791208.1_cds_XP_016506036.1_1856_lcl|NW_015791208.1_cds_XP_016506036.1_1856_1;lcl|NW_015791210.1_cds_XP_016506057.1_1858_lcl|NW_015791210.1_cds_XP_016506057.1_1858_1	XP_016506027.1;XP_016506036.1;XP_016506057.1
10	lcl|NW_015791743.1_cds_XP_016508721.1_2102_lcl|NW_015791743.1_cds_XP_016508721.1_2102_1;lcl|NW_015791745.1_cds_XP_016508730.1_2103_lcl|NW_015791745.1_cds_XP_016508730.1_2103_1;lcl|NW_015791745.1_cds_XP_016508738.1_2104_lcl|NW_015791745.1_cds_XP_016508738.1_2104_1	XP_016508721.1;XP_016508730.1;XP_016508738.1
11	lcl|NW_015792039.1_cds_XP_016510097.1_2216_lcl|NW_015792039.1_cds_XP_016510097.1_2216_1;lcl|NW_015792039.1_cds_XP_016510103.1_2217_lcl|NW_015792039.1_cds_XP_016510103.1_2217_1;lcl|NW_015792046.1_cds_XP_016510122.1_2218_lcl|NW_015792046.1_cds_XP_016510122.1_2218_1	XP_016510097.1;XP_016510103.1;XP_016510122.1
12	lcl|NW_015792300.1_cds_XP_016511704.1_2365_lcl|NW_015792300.1_cds_XP_016511704.1_2365_1;lcl|NW_015792301.1_cds_XP_016511714.1_2366_lcl|NW_015792301.1_cds_XP_016511714.1_2366_1;lcl|NW_015792301.1_cds_XP_016511725.1_2367_lcl|NW_015792301.1_cds_XP_016511725.1_2367_1	XP_016511704.1;XP_016511714.1;XP_016511725.1
13	lcl|NW_015792341.1_cds_XP_016512000.1_2390_lcl|NW_015792341.1_cds_XP_016512000.1_2390_1;lcl|NW_015792341.1_cds_XP_016512005.1_2391_lcl|NW_015792341.1_cds_XP_016512005.1_2391_1;lcl|NW_015792341.1_cds_XP_016511964.1_2392_lcl|NW_015792341.1_cds_XP_016511964.1_2392_1	XP_016511964.1;XP_016512000.1;XP_016512005.1
14	lcl|NW_015793247.1_cds_XP_016432922.1_2839_lcl|NW_015793247.1_cds_XP_016432922.1_2839_1;lcl|NW_015793252.1_cds_XP_016432940.1_2840_lcl|NW_015793252.1_cds_XP_016432940.1_2840_1;lcl|NW_015793262.1_cds_XP_016432958.1_2842_lcl|NW_015793262.1_cds_XP_016432958.1_2842_1;lcl|NW_015793263.1_cds_XP_016432990.1_2843_lcl|NW_015793263.1_cds_XP_016432990.1_2843_1;lcl|NW_015793263.1_cds_XP_016432979.1_2844_lcl|NW_015793263.1_cds_XP_016432979.1_2844_1	XP_016432922.1;XP_016432940.1;XP_016432958.1;XP_016432979.1;XP_016432990.1
15	lcl|NW_015794203.1_cds_XP_016437532.1_3244_lcl|NW_015794203.1_cds_XP_016437532.1_3244_1;lcl|NW_015794203.1_cds_XP_016437521.1_3245_lcl|NW_015794203.1_cds_XP_016437521.1_3245_1;lcl|NW_015794205.1_cds_XP_016437541.1_3246_lcl|NW_015794205.1_cds_XP_016437541.1_3246_1	XP_016437521.1;XP_016437532.1;XP_016437541.1
16	lcl|NW_015794310.1_cds_XP_016437977.1_3282_lcl|NW_015794310.1_cds_XP_016437977.1_3282_1;lcl|NW_015794315.1_cds_XP_016438000.1_3283_lcl|NW_015794315.1_cds_XP_016438000.1_3283_1;lcl|NW_015794315.1_cds_XP_016437990.1_3284_lcl|NW_015794315.1_cds_XP_016437990.1_3284_1	XP_016437977.1;XP_016437990.1;XP_016438000.1
17	lcl|NW_015794529.1_cds_XP_016439472.1_3422_lcl|NW_015794529.1_cds_XP_016439472.1_3422_1;lcl|NW_015794537.1_cds_XP_016439487.1_3423_lcl|NW_015794537.1_cds_XP_016439487.1_3423_1;lcl|NW_015794537.1_cds_XP_016439497.1_3424_lcl|NW_015794537.1_cds_XP_016439497.1_3424_1	XP_016439472.1;XP_016439487.1;XP_016439497.1
18	lcl|NW_015795187.1_cds_XP_016442785.1_3719_lcl|NW_015795187.1_cds_XP_016442785.1_3719_1;lcl|NW_015795187.1_cds_XP_016442813.1_3720_lcl|NW_015795187.1_cds_XP_016442813.1_3720_1;lcl|NW_015795187.1_cds_XP_016442816.1_3721_lcl|NW_015795187.1_cds_XP_016442816.1_3721_1	XP_016442785.1;XP_016442813.1;XP_016442816.1
19	lcl|NW_015795412.1_cds_XP_016443993.1_3824_lcl|NW_015795412.1_cds_XP_016443993.1_3824_1;lcl|NW_015795412.1_cds_XP_016444000.1_3825_lcl|NW_015795412.1_cds_XP_016444000.1_3825_1;lcl|NW_015795413.1_cds_XP_016444013.1_3826_lcl|NW_015795413.1_cds_XP_016444013.1_3826_1	XP_016443993.1;XP_016444000.1;XP_016444013.1
20	lcl|NW_015796104.1_cds_XP_016447647.1_4163_lcl|NW_015796104.1_cds_XP_016447647.1_4163_1;lcl|NW_015796105.1_cds_XP_016447656.1_4164_lcl|NW_015796105.1_cds_XP_016447656.1_4164_1;lcl|NW_015796105.1_cds_XP_016447666.1_4165_lcl|NW_015796105.1_cds_XP_016447666.1_4165_1	XP_016447647.1;XP_016447656.1;XP_016447666.1
21	lcl|NW_015796120.1_cds_XP_016447683.1_4167_lcl|NW_015796120.1_cds_XP_016447683.1_4167_1;lcl|NW_015796121.1_cds_XP_016447692.1_4168_lcl|NW_015796121.1_cds_XP_016447692.1_4168_1;lcl|NW_015796123.1_cds_XP_016447701.1_4170_lcl|NW_015796123.1_cds_XP_016447701.1_4170_1	XP_016447683.1;XP_016447692.1;XP_016447701.1
22	lcl|NW_015796856.1_cds_XP_016452064.1_4575_lcl|NW_015796856.1_cds_XP_016452064.1_4575_1;lcl|NW_015796876.1_cds_XP_016452076.1_4576_lcl|NW_015796876.1_cds_XP_016452076.1_4576_1;lcl|NW_015796876.1_cds_XP_016452071.1_4577_lcl|NW_015796876.1_cds_XP_016452071.1_4577_1;lcl|NW_015796881.1_cds_XP_016452091.1_4578_lcl|NW_015796881.1_cds_XP_016452091.1_4578_1	XP_016452064.1;XP_016452071.1;XP_016452076.1;XP_016452091.1
23	lcl|NW_015797386.1_cds_XP_016454991.1_4854_lcl|NW_015797386.1_cds_XP_016454991.1_4854_1;lcl|NW_015797402.1_cds_XP_016455004.1_4855_lcl|NW_015797402.1_cds_XP_016455004.1_4855_1;lcl|NW_015797403.1_cds_XP_016455023.1_4856_lcl|NW_015797403.1_cds_XP_016455023.1_4856_1	XP_016454991.1;XP_016455004.1;XP_016455023.1
24	lcl|NW_015797675.1_cds_XP_016456309.1_4967_lcl|NW_015797675.1_cds_XP_016456309.1_4967_1;lcl|NW_015797677.1_cds_XP_016456321.1_4969_lcl|NW_015797677.1_cds_XP_016456321.1_4969_1;lcl|NW_015797681.1_cds_XP_016456334.1_4970_lcl|NW_015797681.1_cds_XP_016456334.1_4970_1	XP_016456309.1;XP_016456321.1;XP_016456334.1
25	lcl|NW_015798035.1_cds_XP_016458109.1_5139_lcl|NW_015798035.1_cds_XP_016458109.1_5139_1;lcl|NW_015798039.1_cds_XP_016458116.1_5140_lcl|NW_015798039.1_cds_XP_016458116.1_5140_1;lcl|NW_015798041.1_cds_XP_016458148.1_5141_lcl|NW_015798041.1_cds_XP_016458148.1_5141_1	XP_016458109.1;XP_016458116.1;XP_016458148.1
26	lcl|NW_015798252.1_cds_XP_016459324.1_5250_lcl|NW_015798252.1_cds_XP_016459324.1_5250_1;lcl|NW_015798253.1_cds_XP_016459343.1_5251_lcl|NW_015798253.1_cds_XP_016459343.1_5251_1;lcl|NW_015798257.1_cds_XP_016459362.1_5252_lcl|NW_015798257.1_cds_XP_016459362.1_5252_1	XP_016459324.1;XP_016459343.1;XP_016459362.1
27	lcl|NW_015798292.1_cds_XP_016459466.1_5260_lcl|NW_015798292.1_cds_XP_016459466.1_5260_1;lcl|NW_015798295.1_cds_XP_016459483.1_5261_lcl|NW_015798295.1_cds_XP_016459483.1_5261_1;lcl|NW_015798305.1_cds_XP_016459491.1_5262_lcl|NW_015798305.1_cds_XP_016459491.1_5262_1	XP_016459466.1;XP_016459483.1;XP_016459491.1
28	lcl|NW_015798348.1_cds_XP_016459736.1_5287_lcl|NW_015798348.1_cds_XP_016459736.1_5287_1;lcl|NW_015798348.1_cds_XP_016459754.1_5288_lcl|NW_015798348.1_cds_XP_016459754.1_5288_1;lcl|NW_015798348.1_cds_XP_016459744.1_5289_lcl|NW_015798348.1_cds_XP_016459744.1_5289_1	XP_016459736.1;XP_016459744.1;XP_016459754.1
29	lcl|NW_015799064.1_cds_XP_016463332.1_5618_lcl|NW_015799064.1_cds_XP_016463332.1_5618_1;lcl|NW_015799065.1_cds_XP_016463344.1_5619_lcl|NW_015799065.1_cds_XP_016463344.1_5619_1;lcl|NW_015799065.1_cds_XP_016463351.1_5620_lcl|NW_015799065.1_cds_XP_016463351.1_5620_1;lcl|NW_015799092.1_cds_XP_016463389.1_5621_lcl|NW_015799092.1_cds_XP_016463389.1_5621_1	XP_016463332.1;XP_016463344.1;XP_016463351.1;XP_016463389.1
30	lcl|NW_015799291.1_cds_XP_016464403.1_5704_lcl|NW_015799291.1_cds_XP_016464403.1_5704_1;lcl|NW_015799292.1_cds_XP_016464411.1_5705_lcl|NW_015799292.1_cds_XP_016464411.1_5705_1;lcl|NW_015799294.1_cds_XP_016464433.1_5706_lcl|NW_015799294.1_cds_XP_016464433.1_5706_1;lcl|NW_015799294.1_cds_XP_016464444.1_5707_lcl|NW_015799294.1_cds_XP_016464444.1_5707_1;lcl|NW_015799299.1_cds_XP_016464483.1_5708_lcl|NW_015799299.1_cds_XP_016464483.1_5708_1;lcl|NW_015799303.1_cds_XP_016464524.1_5710_lcl|NW_015799303.1_cds_XP_016464524.1_5710_1;lcl|NW_015799308.1_cds_XP_016464535.1_5711_lcl|NW_015799308.1_cds_XP_016464535.1_5711_1	XP_016464403.1;XP_016464411.1;XP_016464433.1;XP_016464444.1;XP_016464483.1;XP_016464524.1;XP_016464535.1
31	lcl|NW_015799364.1_cds_XP_016464930.1_5745_lcl|NW_015799364.1_cds_XP_016464930.1_5745_1;lcl|NW_015799376.1_cds_XP_016464942.1_5746_lcl|NW_015799376.1_cds_XP_016464942.1_5746_1;lcl|NW_015799398.1_cds_XP_016464955.1_5747_lcl|NW_015799398.1_cds_XP_016464955.1_5747_1	XP_016464930.1;XP_016464942.1;XP_016464955.1
32	lcl|NW_015799641.1_cds_XP_016466053.1_5837_lcl|NW_015799641.1_cds_XP_016466053.1_5837_1;lcl|NW_015799641.1_cds_XP_016466060.1_5838_lcl|NW_015799641.1_cds_XP_016466060.1_5838_1;lcl|NW_015799653.1_cds_XP_016466100.1_5840_lcl|NW_015799653.1_cds_XP_016466100.1_5840_1	XP_016466053.1;XP_016466060.1;XP_016466100.1
