Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NW_006238919.1	XP_023639024.1	27	0	1		
	XP_006300242.1	0	62	1		
	XP_023644812.1	0	27	1		
	XP_006285692.2	0	140	1		
	XP_023643385.1	0	30	1		
NW_006238917.1	XP_006282524.1	39	0	1		
	XP_006300438.1	0	47	1		
NW_006238921.1	XP_006300126.1	15	0	1		
NW_006238917.1	XP_006283205.1	35	0	1		
NW_006238917.1	XP_006283780.1	39	0	1		
	XP_006302359.2	0	47	1		
	XP_006302672.1	0	53	1		
	XP_006301443.2	0	39	1		
	XP_006282618.1	0	138	1		
	XP_006302904.2	0	32	1		
	XP_023644260.1	0	42	1		
NW_006238919.1	XP_023637983.1	25	0	1		
NW_006238921.1	XP_023641880.1	14	0	1		
	XP_023640104.1	0	93	1		
	XP_023638271.1	0	100	1		
NW_006238923.1	XP_023644410.1	2	0	1		
	XP_006304758.1	0	14	1		
	XP_006297681.1	0	67	1		
NW_006238920.1	XP_006294199.1	17	0	1		
	XP_023638756.1	0	108	1		
	XP_006303777.1	0	5	1		
NW_006238921.1	XP_006300178.1	16	60	2		
	XP_023643311.1	0	37	1		
NW_006238920.1	XP_006294654.2	17	0	1		
	XP_006283574.1	0	137	1		
	XP_006298308.1	0	71	1		
NW_006238922.1	XP_006301721.1	11	0	1		
NW_006238920.1	XP_023640998.1	19	0	1		
NW_006238919.1	XP_006291047.1	26	0	1		
NW_006238922.1	XP_006302336.1	9	0	1		
NW_006238917.1	XP_006283788.1	41	0	1		
NW_006238922.1	XP_006301868.2	12	0	1		
NW_006238918.1	XP_023635730.1	31	0	1		
	XP_006297568.1	0	73	1		
NW_006238923.1	XP_006303389.1	4	0	1		
	XP_006305000.1	0	19	1		
	XP_006302458.1	0	43	1		
NW_006238917.1	XP_023634096.1	39	0	1		
	XP_006289761.1	0	111	1		
NW_006238921.1	XP_006298652.1	15	0	1		
NW_006238920.1	XP_006294041.1	23	0	1		
NW_006238916.1	XP_006281453.2	43	0	1		
NW_006238916.1	XP_006281561.1	44	0	1		
	XP_006301879.1	0	43	1		
NW_006238916.1	XP_006280794.2	43	152	2		
NW_006238917.1	XP_023634094.1	39	0	1		
NW_006238922.1	XP_006301908.1	13	0	1		
NW_006238919.1	XP_023638454.1	25	0	1		
NW_006238920.1	XP_023639767.1	20	0	1		
NW_006238917.1	XP_006283103.1	37	0	1		
	XP_023637358.1	0	149	1		
	XP_006283808.1	0	143	1		
NW_006238922.1	XP_006302171.1	10	0	1		
NW_006238916.1	XP_006280556.1	45	0	1		
NW_006238922.1	XP_023643867.1	11	0	1		
	XP_006286408.1	0	121	1		
NW_006238920.1	XP_006293979.1	22	0	1		
	XP_006287497.1	0	118	1		
