Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_089041.1	XP_015646031.1	0	150	1		
NC_089035.1	XP_015625778.1	1	0	1		
NC_089038.1	XP_025880664.1	17	0	1		
NC_089041.1	XP_015646172.1	0	147	1		
NC_089042.1	NP_001390592.1	42	0	1		
NC_089045.1	XP_015616755.1	0	206	1		
NC_089037.1	XP_015628297.1	14	0	1		
NC_089041.1	XP_015645769.1	0	155	1		
NC_089040.1	NP_001408306.1	28	0	1		
NC_089040.1	XP_066167361.1	29	0	1		
NC_089038.1	XP_015634369.1	23	0	1		
NC_089038.1	XP_015634145.1	0	100	1		
NC_089036.1	XP_015625613.1	9	0	1		
NC_089044.1	XP_015613184.1	49	0	1		
NC_089041.1	XP_015646760.1	0	160	1		
NC_089044.1	XP_066160880.1	55	0	1		
NC_089040.1	XP_015642174.2	0	125	1		
NC_089038.1	XP_066165807.1	19	0	1		
NC_089036.1	XP_025879125.1	6	0	1		
NC_089040.1	XP_015644354.1	29	0	1		
NC_089041.1	NP_001409930.1	36	0	1		
NC_089046.1	XP_015620165.2	0	212	1		
NC_089039.1	XP_015638070.1	0	116	1		
NC_089040.1	XP_015641767.1	28	0	1		
NC_089044.1	XP_015613629.3	52	0	1		
NC_089036.1	NP_001403618.1	7	0	1		
NC_089038.1	XP_066165594.1	16	82	2		
NC_089037.1	XP_015628967.1	0	63	1		
NC_089038.1	XP_015634270.1	19	0	1		
NC_089041.1	XP_066168561.1	0	157	1		
NC_089038.1	XP_015636395.1	17	0	1		
NC_089038.1	NP_001389266.1	16	0	1		
NC_089038.1	XP_066165244.1	16	82	2		
NC_089038.1	NP_001406177.1	19	0	1		
NC_089042.1	XP_025883122.1	41	0	1		
NC_089040.1	XP_015641568.1	30	0	1		
NC_089043.1	XP_015611442.1	0	174	1		
NC_089046.1	XP_066162527.1	64	0	1		
NC_089045.1	XP_015618039.1	0	207	1		
NC_089043.1	XP_015611709.1	0	182	1		
NC_089036.1	XP_015622598.1	10	0	1		
NC_089041.1	XP_015644735.1	0	151	1		
NC_089041.1	XP_025882981.1	33	0	1		
NC_089045.1	XP_025876995.1	60	0	1		
NC_089040.1	XP_015644333.1	0	119	1		
NC_089041.1	XP_015646524.1	0	144	1		
NC_089041.1	XP_015645149.1	0	145	1		
NC_089038.1	XP_066166090.1	0	89	1		
NC_089036.1	XP_015624227.1	9	0	1		
NC_089045.1	XP_015616671.1	0	206	1		
NC_089041.1	NP_001390089.1	34	0	1		
NC_089046.1	XP_015618600.1	64	217	2		
NC_089036.1	XP_015626216.1	0	45	1		
NC_089040.1	XP_015641684.1	0	126	1		
NC_089038.1	XP_066166148.1	18	0	1		
NC_089038.1	XP_025880960.1	18	0	1		
NC_089045.1	XP_066161513.1	57	0	1		
NC_089041.1	XP_015645564.1	0	161	1		
NC_089043.1	XP_066160329.1	0	176	1		
NC_089044.1	XP_066161111.1	49	0	1		
NC_089039.1	XP_015640117.1	0	113	1		
NC_089040.1	XP_066167737.1	30	0	1		
NC_089044.1	XP_015613782.1	49	0	1		
NC_089038.1	XP_015634477.1	0	99	1		
NC_089040.1	XP_015641659.1	30	127	2		
NC_089042.1	NP_001409550.1	42	0	1		
NC_089035.1	XP_015643926.1	0	18	1		
NC_089041.1	XP_015645303.1	33	0	1		
NC_089038.1	XP_015636938.1	17	0	1		
NC_089046.1	XP_025877995.2	64	0	1		
NC_089040.1	XP_015642290.1	29	0	1		
NC_089041.1	XP_015646322.1	33	0	1		
NC_089043.1	XP_015612358.1	0	179	1		
NC_089044.1	XP_015612976.1	0	192	1		
NC_089040.1	XP_015641757.1	0	123	1		
NC_089041.1	XP_015646364.1	0	147	1		
NC_089038.1	NP_001389382.1	25	0	1		
NC_089038.1	XP_015633483.1	16	0	1		
NC_089046.1	XP_066162519.1	64	0	1		
NC_089037.1	NP_001404524.1	11	0	1		
NC_089038.1	XP_066165555.1	15	0	1		
NC_089045.1	XP_015615635.1	57	0	1		
NC_089040.1	XP_015641410.1	0	127	1		
NC_089038.1	XP_025880477.1	0	93	1		
NC_089039.1	XP_015638320.1	0	103	1		
NC_089035.1	XP_015616525.1	1	0	1		
NC_089041.1	XP_015645794.1	33	0	1		
NC_089040.1	XP_015642894.3	29	0	1		
NC_089042.1	XP_015649399.1	40	0	1		
NC_089037.1	XP_015630542.1	12	0	1		
NC_089039.1	XP_015637720.1	27	0	1		
NC_089039.1	XP_066166376.1	27	0	1		
NC_089044.1	XP_015612837.2	0	198	1		
NC_089041.1	XP_015645995.1	33	0	1		
NC_089041.1	XP_066168454.1	0	142	1		
NC_089044.1	XP_015615023.1	54	0	1		
NC_089040.1	XP_015641805.1	30	127	2		
NC_089041.1	NP_001409919.1	35	0	1		
NC_089037.1	XP_015630543.2	12	0	1		
NC_089038.1	XP_015633790.1	0	99	1		
NC_089046.1	XP_066162548.1	64	0	1		
NC_089037.1	XP_015630876.1	0	65	1		
NC_089044.1	XP_066160534.1	52	0	1		
NC_089044.1	XP_066160857.1	50	0	1		
NC_089040.1	XP_015640987.1	0	130	1		
NC_089037.1	XP_015628717.1	11	0	1		
NC_089046.1	XP_015619697.1	64	0	1		
NC_089045.1	XP_015615707.2	0	209	1		
NC_089040.1	XP_066168014.1	29	0	1		
NC_089036.1	XP_015622629.1	0	53	1		
NC_089040.1	XP_066167362.1	29	0	1		
NC_089042.1	NP_001409375.1	39	0	1		
NC_089041.1	XP_015645884.3	0	142	1		
NC_089041.1	XP_015645687.1	35	0	1		
NC_089046.1	XP_015619266.2	0	221	1		
NC_089041.1	XP_015647846.1	35	0	1		
NC_089043.1	XP_015611315.1	0	185	1		
NC_089041.1	XP_066168848.1	34	0	1		
NC_089038.1	XP_015634201.1	16	0	1		
NC_089036.1	XP_015626954.1	0	33	1		
NC_089039.1	XP_015637488.1	0	108	1		
NC_089037.1	XP_015633107.1	14	0	1		
NC_089044.1	XP_015613912.1	53	0	1		
NC_089046.1	XP_015618514.1	0	219	1		
NC_089041.1	XP_025882510.1	32	0	1		
NC_089043.1	XP_015611514.1	0	177	1		
NC_089043.1	XP_015610609.1	0	183	1		
NC_089044.1	XP_015612799.1	49	0	1		
NC_089046.1	XP_066162533.1	64	0	1		
NC_089038.1	XP_015635511.1	0	97	1		
NC_089038.1	XP_015634935.1	25	0	1		
NC_089036.1	NP_001396295.1	9	0	1		
NC_089038.1	XP_015634046.1	0	99	1		
NC_089040.1	XP_015643956.1	31	0	1		
NC_089044.1	XP_015613389.2	46	0	1		
NC_089041.1	XP_015645523.2	0	139	1		
NC_089041.1	XP_015646055.2	34	0	1		
NC_089038.1	XP_025880914.1	0	85	1		
NC_089036.1	XP_015625964.1	6	0	1		
NC_089036.1	NP_001403615.1	7	0	1		
NC_089046.1	XP_066162537.1	64	0	1		
NC_089036.1	NP_001403616.1	7	0	1		
NC_089036.1	XP_015624434.2	0	40	1		
NC_089045.1	XP_066161951.1	59	0	1		
NC_089043.1	XP_015651337.1	0	175	1		
NC_089035.1	XP_015633350.1	3	0	1		
NC_089038.1	XP_015633358.2	17	0	1		
NC_089046.1	XP_066162264.1	63	216	2		
NC_089045.1	XP_066162046.1	57	0	1		
NC_089043.1	XP_066160091.1	45	0	1		
NC_089043.1	XP_015612528.1	44	0	1		
NC_089038.1	XP_015636456.1	17	0	1		
NC_089037.1	XP_015627835.1	0	64	1		
NC_089035.1	XP_015624649.1	4	0	1		
NC_089044.1	XP_066160858.1	50	0	1		
NC_089046.1	XP_025877837.1	62	0	1		
NC_089043.1	XP_015651335.1	0	186	1		
NC_089040.1	NP_001408487.1	29	0	1		
NC_089043.1	XP_015612347.1	43	0	1		
NC_089039.1	XP_066166630.1	0	106	1		
NC_089040.1	XP_015643751.1	0	128	1		
NC_089038.1	XP_015634200.1	16	0	1		
NC_089044.1	XP_066160910.1	49	0	1		
NC_089041.1	XP_015645593.1	34	0	1		
NC_089042.1	XP_015650327.1	37	0	1		
NC_089037.1	XP_015631614.1	0	56	1		
NC_089044.1	XP_015614923.1	50	0	1		
NC_089038.1	XP_015633860.1	24	0	1		
NC_089035.1	XP_015645703.1	4	0	1		
NC_089039.1	XP_015637936.1	0	105	1		
NC_089040.1	XP_015643748.1	28	0	1		
NC_089038.1	XP_015636475.1	23	0	1		
NC_089035.1	NP_001396060.1	4	0	1		
NC_089038.1	XP_015634595.1	0	94	1		
NC_089043.1	NP_001390865.1	45	0	1		
NC_089040.1	XP_015642284.2	29	0	1		
NC_089038.1	XP_066165799.1	18	0	1		
NC_089040.1	XP_025882334.1	29	0	1		
NC_089040.1	XP_015641373.1	0	135	1		
NC_089036.1	XP_015626856.3	9	0	1		
NC_089046.1	XP_066162177.1	0	220	1		
NC_089037.1	XP_015628100.1	0	68	1		
NC_089043.1	XP_015612633.1	0	184	1		
NC_089040.1	XP_015642151.1	0	118	1		
NC_089042.1	XP_015648739.1	37	0	1		
NC_089044.1	XP_015613486.3	46	0	1		
NC_089036.1	XP_015626274.1	7	0	1		
NC_089038.1	XP_015635373.1	25	0	1		
NC_089038.1	NP_001389278.1	19	0	1		
NC_089037.1	XP_066164458.1	0	65	1		
NC_089040.1	NP_001408315.1	28	0	1		
NC_089041.1	XP_015647551.1	35	0	1		
NC_089042.1	XP_015650110.1	41	0	1		
NC_089040.1	NP_001408324.1	28	0	1		
NC_089038.1	NP_001406002.1	16	0	1		
NC_089046.1	NP_001410527.1	61	0	1		
NC_089040.1	XP_066167876.1	0	133	1		
NC_089038.1	XP_066166152.1	18	0	1		
NC_089040.1	XP_015642293.1	29	0	1		
NC_089044.1	XP_015614044.1	49	0	1		
NC_089044.1	XP_015613779.1	50	0	1		
NC_089037.1	XP_015629305.1	0	70	1		
