potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NW_023590566.1_cds_XP_037493402.1_57_lcl|NW_023590566.1_cds_XP_037493402.1_57_1;lcl|NW_023590566.1_cds_XP_037491174.1_58_lcl|NW_023590566.1_cds_XP_037491174.1_58_1;lcl|NW_023590566.1_cds_XP_037491755.1_59_lcl|NW_023590566.1_cds_XP_037491755.1_59_1	XP_037491174.1;XP_037491755.1;XP_037493402.1
2	lcl|NW_023590566.1_cds_XP_037492173.1_85_lcl|NW_023590566.1_cds_XP_037492173.1_85_1;lcl|NW_023590566.1_cds_XP_037492191.1_86_lcl|NW_023590566.1_cds_XP_037492191.1_86_1;lcl|NW_023590566.1_cds_XP_012068462.1_88_lcl|NW_023590566.1_cds_XP_012068462.1_88_1	XP_012068462.1;XP_037492173.1;XP_037492191.1
3	lcl|NW_023590567.1_cds_XP_012079237.1_177_lcl|NW_023590567.1_cds_XP_012079237.1_177_1;lcl|NW_023590567.1_cds_XP_012079576.1_178_lcl|NW_023590567.1_cds_XP_012079576.1_178_1;lcl|NW_023590567.1_cds_XP_012079238.1_179_lcl|NW_023590567.1_cds_XP_012079238.1_179_1	XP_012079237.1;XP_012079238.1;XP_012079576.1
4	lcl|NW_023590567.1_cds_XP_012079069.2_260_lcl|NW_023590567.1_cds_XP_012079069.2_260_1;lcl|NW_023590567.1_cds_XP_012079070.1_261_lcl|NW_023590567.1_cds_XP_012079070.1_261_1;lcl|NW_023590567.1_cds_XP_012079071.1_262_lcl|NW_023590567.1_cds_XP_012079071.1_262_1	XP_012079069.2;XP_012079070.1;XP_012079071.1
5	lcl|NW_023590567.1_cds_XP_012079554.2_336_lcl|NW_023590567.1_cds_XP_012079554.2_336_1;lcl|NW_023590567.1_cds_XP_012079134.1_337_lcl|NW_023590567.1_cds_XP_012079134.1_337_1;lcl|NW_023590567.1_cds_XP_012079135.1_338_lcl|NW_023590567.1_cds_XP_012079135.1_338_1	XP_012079134.1;XP_012079135.1;XP_012079554.2
6	lcl|NW_023590593.1_cds_XP_037492679.1_1044_lcl|NW_023590593.1_cds_XP_037492679.1_1044_1;lcl|NW_023590593.1_cds_XP_037492680.1_1045_lcl|NW_023590593.1_cds_XP_037492680.1_1045_1;lcl|NW_023590593.1_cds_XP_012064709.1_1046_lcl|NW_023590593.1_cds_XP_012064709.1_1046_1	XP_012064709.1;XP_037492679.1;XP_037492680.1
7	lcl|NW_023590593.1_cds_XP_012084920.1_1091_lcl|NW_023590593.1_cds_XP_012084920.1_1091_1;lcl|NW_023590593.1_cds_XP_012084921.1_1092_lcl|NW_023590593.1_cds_XP_012084921.1_1092_1;lcl|NW_023590593.1_cds_NP_001295737.1_1093_lcl|NW_023590593.1_cds_NP_001295737.1_1093_1	NP_001295737.1;XP_012084920.1;XP_012084921.1
8	lcl|NW_023590607.1_cds_XP_012089781.1_1223_lcl|NW_023590607.1_cds_XP_012089781.1_1223_1;lcl|NW_023590607.1_cds_XP_012089782.1_1224_lcl|NW_023590607.1_cds_XP_012089782.1_1224_1;lcl|NW_023590607.1_cds_XP_012089783.1_1225_lcl|NW_023590607.1_cds_XP_012089783.1_1225_1	XP_012089781.1;XP_012089782.1;XP_012089783.1
9	lcl|NW_023590626.1_cds_XP_012088737.1_1401_lcl|NW_023590626.1_cds_XP_012088737.1_1401_1;lcl|NW_023590626.1_cds_XP_012069595.1_1402_lcl|NW_023590626.1_cds_XP_012069595.1_1402_1;lcl|NW_023590626.1_cds_XP_012069594.1_1403_lcl|NW_023590626.1_cds_XP_012069594.1_1403_1	XP_012069594.1;XP_012069595.1;XP_012088737.1
10	lcl|NW_023590635.1_cds_XP_012090186.1_1696_lcl|NW_023590635.1_cds_XP_012090186.1_1696_1;lcl|NW_023590635.1_cds_XP_037494557.1_1697_lcl|NW_023590635.1_cds_XP_037494557.1_1697_1;lcl|NW_023590635.1_cds_XP_012090184.2_1698_lcl|NW_023590635.1_cds_XP_012090184.2_1698_1	XP_012090184.2;XP_012090186.1;XP_037494557.1
