Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_026659.2	XP_031741542.1	0	93	1		
NC_026661.2	XP_004135968.1	0	132	1		
NC_026657.2	XP_004141122.1	0	61	1		
NC_026658.2	XP_004141232.1	20	0	1		
NC_026656.2	XP_004145358.2	0	24	1		
NC_026660.2	XP_004138437.1	0	95	1		
NC_026655.2	XP_004137363.1	1	0	1		
NC_026659.2	XP_031741235.1	22	0	1		
NC_026661.2	XP_031744351.1	33	0	1		
NC_026656.2	XP_031736750.1	10	0	1		
NC_026656.2	XP_011650081.1	11	0	1		
NC_026657.2	XP_004151361.3	16	0	1		
NC_026660.2	XP_031743607.1	28	0	1		
NC_026660.2	XP_004134610.1	31	0	1		
NC_026655.2	XP_004147311.1	0	7	1		
NC_026660.2	XP_011656972.1	0	104	1		
NC_026660.2	XP_011658393.1	28	0	1		
NC_026657.2	XP_031739166.1	0	47	1		
NC_026656.2	XP_031736398.1	7	0	1		
NC_026661.2	XP_004148313.1	0	130	1		
NC_026656.2	XP_004148851.1	7	0	1		
NC_026661.2	XP_031744782.1	33	0	1		
NC_026658.2	XP_004137286.1	0	66	1		
NC_026656.2	XP_031736485.1	8	0	1		
NC_026657.2	XP_031738441.1	14	0	1		
NC_026659.2	XP_004147603.1	22	0	1		
NC_026659.2	XP_004135319.1	0	82	1		
NC_026656.2	XP_031737203.1	7	0	1		
NC_026657.2	XP_011650521.2	0	35	1		
NC_026656.2	XP_004138937.1	6	0	1		
NC_026657.2	XP_031738193.1	14	0	1		
NC_026660.2	XP_004138458.1	27	0	1		
NC_026660.2	XP_004134598.1	0	114	1		
NC_026656.2	XP_004148097.1	11	0	1		
NC_026661.2	XP_004135827.1	35	0	1		
NC_026656.2	XP_011649848.2	0	32	1		
NC_026660.2	XP_011656368.1	27	0	1		
NC_026657.2	XP_004137928.2	0	57	1		
NC_026660.2	XP_004140865.2	0	97	1		
NC_026657.2	XP_004152008.1	14	0	1		
NC_026661.2	XP_011659666.2	0	134	1		
NC_026656.2	XP_004153120.1	7	0	1		
NC_026657.2	XP_031738194.1	14	0	1		
NC_026659.2	XP_031741768.1	0	88	1		
NC_026660.2	XP_004151494.1	0	96	1		
NC_026656.2	XP_011649070.1	6	0	1		
NC_026658.2	XP_004148602.1	0	68	1		
NC_026659.2	XP_011654427.1	26	0	1		
NC_026657.2	XP_011651767.1	0	52	1		
NC_026658.2	XP_031740162.1	19	0	1		
NC_026657.2	XP_011652391.1	12	0	1		
NC_026661.2	XP_031744871.1	0	124	1		
NW_022279569.1	XP_031745807.1	36	0	1		
NC_026659.2	XP_011654560.1	0	80	1		
NC_026656.2	XP_031736747.1	10	0	1		
NC_026656.2	XP_004151923.1	10	0	1		
NC_026655.2	XP_011649337.1	1	0	1		
NC_026658.2	XP_004149529.1	19	0	1		
NC_026655.2	XP_011649297.1	1	0	1		
NC_026655.2	XP_004146641.1	0	5	1		
NC_026659.2	XP_031741607.1	0	77	1		
NC_026657.2	XP_004134119.1	0	41	1		
NC_026656.2	XP_004148868.2	7	0	1		
NC_026659.2	XP_031741715.1	26	0	1		
NC_026657.2	XP_004134080.1	0	39	1		
NC_026660.2	XP_004140976.1	0	97	1		
NC_026657.2	XP_011650522.1	0	35	1		
NC_026658.2	XP_004145997.2	19	0	1		
NC_026656.2	XP_011649737.1	0	30	1		
NC_026656.2	XP_004151919.1	10	0	1		
NC_026657.2	XP_004147828.2	12	0	1		
NC_026660.2	XP_004134554.1	31	0	1		
NC_026660.2	XP_011658007.1	0	111	1		
NC_026659.2	XP_031741314.1	0	79	1		
NC_026660.2	XP_004139912.1	0	104	1		
NC_026658.2	XP_011653830.1	18	0	1		
NC_026656.2	XP_031737059.1	0	29	1		
NC_026659.2	XP_004147708.1	24	0	1		
NC_026658.2	XP_004142141.1	17	0	1		
NC_026659.2	XP_011655134.1	26	0	1		
NC_026657.2	XP_004140724.1	0	46	1		
NC_026655.2	XP_004137365.1	1	0	1		
NC_026656.2	XP_004151867.1	10	0	1		
NC_026659.2	XP_031740867.1	24	0	1		
NC_026656.2	XP_004148087.1	11	0	1		
NC_026660.2	XP_004134552.1	31	0	1		
NC_026658.2	XP_031740787.1	18	0	1		
NC_026660.2	XP_031743802.1	0	107	1		
NC_026656.2	XP_031737382.1	7	0	1		
NC_026656.2	XP_004138935.1	6	0	1		
NC_026656.2	XP_004151861.3	10	0	1		
NC_026656.2	XP_031736749.1	10	0	1		
NC_026656.2	XP_031736541.1	8	0	1		
NC_026659.2	XP_011655004.2	25	0	1		
NC_026656.2	XP_011650166.1	8	0	1		
NC_026661.2	XP_031745176.1	33	0	1		
NC_026656.2	XP_004138991.2	5	0	1		
NC_026656.2	XP_004148852.1	7	0	1		
NC_026657.2	XP_011652397.1	12	0	1		
NC_026655.2	XP_004150056.1	0	9	1		
NC_026655.2	XP_031736280.1	0	10	1		
NC_026659.2	XP_004141566.1	0	93	1		
NC_026661.2	XP_011659029.1	0	128	1		
NC_026657.2	XP_011651988.1	15	0	1		
NC_026660.2	XP_004134894.2	31	0	1		
NC_026660.2	XP_031742554.1	0	109	1		
NC_026658.2	XP_004149526.1	19	0	1		
NC_026661.2	XP_004144854.1	0	117	1		
NC_026658.2	XP_004150514.3	18	0	1		
NC_026657.2	XP_004149299.1	13	0	1		
NC_026656.2	XP_004151924.2	10	0	1		
NC_026661.2	XP_004144592.1	32	119	2		
NC_026657.2	XP_031739029.1	0	58	1		
NC_026660.2	XP_004144997.1	0	99	1		
NC_026656.2	XP_011649217.1	7	0	1		
NC_026658.2	NP_001267703.1	20	0	1		
NC_026660.2	NP_001295806.1	28	0	1		
NC_026659.2	XP_004148180.1	25	0	1		
