potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_063256.1_cds_XP_002526525.2_12_lcl|NC_063256.1_cds_XP_002526525.2_12_1;lcl|NC_063256.1_cds_XP_002526524.2_13_lcl|NC_063256.1_cds_XP_002526524.2_13_1;lcl|NC_063256.1_cds_XP_048232989.1_14_lcl|NC_063256.1_cds_XP_048232989.1_14_1;lcl|NC_063256.1_cds_XP_002526522.1_15_lcl|NC_063256.1_cds_XP_002526522.1_15_1	XP_002526522.1;XP_002526524.2;XP_002526525.2;XP_048232989.1
2	lcl|NC_063256.1_cds_XP_002511716.2_296_lcl|NC_063256.1_cds_XP_002511716.2_296_1;lcl|NC_063256.1_cds_XP_002511717.3_297_lcl|NC_063256.1_cds_XP_002511717.3_297_1;lcl|NC_063256.1_cds_XP_048226385.1_298_lcl|NC_063256.1_cds_XP_048226385.1_298_1	XP_002511716.2;XP_002511717.3;XP_048226385.1
3	lcl|NC_063256.1_cds_XP_002511752.2_349_lcl|NC_063256.1_cds_XP_002511752.2_349_1;lcl|NC_063256.1_cds_XP_002511753.2_350_lcl|NC_063256.1_cds_XP_002511753.2_350_1;lcl|NC_063256.1_cds_XP_048226388.1_351_lcl|NC_063256.1_cds_XP_048226388.1_351_1	XP_002511752.2;XP_002511753.2;XP_048226388.1
4	lcl|NC_063256.1_cds_XP_048226398.1_459_lcl|NC_063256.1_cds_XP_048226398.1_459_1;lcl|NC_063256.1_cds_XP_002511823.2_460_lcl|NC_063256.1_cds_XP_002511823.2_460_1;lcl|NC_063256.1_cds_XP_015584486.3_461_lcl|NC_063256.1_cds_XP_015584486.3_461_1;lcl|NC_063256.1_cds_XP_015584486.3_461_lcl|NC_063256.1_cds_XP_015584486.3_461_2	XP_002511823.2;XP_015584486.3;XP_048226398.1
5	lcl|NC_063256.1_cds_XP_002511843.1_486_lcl|NC_063256.1_cds_XP_002511843.1_486_1;lcl|NC_063256.1_cds_XP_002511845.1_488_lcl|NC_063256.1_cds_XP_002511845.1_488_1;lcl|NC_063256.1_cds_XP_002511848.1_491_lcl|NC_063256.1_cds_XP_002511848.1_491_2	XP_002511843.1;XP_002511845.1;XP_002511848.1
6	lcl|NC_063256.1_cds_XP_002511902.2_589_lcl|NC_063256.1_cds_XP_002511902.2_589_1;lcl|NC_063256.1_cds_XP_048234628.1_590_lcl|NC_063256.1_cds_XP_048234628.1_590_1;lcl|NC_063256.1_cds_XP_002511904.1_591_lcl|NC_063256.1_cds_XP_002511904.1_591_1	XP_002511902.2;XP_002511904.1;XP_048234628.1
7	lcl|NC_063256.1_cds_XP_002511936.2_640_lcl|NC_063256.1_cds_XP_002511936.2_640_1;lcl|NC_063256.1_cds_XP_002511937.2_641_lcl|NC_063256.1_cds_XP_002511937.2_641_1;lcl|NC_063256.1_cds_XP_002511939.1_644_lcl|NC_063256.1_cds_XP_002511939.1_644_1;lcl|NC_063256.1_cds_XP_015584512.1_645_lcl|NC_063256.1_cds_XP_015584512.1_645_1;lcl|NC_063256.1_cds_XP_048232503.1_646_lcl|NC_063256.1_cds_XP_048232503.1_646_1	XP_002511936.2;XP_002511937.2;XP_002511939.1;XP_015584512.1;XP_048232503.1
8	lcl|NC_063256.1_cds_XP_048226441.1_758_lcl|NC_063256.1_cds_XP_048226441.1_758_1;lcl|NC_063256.1_cds_XP_002512007.2_759_lcl|NC_063256.1_cds_XP_002512007.2_759_1;lcl|NC_063256.1_cds_XP_048226758.1_760_lcl|NC_063256.1_cds_XP_048226758.1_760_1	XP_002512007.2;XP_048226441.1;XP_048226758.1
9	lcl|NC_063256.1_cds_XP_025013288.2_1174_lcl|NC_063256.1_cds_XP_025013288.2_1174_1;lcl|NC_063256.1_cds_XP_048227345.1_1175_lcl|NC_063256.1_cds_XP_048227345.1_1175_1;lcl|NC_063256.1_cds_XP_048227347.1_1176_lcl|NC_063256.1_cds_XP_048227347.1_1176_1	XP_025013288.2;XP_048227345.1;XP_048227347.1
10	lcl|NC_063256.1_cds_XP_048226452.1_1616_lcl|NC_063256.1_cds_XP_048226452.1_1616_1;lcl|NC_063256.1_cds_XP_015575631.2_1618_lcl|NC_063256.1_cds_XP_015575631.2_1618_1;lcl|NC_063256.1_cds_XP_002520743.2_1619_lcl|NC_063256.1_cds_XP_002520743.2_1619_1	XP_002520743.2;XP_015575631.2;XP_048226452.1
