Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NW_006238934.1	XP_006338989.1	1	0	1		
NW_006239290.1	XP_006361719.1	54	185	2		
NW_006239106.1	XP_006354703.1	35	0	1		
NW_006239103.1	XP_015167387.1	33	0	1		
NW_006239183.1	XP_015169145.1	44	0	1		
NW_006239029.1	XP_006349068.1	19	0	1		
	XP_015168247.1	0	134	1		
	XP_015160205.1	0	218	1		
NW_006239106.1	XP_006354694.1	35	0	1		
NW_006238936.1	XP_015168031.1	2	9	2		
NW_006239017.1	XP_006347489.2	16	0	1		
NW_006239183.1	XP_006357875.1	44	0	1		
NW_006239023.1	XP_006348212.1	18	0	1		
NW_006239139.1	XP_015168134.1	37	0	1		
NW_006239233.1	XP_006359944.1	50	0	1		
	XP_006359115.1	0	160	1		
NW_006239101.1	XP_006354413.1	31	0	1		
NW_006239252.1	XP_006360652.1	52	0	1		
	XP_015160422.1	0	224	1		
NW_006239017.1	XP_006347433.1	16	0	1		
NW_006239103.1	XP_015167379.1	32	0	1		
NW_006239496.1	XP_006365795.1	64	0	1		
NW_006239476.1	XP_015159962.1	62	0	1		
NW_006239476.1	XP_015159959.1	62	0	1		
	XP_006347071.1	0	70	1		
NW_006239061.1	XP_015166084.1	24	0	1		
NW_006239139.1	XP_006356027.1	37	0	1		
	XP_006351030.1	0	98	1		
NW_006239005.1	XP_006346621.1	12	0	1		
NW_006239064.1	XP_006351976.1	26	0	1		
	XP_006359909.1	0	170	1		
NW_006239010.1	XP_015163928.1	13	0	1		
NW_006239104.1	XP_006354609.1	34	122	2		
NW_006238936.1	XP_015167091.1	3	10	2		
NW_006239476.1	XP_015159964.1	62	0	1		
	XP_015162135.1	0	33	1		
NW_006239457.1	XP_006365236.1	61	0	1		
NW_006239164.1	XP_006357087.1	41	0	1		
NW_006239140.1	XP_015168213.1	38	0	1		
NW_006239457.1	XP_006365217.1	61	0	1		
	XP_006358853.1	0	154	1		
NW_006239057.1	XP_006351272.1	23	0	1		
NW_006239103.1	XP_015167357.1	32	0	1		
NW_006238934.1	XP_015166068.1	1	0	1		
NW_006239149.1	XP_006356663.1	39	0	1		
NW_006239075.1	XP_006353077.2	28	0	1		
NW_006239429.1	XP_006364788.1	60	0	1		
NW_006239429.1	XP_015159574.1	60	0	1		
	XP_006352576.1	0	104	1		
NW_006239005.1	XP_006346655.1	12	0	1		
NW_006239029.1	XP_006349063.1	19	0	1		
NW_006239181.1	XP_015169111.1	43	0	1		
	XP_006353547.1	0	112	1		
	XP_015162502.1	0	42	1		
	XP_006347796.1	0	74	1		
	XP_006349219.1	0	85	1		
NW_006238962.1	XP_006342414.1	8	0	1		
	XP_006351259.1	0	99	1		
	XP_006364661.1	0	204	1		
NW_006239010.1	XP_006346727.1	13	0	1		
NW_006239412.1	XP_006364395.1	59	0	1		
	XP_006345420.1	0	60	1		
NW_006239457.1	XP_006365230.1	61	0	1		
	XP_006352699.1	0	106	1		
NW_006239064.1	XP_006351989.1	26	0	1		
NW_006239412.1	XP_006364389.1	59	0	1		
NW_006239029.1	XP_006349052.1	19	0	1		
NW_006238942.1	XP_006340103.1	4	0	1		
NW_006239243.1	XP_006360338.1	51	0	1		
NW_006238996.1	XP_015163434.1	11	0	1		
NW_006239349.1	XP_006363187.1	57	0	1		
	XP_015160395.1	0	223	1		
	XP_015161162.1	0	236	1		
NW_006239023.1	XP_006348179.1	18	0	1		
NW_006239115.1	XP_015167683.1	36	0	1		
NW_006239349.1	XP_006363184.1	57	0	1		
	XP_006338416.1	0	2	1		
	XP_015162603.1	0	45	1		
	XP_015161160.1	0	236	1		
NW_006239183.1	XP_006357877.1	44	0	1		
	XP_006362627.1	0	191	1		
	XP_006368004.1	0	238	1		
	XP_006341245.2	0	24	1		
NW_006239149.1	XP_006356628.1	39	0	1		
NW_006239457.1	XP_015159827.1	61	0	1		
	XP_015164952.1	0	83	1		
NW_006239140.1	XP_006356180.1	38	0	1		
NW_006239064.1	XP_006351992.1	26	0	1		
	XP_015163891.1	0	68	1		
NW_006239115.1	XP_006355136.1	36	127	2		
	XP_006361834.1	0	186	1		
	XP_006339317.2	0	6	1		
	XP_006346672.1	0	66	1		
	XP_006367188.1	0	229	1		
NW_006239038.1	XP_015165242.1	21	0	1		
NW_006239057.1	NP_001275320.1	23	0	1		
NW_006239476.1	XP_006365505.1	62	0	1		
NW_006239155.1	XP_006356827.1	40	0	1		
NW_006239219.1	XP_006359379.1	49	0	1		
	XP_006339647.1	0	12	1		
