potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NW_006238930.1_cds_XP_006338213.1_370_lcl|NW_006238930.1_cds_XP_006338213.1_370_1;lcl|NW_006238930.1_cds_XP_006338214.1_371_lcl|NW_006238930.1_cds_XP_006338214.1_371_1;lcl|NW_006238930.1_cds_XP_006338215.1_372_lcl|NW_006238930.1_cds_XP_006338215.1_372_1	XP_006338213.1;XP_006338214.1;XP_006338215.1
2	lcl|NW_006238930.1_cds_XP_006338415.1_621_lcl|NW_006238930.1_cds_XP_006338415.1_621_1;lcl|NW_006238930.1_cds_XP_006338416.1_622_lcl|NW_006238930.1_cds_XP_006338416.1_622_1;lcl|NW_006238930.1_cds_XP_006338417.1_623_lcl|NW_006238930.1_cds_XP_006338417.1_623_1;lcl|NW_006238930.1_cds_XP_015162358.1_624_lcl|NW_006238930.1_cds_XP_015162358.1_624_1	XP_006338415.1;XP_006338416.1;XP_006338417.1;XP_015162358.1
3	lcl|NW_006238933.1_cds_XP_015164509.1_1176_lcl|NW_006238933.1_cds_XP_015164509.1_1176_1;lcl|NW_006238933.1_cds_XP_006338921.1_1177_lcl|NW_006238933.1_cds_XP_006338921.1_1177_1;lcl|NW_006238933.1_cds_XP_006338906.1_1179_lcl|NW_006238933.1_cds_XP_006338906.1_1179_1	XP_006338906.1;XP_006338921.1;XP_015164509.1
4	lcl|NW_006238934.1_cds_XP_006338923.1_1192_lcl|NW_006238934.1_cds_XP_006338923.1_1192_1;lcl|NW_006238934.1_cds_XP_006339262.1_1193_lcl|NW_006238934.1_cds_XP_006339262.1_1193_1;lcl|NW_006238934.1_cds_XP_015164578.1_1194_lcl|NW_006238934.1_cds_XP_015164578.1_1194_1	XP_006338923.1;XP_006339262.1;XP_015164578.1
5	lcl|NW_006238934.1_cds_XP_006339016.1_1335_lcl|NW_006238934.1_cds_XP_006339016.1_1335_1;lcl|NW_006238934.1_cds_XP_006339017.1_1336_lcl|NW_006238934.1_cds_XP_006339017.1_1336_1;lcl|NW_006238934.1_cds_XP_006339018.1_1337_lcl|NW_006238934.1_cds_XP_006339018.1_1337_1	XP_006339016.1;XP_006339017.1;XP_006339018.1
6	lcl|NW_006238934.1_cds_XP_006339138.1_1518_lcl|NW_006238934.1_cds_XP_006339138.1_1518_1;lcl|NW_006238934.1_cds_XP_006339317.2_1519_lcl|NW_006238934.1_cds_XP_006339317.2_1519_1;lcl|NW_006238934.1_cds_XP_006339139.1_1520_lcl|NW_006238934.1_cds_XP_006339139.1_1520_1	XP_006339138.1;XP_006339139.1;XP_006339317.2
7	lcl|NW_006238935.1_cds_XP_015166613.1_1731_lcl|NW_006238935.1_cds_XP_015166613.1_1731_1;lcl|NW_006238935.1_cds_XP_015166503.1_1732_lcl|NW_006238935.1_cds_XP_015166503.1_1732_1;lcl|NW_006238935.1_cds_XP_006339392.1_1733_lcl|NW_006238935.1_cds_XP_006339392.1_1733_1;lcl|NW_006238935.1_cds_XP_006339394.1_1736_lcl|NW_006238935.1_cds_XP_006339394.1_1736_1;lcl|NW_006238935.1_cds_XP_006339371.1_1737_lcl|NW_006238935.1_cds_XP_006339371.1_1737_1	XP_006339371.1;XP_006339392.1;XP_006339394.1;XP_015166503.1;XP_015166613.1
8	lcl|NW_006238936.1_cds_XP_006339769.1_1819_lcl|NW_006238936.1_cds_XP_006339769.1_1819_1;lcl|NW_006238936.1_cds_XP_015168191.1_1820_lcl|NW_006238936.1_cds_XP_015168191.1_1820_1;lcl|NW_006238936.1_cds_XP_015168021.1_1821_lcl|NW_006238936.1_cds_XP_015168021.1_1821_1	XP_006339769.1;XP_015168021.1;XP_015168191.1
9	lcl|NW_006238936.1_cds_XP_006339458.1_1852_lcl|NW_006238936.1_cds_XP_006339458.1_1852_1;lcl|NW_006238936.1_cds_XP_006339459.1_1853_lcl|NW_006238936.1_cds_XP_006339459.1_1853_1;lcl|NW_006238936.1_cds_XP_015168031.1_1854_lcl|NW_006238936.1_cds_XP_015168031.1_1854_1;lcl|NW_006238936.1_cds_XP_006339460.1_1855_lcl|NW_006238936.1_cds_XP_006339460.1_1855_1;lcl|NW_006238936.1_cds_XP_006339462.1_1857_lcl|NW_006238936.1_cds_XP_006339462.1_1857_1;lcl|NW_006238936.1_cds_XP_006339463.1_1858_lcl|NW_006238936.1_cds_XP_006339463.1_1858_1;lcl|NW_006238936.1_cds_XP_015168037.1_1859_lcl|NW_006238936.1_cds_XP_015168037.1_1859_1	XP_006339458.1;XP_006339459.1;XP_006339460.1;XP_006339462.1;XP_006339463.1;XP_015168031.1;XP_015168037.1
10	lcl|NW_006238936.1_cds_XP_015168058.1_1929_lcl|NW_006238936.1_cds_XP_015168058.1_1929_1;lcl|NW_006238936.1_cds_XP_006339779.2_1930_lcl|NW_006238936.1_cds_XP_006339779.2_1930_1;lcl|NW_006238936.1_cds_XP_015168061.1_1931_lcl|NW_006238936.1_cds_XP_015168061.1_1931_1;lcl|NW_006238936.1_cds_XP_015167091.1_1932_lcl|NW_006238936.1_cds_XP_015167091.1_1932_1;lcl|NW_006238936.1_cds_XP_006339780.1_1933_lcl|NW_006238936.1_cds_XP_006339780.1_1933_1	XP_006339779.2;XP_006339780.1;XP_015167091.1;XP_015168058.1;XP_015168061.1
11	lcl|NW_006238936.1_cds_XP_015167490.1_2074_lcl|NW_006238936.1_cds_XP_015167490.1_2074_1;lcl|NW_006238936.1_cds_XP_006339619.1_2075_lcl|NW_006238936.1_cds_XP_006339619.1_2075_1;lcl|NW_006238936.1_cds_XP_015168127.1_2076_lcl|NW_006238936.1_cds_XP_015168127.1_2076_1;lcl|NW_006238936.1_cds_XP_006339794.1_2077_lcl|NW_006238936.1_cds_XP_006339794.1_2077_1	XP_006339619.1;XP_006339794.1;XP_015167490.1;XP_015168127.1
12	lcl|NW_006238936.1_cds_XP_006339647.1_2112_lcl|NW_006238936.1_cds_XP_006339647.1_2112_1;lcl|NW_006238936.1_cds_XP_006339649.1_2114_lcl|NW_006238936.1_cds_XP_006339649.1_2114_1;lcl|NW_006238936.1_cds_XP_006339650.1_2115_lcl|NW_006238936.1_cds_XP_006339650.1_2115_1	XP_006339647.1;XP_006339649.1;XP_006339650.1
13	lcl|NW_006238937.1_cds_XP_006339824.1_2284_lcl|NW_006238937.1_cds_XP_006339824.1_2284_1;lcl|NW_006238937.1_cds_XP_015168379.1_2285_lcl|NW_006238937.1_cds_XP_015168379.1_2285_1;lcl|NW_006238937.1_cds_XP_006339825.1_2286_lcl|NW_006238937.1_cds_XP_006339825.1_2286_1	XP_006339824.1;XP_006339825.1;XP_015168379.1
14	lcl|NW_006238937.1_cds_XP_006339838.1_2301_lcl|NW_006238937.1_cds_XP_006339838.1_2301_1;lcl|NW_006238937.1_cds_XP_006339841.1_2303_lcl|NW_006238937.1_cds_XP_006339841.1_2303_1;lcl|NW_006238937.1_cds_XP_006339843.1_2306_lcl|NW_006238937.1_cds_XP_006339843.1_2306_1;lcl|NW_006238937.1_cds_XP_015168477.1_2308_lcl|NW_006238937.1_cds_XP_015168477.1_2308_1	XP_006339838.1;XP_006339841.1;XP_006339843.1;XP_015168477.1
15	lcl|NW_006238937.1_cds_XP_006339890.1_2372_lcl|NW_006238937.1_cds_XP_006339890.1_2372_1;lcl|NW_006238937.1_cds_XP_006339941.1_2374_lcl|NW_006238937.1_cds_XP_006339941.1_2374_1;lcl|NW_006238937.1_cds_XP_006339892.2_2375_lcl|NW_006238937.1_cds_XP_006339892.2_2375_1;lcl|NW_006238937.1_cds_XP_006339893.1_2376_lcl|NW_006238937.1_cds_XP_006339893.1_2376_1	XP_006339890.1;XP_006339892.2;XP_006339893.1;XP_006339941.1
16	lcl|NW_006238943.1_cds_XP_006340155.1_2745_lcl|NW_006238943.1_cds_XP_006340155.1_2745_1;lcl|NW_006238943.1_cds_XP_006340156.1_2746_lcl|NW_006238943.1_cds_XP_006340156.1_2746_1;lcl|NW_006238943.1_cds_XP_015170528.1_2747_lcl|NW_006238943.1_cds_XP_015170528.1_2747_1	XP_006340155.1;XP_006340156.1;XP_015170528.1
17	lcl|NW_006238943.1_cds_XP_006340219.1_2832_lcl|NW_006238943.1_cds_XP_006340219.1_2832_1;lcl|NW_006238943.1_cds_XP_006340220.1_2833_lcl|NW_006238943.1_cds_XP_006340220.1_2833_1;lcl|NW_006238943.1_cds_XP_006340412.1_2834_lcl|NW_006238943.1_cds_XP_006340412.1_2834_1	XP_006340219.1;XP_006340220.1;XP_006340412.1
18	lcl|NW_006238943.1_cds_XP_006340447.1_3089_lcl|NW_006238943.1_cds_XP_006340447.1_3089_1;lcl|NW_006238943.1_cds_XP_015158938.1_3090_lcl|NW_006238943.1_cds_XP_015158938.1_3090_1;lcl|NW_006238943.1_cds_XP_006340383.1_3095_lcl|NW_006238943.1_cds_XP_006340383.1_3095_1	XP_006340383.1;XP_006340447.1;XP_015158938.1
19	lcl|NW_006238944.1_cds_XP_006340478.1_3177_lcl|NW_006238944.1_cds_XP_006340478.1_3177_1;lcl|NW_006238944.1_cds_XP_006340479.1_3178_lcl|NW_006238944.1_cds_XP_006340479.1_3178_1;lcl|NW_006238944.1_cds_XP_006340480.1_3179_lcl|NW_006238944.1_cds_XP_006340480.1_3179_1;lcl|NW_006238944.1_cds_XP_006340481.1_3180_lcl|NW_006238944.1_cds_XP_006340481.1_3180_1	XP_006340478.1;XP_006340479.1;XP_006340480.1;XP_006340481.1
20	lcl|NW_006238946.1_cds_XP_006340927.1_3306_lcl|NW_006238946.1_cds_XP_006340927.1_3306_1;lcl|NW_006238946.1_cds_XP_006340593.1_3307_lcl|NW_006238946.1_cds_XP_006340593.1_3307_1;lcl|NW_006238946.1_cds_XP_006340594.1_3308_lcl|NW_006238946.1_cds_XP_006340594.1_3308_1;lcl|NW_006238946.1_cds_XP_006340928.2_3310_lcl|NW_006238946.1_cds_XP_006340928.2_3310_1	XP_006340593.1;XP_006340594.1;XP_006340927.1;XP_006340928.2
21	lcl|NW_006238946.1_cds_XP_015159913.1_3343_lcl|NW_006238946.1_cds_XP_015159913.1_3343_1;lcl|NW_006238946.1_cds_XP_006340628.1_3345_lcl|NW_006238946.1_cds_XP_006340628.1_3345_1;lcl|NW_006238946.1_cds_XP_006340629.1_3346_lcl|NW_006238946.1_cds_XP_006340629.1_3346_1;lcl|NW_006238946.1_cds_XP_015160971.1_3347_lcl|NW_006238946.1_cds_XP_015160971.1_3347_1	XP_006340628.1;XP_006340629.1;XP_015159913.1;XP_015160971.1
22	lcl|NW_006238946.1_cds_XP_006340937.2_3432_lcl|NW_006238946.1_cds_XP_006340937.2_3432_1;lcl|NW_006238946.1_cds_XP_006340703.1_3433_lcl|NW_006238946.1_cds_XP_006340703.1_3433_1;lcl|NW_006238946.1_cds_XP_006340704.1_3434_lcl|NW_006238946.1_cds_XP_006340704.1_3434_1	XP_006340703.1;XP_006340704.1;XP_006340937.2
23	lcl|NW_006238947.1_cds_XP_015161530.1_3880_lcl|NW_006238947.1_cds_XP_015161530.1_3880_1;lcl|NW_006238947.1_cds_XP_015161474.1_3881_lcl|NW_006238947.1_cds_XP_015161474.1_3881_1;lcl|NW_006238947.1_cds_XP_015161476.1_3882_lcl|NW_006238947.1_cds_XP_015161476.1_3882_1;lcl|NW_006238947.1_cds_XP_015161477.1_3883_lcl|NW_006238947.1_cds_XP_015161477.1_3883_1	XP_015161474.1;XP_015161476.1;XP_015161477.1;XP_015161530.1
24	lcl|NW_006238947.1_cds_XP_006341245.2_3955_lcl|NW_006238947.1_cds_XP_006341245.2_3955_1;lcl|NW_006238947.1_cds_XP_015161493.1_3956_lcl|NW_006238947.1_cds_XP_015161493.1_3956_1;lcl|NW_006238947.1_cds_XP_015161535.1_3957_lcl|NW_006238947.1_cds_XP_015161535.1_3957_1;lcl|NW_006238947.1_cds_XP_006341131.1_3958_lcl|NW_006238947.1_cds_XP_006341131.1_3958_1	XP_006341131.1;XP_006341245.2;XP_015161493.1;XP_015161535.1
25	lcl|NW_006238952.1_cds_XP_006341476.1_4389_lcl|NW_006238952.1_cds_XP_006341476.1_4389_1;lcl|NW_006238952.1_cds_XP_015161686.1_4390_lcl|NW_006238952.1_cds_XP_015161686.1_4390_1;lcl|NW_006238952.1_cds_XP_015161686.1_4390_lcl|NW_006238952.1_cds_XP_015161686.1_4390_2;lcl|NW_006238952.1_cds_XP_006341477.1_4391_lcl|NW_006238952.1_cds_XP_006341477.1_4391_1	XP_006341476.1;XP_006341477.1;XP_015161686.1
