potentialBGC	type	nucl_start	nucl_end	size	core_domains	product	sequence_id	Gene cluster genes	Gene cluster gene accessions	Compound with gene cluster of highest homology
1	Saccharide	7061751	7273137	211390	AMP-binding, UDPGT_2	flavonoid-3	NC_079487.1	LOC11077_15;LOC110778714;LOC110778716;LOC110778717;LOC110778715;LOC110779037;LOC110779036;LOC110779034;LOC110781043;LOC110779484	XP_056690955.1;XP_021838962.1;XP_021838965.1;XP_056690956.1;XP_021838963.2;XP_021839261.2;XP_056687376.1;XP_021839259.2;XP_056687385.1;XP_021839689.1	
2	Polyketide	74928982	75269753	340770	2OG-FeII_Oxy, Acetyltransf_1, Chal_sti_synt_C, Chal_sti_synt_N, DIOX_N	-	NC_079487.1	LOC110799753;LOC110799762;LOC11079_237;LOC130465949;LOC130465950;LOC13046_62;LOC110799755;LOC130465443;LOC130465444;LOC110799758;LOC110799759;LOC110800702	XP_021860716.1;XP_021860722.1;XP_021860723.1;XP_056690703.1;XP_056690704.1;XP_056690705.1;XP_056690178.1;XP_056690179.1;XP_056690180.1;XP_021860719.2;XP_021860720.1;XP_021861705.2	
3	Lignan-Polyketide	97172851	97409521	236670	Chal_sti_synt_C, Dirigent	-	NC_079487.1	LOC110793626;LOC110793624;LOC11079_322;LOC110774991;LOC11077_263;LOC110774983;LOC11077_264;LOC11077_265;LOC110774992;LOC13046_95;LOC130466047;LOC110774984;LOC110774987;LOC110774989;LOC110774980	XP_021854216.1;XP_021854214.2;XP_021854215.2;XP_021835293.1;XP_021835294.1;XP_021835282.1;XP_021835283.1;XP_056693066.1;XP_021835295.2;XP_056690769.1;XP_056690770.1;XP_021835284.2;XP_021835287.1;XP_021835290.2;XP_021835280.1	
4	Cyclopeptide	123194985	123591545	396560	BURP	-	NC_079487.1	LOC110775116;LOC11077_320;LOC110775108;LOC110775099;LOC110775081;LOC110775071;LOC110775063;LOC110775054;LOC110775034;LOC110775025;LOC110775015;LOC110774994;LOC110775005;LOC110774985;LOC110774973;LOC11077_321;LOC110774966;LOC110774954;LOC110774944;LOC130466184;LOC110806006;LOC110774934;LOC110805999;LOC110805847;LOC110805834;LOC11080_358;LOC130465656;LOC110805991;LOC110774923;LOC110805916;LOC110774913;LOC110774906;LOC130472416;LOC110774895;LOC11077_322;LOC110805982;LOC110774885;LOC110774879;LOC110774872;LOC110774858;LOC11077_323;LOC130465657	XP_021835419.2;XP_021835426.2;XP_021835411.1;XP_021835400.1;XP_021835376.1;XP_056699190.1;XP_021835356.2;XP_021835350.1;XP_021835332.1;XP_021835321.1;XP_021835314.1;XP_021835298.2;XP_056699208.1;XP_021835288.1;XP_021835271.2;XP_056699217.1;XP_021835257.1;XP_021835250.1;XP_021835238.1;XP_056690862.1;XP_021867338.2;XP_021835228.2;XP_056699231.1;XP_021867162.2;XP_021867148.1;XP_021867152.1;XP_056690483.1;XP_021867318.2;XP_021835216.1;XP_021867231.2;XP_021835208.2;XP_021835198.2;XP_056699279.1;XP_056699271.1;XP_056699276.1;XP_021867312.2;XP_021835173.2;XP_021835165.1;XP_021835159.1;XP_021835144.1;XP_021835149.1;XP_056690484.1	
5	Fatty_acid-Terpene	123782337	123961427	179090	Epimerase, FA_hydroxylase, SE, SQHop_cyclase_C, SQHop_cyclase_N, adh_short, p450	beta-amyrin, triterpene	NC_079487.1	LOC110774757;LOC110774749;LOC110805792;LOC110774737;LOC110774722;LOC110774711;LOC11077_328;LOC110774704;LOC110805786;LOC110805947;LOC110779736;LOC11080_359;LOC110805776;LOC110774689;LOC11077_329;LOC110774671;LOC110774665;LOC110774654;LOC110805924;LOC110774646;LOC11077_330;LOC110806258;LOC11080_360;LOC110805766	XP_021835030.1;XP_021835023.2;XP_021867104.1;XP_021835005.1;XP_021834985.1;XP_056699399.1;XP_021834973.1;XP_021834961.2;XP_056699409.1;XP_021867274.1;XP_056699425.1;XP_056699435.1;XP_021867094.1;XP_021834950.1;XP_021834933.1;XP_021834924.1;XP_021834918.1;XP_021834912.2;XP_056699455.1;XP_021834904.1;XP_021834908.1;XP_021867593.1;XP_056699491.1;XP_021867083.1	
6	Saccharide	125786839	125978911	192070	2OG-FeII_Oxy, DIOX_N, Transferase, UDPGT_2	cyanogenic glucoside, monoterpenoid	NC_079487.1	LOC110782872;LOC110782874;LOC110782873;LOC110806241;LOC130465662;LOC130459330;LOC110782847;LOC110782876	XP_021842808.2;XP_021842810.1;XP_021842809.2;XP_021867574.1;XP_056690493.1;XP_056682621.1;XP_021842785.2;XP_021842811.2	
7	Putative	129242707	129353379	110670	Prenyltransf, p450	-	NC_079487.1	LOC110802368;LOC11080_387;LOC110802389;LOC11080_388;LOC110802338;LOC110802346;LOC130465674;LOC110802351;LOC110802352;LOC110802363;LOC110802388;LOC11080_389;LOC110802387;LOC110802334;LOC110802344;LOC110802376;LOC110802325;LOC110802324;LOC110802332;LOC110802321;LOC110802313;LOC11080_391;LOC11080_390;LOC110802339;LOC110802340;LOC110802350	XP_021863512.2;XP_021863513.2;XP_021863530.1;XP_021863483.1;XP_021863482.1;XP_021863495.1;XP_056690510.1;XP_021863502.1;XP_021863503.1;XP_056683952.1;XP_021863529.1;XP_021863528.1;XP_021863527.1;XP_021863474.1;XP_021863492.1;XP_021863520.1;XP_021863466.1;XP_021863465.2;XP_021863472.1;XP_021863461.1;XP_021863449.2;XP_056684010.1;XP_021863485.1;XP_021863486.1;XP_056684014.1;XP_021863500.1	
8	Putative	133243379	133389162	145780	Aminotran_1_2, p450	-	NC_079487.1	LOC110799215;LOC110799234;LOC110799232;LOC110799224;LOC110799219;LOC110799229;LOC110799231;LOC110799218;LOC110799225;LOC110799221;LOC110799228;LOC110799230;LOC110799216;LOC130461566	XP_056685655.1;XP_021860145.1;XP_021860144.1;XP_021860134.1;XP_021860130.1;XP_021860141.2;XP_021860143.1;XP_021860129.1;XP_021860135.1;XP_021860132.1;XP_021860140.1;XP_021860142.1;XP_021860127.1;XP_056685692.1	
9	Saccharide-Alkaloid	4086740	4430379	343640	Bet_v_1, Methyltransf_3, UDPGT_2	flavonoid	NC_079488.1	LOC110803447;LOC11080_482;LOC11080_483;LOC11080_484;LOC110803466;LOC11080_485;LOC110803456;LOC110803457;LOC110779299;LOC11077_395;LOC110779300;LOC110777712;LOC130467729;LOC110777713;LOC110803462;LOC110803455;LOC110803459;LOC110803453;LOC11080_486	XP_021864642.2;XP_021864644.2;XP_021864645.2;XP_056692379.1;XP_021864670.2;XP_021864671.2;XP_021864658.2;XP_021864659.2;XP_056691333.1;XP_056692380.1;XP_021839522.1;XP_056691336.1;XP_056692381.1;XP_021837997.2;XP_021864664.1;XP_021864657.1;XP_021864660.2;XP_021864655.1;XP_056692382.1	
10	Saccharide	103017038	103089048	72010	Epimerase, Glycos_transf_1, adh_short	-	NC_079488.1	LOC110788607;LOC110788615;LOC110789077;LOC110789086;LOC110789103;LOC110789112;LOC110789122;LOC110789130;LOC110788589;LOC11078_680;LOC110789138	XP_021848923.2;XP_021848935.2;XP_021849418.1;XP_021849434.2;XP_021849453.1;XP_021849461.1;XP_021849471.2;XP_021849477.1;XP_021848903.2;XP_056693549.1;XP_021849484.1	
11	Mate-Saccharide	105518584	105652498	133910	Aldo_ket_red, Amino_oxidase, Glycos_transf_1, MatE	-	NC_079488.1	LOC110781315;LOC110784619;LOC11078_744;LOC110785167;LOC11078_745;LOC110785180;LOC110785189;LOC110785198;LOC110785210;LOC11078_746;LOC11078_747;LOC11078_748;LOC110785223;LOC110785228;LOC11078_749;LOC110785239;LOC110785247	XP_056693624.1;XP_021844767.2;XP_056693625.1;XP_021845305.1;XP_021845310.1;XP_021845318.2;XP_021845323.1;XP_021845331.1;XP_056693627.1;XP_021845340.1;XP_021845348.1;XP_056693628.1;XP_021845356.1;XP_056693629.1;XP_056693630.1;XP_056693631.1;XP_021845388.1	
