potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_058518.1_cds_XP_044985878.1_86_lcl|NC_058518.1_cds_XP_044985878.1_86_1;lcl|NC_058518.1_cds_XP_044985890.1_87_lcl|NC_058518.1_cds_XP_044985890.1_87_1;lcl|NC_058518.1_cds_XP_044985902.1_88_lcl|NC_058518.1_cds_XP_044985902.1_88_1	XP_044985878.1;XP_044985890.1;XP_044985902.1
2	lcl|NC_058518.1_cds_XP_044964108.1_114_lcl|NC_058518.1_cds_XP_044964108.1_114_1;lcl|NC_058518.1_cds_XP_044964210.1_115_lcl|NC_058518.1_cds_XP_044964210.1_115_1;lcl|NC_058518.1_cds_XP_044964325.1_116_lcl|NC_058518.1_cds_XP_044964325.1_116_1	XP_044964108.1;XP_044964210.1;XP_044964325.1
3	lcl|NC_058518.1_cds_XP_044964782.1_124_lcl|NC_058518.1_cds_XP_044964782.1_124_1;lcl|NC_058518.1_cds_XP_044964873.1_125_lcl|NC_058518.1_cds_XP_044964873.1_125_1;lcl|NC_058518.1_cds_XP_044964976.1_126_lcl|NC_058518.1_cds_XP_044964976.1_126_1	XP_044964782.1;XP_044964873.1;XP_044964976.1
4	lcl|NC_058518.1_cds_XP_044967941.1_174_lcl|NC_058518.1_cds_XP_044967941.1_174_1;lcl|NC_058518.1_cds_XP_044968044.1_175_lcl|NC_058518.1_cds_XP_044968044.1_175_1;lcl|NC_058518.1_cds_XP_044945876.1_176_lcl|NC_058518.1_cds_XP_044945876.1_176_1	XP_044945876.1;XP_044967941.1;XP_044968044.1
5	lcl|NC_058518.1_cds_XP_044970142.1_205_lcl|NC_058518.1_cds_XP_044970142.1_205_1;lcl|NC_058518.1_cds_XP_044970503.1_207_lcl|NC_058518.1_cds_XP_044970503.1_207_1;lcl|NC_058518.1_cds_XP_044953824.1_208_lcl|NC_058518.1_cds_XP_044953824.1_208_1;lcl|NC_058518.1_cds_XP_044953833.1_209_lcl|NC_058518.1_cds_XP_044953833.1_209_1	XP_044953824.1;XP_044953833.1;XP_044970142.1;XP_044970503.1
6	lcl|NC_058518.1_cds_XP_044975471.1_325_lcl|NC_058518.1_cds_XP_044975471.1_325_1;lcl|NC_058518.1_cds_XP_044975584.1_326_lcl|NC_058518.1_cds_XP_044975584.1_326_1;lcl|NC_058518.1_cds_XP_044954345.1_327_lcl|NC_058518.1_cds_XP_044954345.1_327_1	XP_044954345.1;XP_044975471.1;XP_044975584.1
7	lcl|NC_058518.1_cds_XP_044948589.1_591_lcl|NC_058518.1_cds_XP_044948589.1_591_1;lcl|NC_058518.1_cds_XP_044955145.1_592_lcl|NC_058518.1_cds_XP_044955145.1_592_1;lcl|NC_058518.1_cds_XP_044955151.1_593_lcl|NC_058518.1_cds_XP_044955151.1_593_1	XP_044948589.1;XP_044955145.1;XP_044955151.1
8	lcl|NC_058518.1_cds_XP_044947039.1_644_lcl|NC_058518.1_cds_XP_044947039.1_644_1;lcl|NC_058518.1_cds_XP_044953386.1_645_lcl|NC_058518.1_cds_XP_044953386.1_645_1;lcl|NC_058518.1_cds_XP_044953480.1_646_lcl|NC_058518.1_cds_XP_044953480.1_646_1	XP_044947039.1;XP_044953386.1;XP_044953480.1
9	lcl|NC_058518.1_cds_XP_044958306.1_754_lcl|NC_058518.1_cds_XP_044958306.1_754_1;lcl|NC_058518.1_cds_XP_044958357.1_755_lcl|NC_058518.1_cds_XP_044958357.1_755_1;lcl|NC_058518.1_cds_XP_044958440.1_756_lcl|NC_058518.1_cds_XP_044958440.1_756_1;lcl|NC_058518.1_cds_XP_044958646.1_757_lcl|NC_058518.1_cds_XP_044958646.1_757_1	XP_044958306.1;XP_044958357.1;XP_044958440.1;XP_044958646.1
10	lcl|NC_058518.1_cds_XP_044966102.1_1270_lcl|NC_058518.1_cds_XP_044966102.1_1270_1;lcl|NC_058518.1_cds_XP_044966146.1_1275_lcl|NC_058518.1_cds_XP_044966146.1_1275_1;lcl|NC_058518.1_cds_XP_044956887.1_1276_lcl|NC_058518.1_cds_XP_044956887.1_1276_1	XP_044956887.1;XP_044966102.1;XP_044966146.1
