Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
	XP_016515394.1	0	138	1		
	XP_016454991.1	0	23	1		
	XP_016510352.1	0	5	1		
	XP_016454689.1	0	255	1		
	XP_016495665.1	0	48	1		
	XP_016493570.1	0	448	1		
	XP_016463655.1	0	302	1		
	XP_016515020.1	0	135	1		
	XP_016473927.1	0	351	1		
	XP_016503546.1	0	77	1		
	XP_016473517.1	0	347	1		
	XP_016452031.1	0	247	1		
	XP_016442549.1	0	198	1		
	XP_016478971.1	0	379	1		
	XP_016432273.1	0	143	1		
	XP_016515233.1	0	137	1		
	XP_016488950.1	0	429	1		
	XP_016432958.1	0	14	1		
	XP_016448927.1	0	233	1		
	XP_016476828.1	0	369	1		
	XP_016469265.1	0	326	1		
	XP_016444207.1	0	206	1		
	XP_016471616.1	0	339	1		
	XP_016515906.1	0	142	1		
	XP_016436793.1	0	161	1		
	XP_016474858.1	0	358	1		
	XP_016455883.1	0	258	1		
	XP_016475815.1	0	363	1		
	XP_016447712.1	0	223	1		
	XP_016515188.1	0	136	1		
	XP_016452366.1	0	248	1		
	XP_016478170.1	0	374	1		
	XP_016438335.1	0	174	1		
	XP_016489215.1	0	430	1		
	XP_016466437.1	0	313	1		
	XP_016480597.1	0	387	1		
	XP_016445906.1	0	214	1		
	XP_016506776.1	0	87	1		
	XP_016459372.1	0	280	1		
	XP_016481572.1	0	392	1		
	XP_016462917.1	0	295	1		
	XP_016468696.1	0	324	1		
	XP_016437541.1	0	15	1		
	XP_016510681.1	0	109	1		
	XP_016439515.1	0	180	1		
	XP_016515186.1	0	136	1		
	XP_016446027.1	0	215	1		
	XP_016478354.1	0	375	1		
	XP_016469721.1	0	6	1		
	XP_016456263.1	0	260	1		
	XP_016500846.1	0	62	1		
	XP_016456659.1	0	262	1		
	XP_016434242.1	0	152	1		
	XP_016487983.1	0	421	1		
	XP_016446599.1	0	218	1		
	XP_016468698.1	0	324	1		
	XP_016462384.1	0	293	1		
	XP_016515904.1	0	142	1		
	XP_016462628.1	0	294	1		
	XP_016475323.1	0	360	1		
	XP_016458832.1	0	277	1		
	XP_016507937.1	0	94	1		
	XP_016464976.1	0	307	1		
	XP_016475952.1	0	365	1		
	XP_016459974.1	0	282	1		
	XP_016437083.1	0	162	1		
	XP_016508314.1	0	97	1		
NW_015858887.1	XP_023633281.1	2	0	1		
	XP_016502267.1	0	73	1		
	XP_016482563.1	0	399	1		
	XP_016479566.1	0	380	1		
	XP_016480588.1	0	386	1		
	XP_016501239.1	0	66	1		
	XP_016436459.1	0	160	1		
	XP_016459050.1	0	278	1		
	XP_016458148.1	0	25	1		
	XP_016460024.1	0	283	1		
	XP_016510775.1	0	111	1		
	XP_016468386.1	0	322	1		
	XP_016474234.1	0	354	1		
	XP_016493962.1	0	41	1		
	XP_016456839.1	0	263	1		
	XP_016501649.1	0	69	1		
	XP_016468246.1	0	320	1		
	XP_016463006.1	0	296	1		
	XP_016512414.1	0	121	1		
	XP_016485686.1	0	413	1		
	XP_016498900.1	0	56	1		
	XP_016515799.1	0	141	1		
	XP_016442800.1	0	200	1		
	XP_016511622.1	0	114	1		
	XP_016449038.1	0	234	1		
	XP_016515023.1	0	135	1		
	XP_016445597.1	0	211	1		
	XP_016447692.1	0	21	1		
	XP_016500849.1	0	62	1		
	XP_016469674.1	0	35	1		
	XP_016507411.1	0	91	1		
	XP_016515903.1	0	142	1		
	XP_016436223.1	0	159	1		
	XP_016462915.1	0	295	1		
	XP_016480685.1	0	389	1		
	XP_016441407.1	0	190	1		
	XP_016502771.1	0	2	1		
	XP_016463356.1	0	299	1		
	XP_016477608.1	0	371	1		
	XP_016455334.1	0	257	1		
	XP_016472538.1	0	343	1		
	XP_016465398.1	0	309	1		
	XP_016437834.1	0	169	1		
	XP_016499380.1	0	8	1		
	XP_016460692.1	0	289	1		
	XP_016482046.1	0	395	1		
	XP_016495256.1	0	47	1		
	XP_016501651.1	0	69	1		
	XP_016497487.1	0	52	1		
	XP_016470838.1	0	336	1		
	XP_016438870.1	0	175	1		
	XP_016505658.1	0	82	1		
	XP_016474236.1	0	354	1		
	XP_016445783.1	0	212	1		
	XP_016501564.1	0	68	1		
	XP_016466656.1	0	314	1		
	XP_016510076.1	0	107	1		
	XP_016501147.1	0	65	1		
	XP_016439732.1	0	182	1		
	XP_016473426.1	0	345	1		
	XP_016448692.1	0	231	1		
	XP_016444002.1	0	204	1		
	XP_016512237.1	0	120	1		
	XP_016457484.1	0	266	1		
	XP_016473519.1	0	347	1		
	XP_016487521.1	0	420	1		
	XP_016436797.1	0	161	1		
	XP_016505657.1	0	82	1		
	XP_016473539.1	0	348	1		
	XP_016433462.1	0	150	1		
	XP_016503021.1	0	75	1		
	XP_016438141.1	0	173	1		
	XP_016448700.1	0	231	1		
	XP_016447258.1	0	220	1		
	XP_016501731.1	0	70	1		
	XP_016513121.1	0	126	1		
	XP_016438890.1	0	176	1		
	XP_016457649.1	0	267	1		
	XP_016467653.1	0	317	1		
	XP_016482045.1	0	395	1		
	XP_016457732.1	0	268	1		
	XP_016459362.1	0	26	1		
	XP_016457109.1	0	265	1		
	XP_016454960.1	0	256	1		
	XP_016432577.1	0	145	1		
	XP_016445848.1	0	213	1		
	XP_016492274.1	0	440	1		
	XP_016479812.1	0	383	1		
	XP_016442795.1	0	200	1		
	XP_016508298.1	0	97	1		
	XP_016437082.1	0	162	1		
	XP_016466655.1	0	314	1		
	XP_016483544.1	0	406	1		
	XP_016475071.1	0	359	1		
	XP_016501044.1	0	64	1		
	XP_016469426.1	0	6	1		
	XP_016488134.1	0	423	1		
	XP_016486628.1	0	415	1		
	XP_016510074.1	0	107	1		
	XP_016506428.1	0	84	1		
	XP_016480598.1	0	387	1		
	XP_016469267.1	0	326	1		
	XP_016475074.1	0	359	1		
	XP_016459754.1	0	28	1		
	XP_016447783.1	0	225	1		
	XP_016487197.1	0	417	1		
	XP_016486681.1	0	416	1		
	XP_016451992.1	0	246	1		
	XP_016483803.1	0	408	1		
	XP_016509938.1	0	105	1		
	XP_016460405.1	0	286	1		
	XP_016481570.1	0	392	1		
	XP_016515694.1	0	140	1		
	XP_016438875.1	0	175	1		
	XP_016505655.1	0	82	1		
	XP_016445522.1	0	210	1		
	XP_016470669.1	0	335	1		
	XP_016482429.1	0	398	1		
	XP_016511620.1	0	114	1		
	XP_016514907.1	0	134	1		
	XP_016513628.1	0	131	1		
	XP_016514441.1	0	132	1		
	XP_016440922.1	0	188	1		
	XP_016447259.1	0	220	1		
	XP_016482974.1	0	403	1		
	XP_016446538.1	0	217	1		
	XP_016477162.1	0	370	1		
	XP_016441927.1	0	194	1		
	XP_016474055.1	0	352	1		
	XP_016432619.1	0	146	1		
	XP_016437739.1	0	166	1		
	XP_016508906.1	0	102	1		
	XP_016490901.1	0	436	1		
	XP_016474716.1	0	357	1		
	XP_016497408.1	0	51	1		
	XP_016464403.1	0	30	1		
	XP_016436222.1	0	159	1		
	XP_016506423.1	0	84	1		
	XP_016466083.1	0	311	1		
	XP_016488138.1	0	423	1		
	XP_016464977.1	0	307	1		
	XP_016447300.1	0	221	1		
	XP_016448120.1	0	227	1		
	XP_016441428.1	0	191	1		
	XP_016505460.1	0	81	1		
	XP_016439497.1	0	17	1		
	XP_016494078.1	0	42	1		
	XP_016476012.1	0	367	1		
	XP_016491319.1	0	437	1		
	XP_016512215.1	0	118	1		
	XP_016485685.1	0	413	1		
	XP_016436461.1	0	160	1		
	XP_016483384.1	0	404	1		
	XP_016481809.1	0	394	1		
	XP_016513305.1	0	130	1		
	XP_016486213.1	0	414	1		
	XP_016471019.1	0	337	1		
	XP_016512005.1	0	13	1		
	XP_016438979.1	0	177	1		
	XP_016441429.1	0	191	1		
	XP_016507844.1	0	93	1		
	XP_016454068.1	0	253	1		
	XP_016458109.1	0	25	1		
	XP_016463004.1	0	296	1		
	XP_016465279.1	0	308	1		
	XP_016488956.1	0	429	1		
	XP_016475320.1	0	360	1		
	XP_016458176.1	0	272	1		
	XP_016475895.1	0	364	1		
	XP_016508310.1	0	97	1		
	XP_016449053.1	0	235	1		
	XP_016512488.1	0	122	1		
	XP_016459366.1	0	280	1		
	XP_016490831.1	0	435	1		
	XP_016463863.1	0	304	1		
	XP_016432499.1	0	144	1		
	XP_016432940.1	0	14	1		
	XP_016433307.1	0	148	1		
	XP_016492698.1	0	443	1		
	XP_016510949.1	0	113	1		
	XP_016443359.1	0	202	1		
	XP_016489481.1	0	431	1		
	XP_016507936.1	0	94	1		
	XP_016436221.1	0	159	1		
	XP_016435504.1	0	156	1		
	XP_016442402.1	0	197	1		
	XP_016433465.1	0	150	1		
	XP_016442249.1	0	196	1		
	XP_016472038.1	0	340	1		
	XP_016458179.1	0	272	1		
	XP_016472234.1	0	7	1		
	XP_016500949.1	0	63	1		
	XP_016492646.1	0	442	1		
	XP_016477427.1	0	38	1		
	XP_016510780.1	0	111	1		
	XP_016474322.1	0	355	1		
	XP_016439518.1	0	180	1		
	XP_016511696.1	0	115	1		
	XP_016445278.1	0	209	1		
	XP_016473518.1	0	347	1		
	XP_016482817.1	0	402	1		
	XP_016463160.1	0	297	1		
	XP_016463389.1	0	29	1		
	XP_016482085.1	0	396	1		
	XP_016513120.1	0	126	1		
	XP_016472357.1	0	342	1		
	XP_016486629.1	0	415	1		
	XP_016445280.1	0	209	1		
	XP_016512700.1	0	123	1		
	XP_016462627.1	0	294	1		
	XP_016451173.1	0	243	1		
	XP_016508311.1	0	97	1		
	XP_016433309.1	0	148	1		
	XP_016439723.1	0	181	1		
	XP_016463656.1	0	302	1		
	XP_016493569.1	0	448	1		
	XP_016438092.1	0	172	1		
	XP_016439331.1	0	178	1		
	XP_016468590.1	0	323	1		
	XP_016460686.1	0	289	1		
	XP_016481760.1	0	393	1		
	XP_016487481.1	0	419	1		
	XP_016492224.1	0	439	1		
