potentialBGC	protein_ids	Gene cluster gene accessions
1	lcl|NC_039358.1_cds_XP_026429583.1_53_lcl|NC_039358.1_cds_XP_026429583.1_53_1;lcl|NC_039358.1_cds_XP_026428850.1_54_lcl|NC_039358.1_cds_XP_026428850.1_54_1;lcl|NC_039358.1_cds_XP_026428854.1_55_lcl|NC_039358.1_cds_XP_026428854.1_55_1;lcl|NC_039358.1_cds_XP_026428860.1_56_lcl|NC_039358.1_cds_XP_026428860.1_56_1;lcl|NC_039358.1_cds_XP_026382085.1_57_lcl|NC_039358.1_cds_XP_026382085.1_57_1	XP_026382085.1;XP_026428850.1;XP_026428854.1;XP_026428860.1;XP_026429583.1
2	lcl|NC_039358.1_cds_XP_026382086.1_64_lcl|NC_039358.1_cds_XP_026382086.1_64_1;lcl|NC_039358.1_cds_XP_026382087.1_65_lcl|NC_039358.1_cds_XP_026382087.1_65_1;lcl|NC_039358.1_cds_XP_026428896.1_66_lcl|NC_039358.1_cds_XP_026428896.1_66_1	XP_026382086.1;XP_026382087.1;XP_026428896.1
3	lcl|NC_039358.1_cds_XP_026429094.1_194_lcl|NC_039358.1_cds_XP_026429094.1_194_1;lcl|NC_039358.1_cds_XP_026429099.1_195_lcl|NC_039358.1_cds_XP_026429099.1_195_1;lcl|NC_039358.1_cds_XP_026429106.1_196_lcl|NC_039358.1_cds_XP_026429106.1_196_1;lcl|NC_039358.1_cds_XP_026382569.1_197_lcl|NC_039358.1_cds_XP_026382569.1_197_1	XP_026382569.1;XP_026429094.1;XP_026429099.1;XP_026429106.1
4	lcl|NC_039358.1_cds_XP_026382588.1_202_lcl|NC_039358.1_cds_XP_026382588.1_202_1;lcl|NC_039358.1_cds_XP_026382595.1_203_lcl|NC_039358.1_cds_XP_026382595.1_203_1;lcl|NC_039358.1_cds_XP_026429156.1_204_lcl|NC_039358.1_cds_XP_026429156.1_204_1	XP_026382588.1;XP_026382595.1;XP_026429156.1
5	lcl|NC_039358.1_cds_XP_026384089.1_555_lcl|NC_039358.1_cds_XP_026384089.1_555_1;lcl|NC_039358.1_cds_XP_026429754.1_556_lcl|NC_039358.1_cds_XP_026429754.1_556_1;lcl|NC_039358.1_cds_XP_026429762.1_557_lcl|NC_039358.1_cds_XP_026429762.1_557_1	XP_026384089.1;XP_026429754.1;XP_026429762.1
6	lcl|NC_039358.1_cds_XP_026430022.1_781_lcl|NC_039358.1_cds_XP_026430022.1_781_1;lcl|NC_039358.1_cds_XP_026430026.1_782_lcl|NC_039358.1_cds_XP_026430026.1_782_1;lcl|NC_039358.1_cds_XP_026385200.1_783_lcl|NC_039358.1_cds_XP_026385200.1_783_1	XP_026385200.1;XP_026430022.1;XP_026430026.1
7	lcl|NC_039358.1_cds_XP_026460709.1_905_lcl|NC_039358.1_cds_XP_026460709.1_905_1;lcl|NC_039358.1_cds_XP_026386229.1_906_lcl|NC_039358.1_cds_XP_026386229.1_906_1;lcl|NC_039358.1_cds_XP_026460828.1_907_lcl|NC_039358.1_cds_XP_026460828.1_907_1	XP_026386229.1;XP_026460709.1;XP_026460828.1
8	lcl|NC_039358.1_cds_XP_026460983.1_918_lcl|NC_039358.1_cds_XP_026460983.1_918_1;lcl|NC_039358.1_cds_XP_026377048.1_919_lcl|NC_039358.1_cds_XP_026377048.1_919_1;lcl|NC_039358.1_cds_XP_026386325.1_921_lcl|NC_039358.1_cds_XP_026386325.1_921_1	XP_026377048.1;XP_026386325.1;XP_026460983.1
9	lcl|NC_039358.1_cds_XP_026378004.1_963_lcl|NC_039358.1_cds_XP_026378004.1_963_1;lcl|NC_039358.1_cds_XP_026386688.1_968_lcl|NC_039358.1_cds_XP_026386688.1_968_1;lcl|NC_039358.1_cds_XP_026378182.1_969_lcl|NC_039358.1_cds_XP_026378182.1_969_1;lcl|NC_039358.1_cds_XP_026386705.1_970_lcl|NC_039358.1_cds_XP_026386705.1_970_1;lcl|NC_039358.1_cds_XP_026386714.1_971_lcl|NC_039358.1_cds_XP_026386714.1_971_1	XP_026378004.1;XP_026378182.1;XP_026386688.1;XP_026386705.1;XP_026386714.1
10	lcl|NC_039358.1_cds_XP_026387281.1_1074_lcl|NC_039358.1_cds_XP_026387281.1_1074_1;lcl|NC_039358.1_cds_XP_026387272.1_1075_lcl|NC_039358.1_cds_XP_026387272.1_1075_1;lcl|NC_039358.1_cds_XP_026387260.1_1076_lcl|NC_039358.1_cds_XP_026387260.1_1076_1;lcl|NC_039358.1_cds_XP_026382893.1_1077_lcl|NC_039358.1_cds_XP_026382893.1_1077_1;lcl|NC_039358.1_cds_XP_026382969.1_1078_lcl|NC_039358.1_cds_XP_026382969.1_1078_1	XP_026382893.1;XP_026382969.1;XP_026387260.1;XP_026387272.1;XP_026387281.1
11	lcl|NC_039358.1_cds_XP_026387563.1_1122_lcl|NC_039358.1_cds_XP_026387563.1_1122_1;lcl|NC_039358.1_cds_XP_026385035.1_1123_lcl|NC_039358.1_cds_XP_026385035.1_1123_1;lcl|NC_039358.1_cds_XP_026387577.1_1124_lcl|NC_039358.1_cds_XP_026387577.1_1124_1	XP_026385035.1;XP_026387563.1;XP_026387577.1
12	lcl|NC_039358.1_cds_XP_026388384.1_1256_lcl|NC_039358.1_cds_XP_026388384.1_1256_1;lcl|NC_039358.1_cds_XP_026430637.1_1257_lcl|NC_039358.1_cds_XP_026430637.1_1257_1;lcl|NC_039358.1_cds_XP_026391752.1_1261_lcl|NC_039358.1_cds_XP_026391752.1_1261_1	XP_026388384.1;XP_026391752.1;XP_026430637.1
13	lcl|NC_039358.1_cds_XP_026400789.1_1501_lcl|NC_039358.1_cds_XP_026400789.1_1501_1;lcl|NC_039358.1_cds_XP_026400889.1_1502_lcl|NC_039358.1_cds_XP_026400889.1_1502_1;lcl|NC_039358.1_cds_XP_026389844.1_1503_lcl|NC_039358.1_cds_XP_026389844.1_1503_1;lcl|NC_039358.1_cds_XP_026389837.1_1504_lcl|NC_039358.1_cds_XP_026389837.1_1504_1;lcl|NC_039358.1_cds_XP_026431183.1_1505_lcl|NC_039358.1_cds_XP_026431183.1_1505_1	XP_026389837.1;XP_026389844.1;XP_026400789.1;XP_026400889.1;XP_026431183.1
14	lcl|NC_039358.1_cds_XP_026432327.1_2219_lcl|NC_039358.1_cds_XP_026432327.1_2219_1;lcl|NC_039358.1_cds_XP_026426582.1_2222_lcl|NC_039358.1_cds_XP_026426582.1_2222_1;lcl|NC_039358.1_cds_XP_026394025.1_2223_lcl|NC_039358.1_cds_XP_026394025.1_2223_1	XP_026394025.1;XP_026426582.1;XP_026432327.1
15	lcl|NC_039358.1_cds_XP_026432054.1_2427_lcl|NC_039358.1_cds_XP_026432054.1_2427_1;lcl|NC_039358.1_cds_XP_026395459.1_2428_lcl|NC_039358.1_cds_XP_026395459.1_2428_1;lcl|NC_039358.1_cds_XP_026432137.1_2429_lcl|NC_039358.1_cds_XP_026432137.1_2429_1	XP_026395459.1;XP_026432054.1;XP_026432137.1
16	lcl|NC_039358.1_cds_XP_026397128.1_2784_lcl|NC_039358.1_cds_XP_026397128.1_2784_1;lcl|NC_039358.1_cds_XP_026397121.1_2786_lcl|NC_039358.1_cds_XP_026397121.1_2786_1;lcl|NC_039358.1_cds_XP_026397114.1_2787_lcl|NC_039358.1_cds_XP_026397114.1_2787_1	XP_026397114.1;XP_026397121.1;XP_026397128.1
17	lcl|NC_039358.1_cds_XP_026433498.1_2957_lcl|NC_039358.1_cds_XP_026433498.1_2957_1;lcl|NC_039358.1_cds_XP_026446264.1_2958_lcl|NC_039358.1_cds_XP_026446264.1_2958_1;lcl|NC_039358.1_cds_XP_026446282.1_2959_lcl|NC_039358.1_cds_XP_026446282.1_2959_1	XP_026433498.1;XP_026446264.1;XP_026446282.1
18	lcl|NC_039358.1_cds_XP_026398346.1_3089_lcl|NC_039358.1_cds_XP_026398346.1_3089_1;lcl|NC_039358.1_cds_XP_026398364.1_3092_lcl|NC_039358.1_cds_XP_026398364.1_3092_1;lcl|NC_039358.1_cds_XP_026398371.1_3093_lcl|NC_039358.1_cds_XP_026398371.1_3093_1;lcl|NC_039358.1_cds_XP_026398376.1_3094_lcl|NC_039358.1_cds_XP_026398376.1_3094_1;lcl|NC_039358.1_cds_XP_026398390.1_3096_lcl|NC_039358.1_cds_XP_026398390.1_3096_1;lcl|NC_039358.1_cds_XP_026446807.1_3098_lcl|NC_039358.1_cds_XP_026446807.1_3098_1	XP_026398346.1;XP_026398364.1;XP_026398371.1;XP_026398376.1;XP_026398390.1;XP_026446807.1
19	lcl|NC_039358.1_cds_XP_026400801.1_3577_lcl|NC_039358.1_cds_XP_026400801.1_3577_1;lcl|NC_039358.1_cds_XP_026400811.1_3578_lcl|NC_039358.1_cds_XP_026400811.1_3578_1;lcl|NC_039358.1_cds_XP_026400820.1_3579_lcl|NC_039358.1_cds_XP_026400820.1_3579_1;lcl|NC_039358.1_cds_XP_026400833.1_3580_lcl|NC_039358.1_cds_XP_026400833.1_3580_1	XP_026400801.1;XP_026400811.1;XP_026400820.1;XP_026400833.1
20	lcl|NC_039358.1_cds_XP_026402134.1_3720_lcl|NC_039358.1_cds_XP_026402134.1_3720_1;lcl|NC_039358.1_cds_XP_026402144.1_3721_lcl|NC_039358.1_cds_XP_026402144.1_3721_1;lcl|NC_039358.1_cds_XP_026402150.1_3722_lcl|NC_039358.1_cds_XP_026402150.1_3722_1	XP_026402134.1;XP_026402144.1;XP_026402150.1
