Contig_ID	Protein_ID	BGC_File1	BGC_File2	Non_Zero_Count	Protein_Order	Gene_ID
NC_050097.1	XP_020404818.1	20	0	1		
NC_050102.1	XP_035816219.1	41	0	1		
NC_050096.1	XP_008658549.1	0	13	1		
NC_050097.1	XP_023157280.1	14	0	1		
NC_050099.1	XP_020406889.1	26	0	1		
NC_050096.1	XP_020402522.1	5	0	1		
NC_050098.1	NP_001145339.2	21	0	1		
NC_050102.1	XP_008653544.1	49	0	1		
NC_050100.1	XP_008644845.1	35	0	1		
NC_050101.1	NP_001123588.1	40	0	1		
NC_050102.1	XP_008653276.1	0	153	1		
NC_050097.1	XP_008667195.1	11	0	1		
NC_050099.1	XP_008677991.2	28	0	1		
NC_050105.1	NP_001146617.2	58	0	1		
NC_050102.1	XP_020396553.1	44	0	1		
NC_050102.1	NP_001147611.2	47	0	1		
NC_050097.1	XP_008670752.1	19	0	1		
NC_050096.1	NP_001105329.3	8	0	1		
NC_050096.1	XP_008651696.1	1	0	1		
NC_050105.1	XP_035819273.1	0	199	1		
NC_050102.1	XP_035816217.1	41	0	1		
NC_050102.1	XP_020396806.1	41	0	1		
NC_050105.1	NP_001150048.1	59	0	1		
NC_050101.1	XP_008649033.1	0	125	1		
NC_050103.1	XP_008656256.3	0	173	1		
NC_050105.1	XP_008661396.1	57	0	1		
NC_050103.1	XP_035817474.1	0	156	1		
NC_050096.1	NP_001142212.1	9	0	1		
NC_050099.1	XP_035822816.1	31	0	1		
NC_050096.1	NP_001183661.1	8	0	1		
NC_050098.1	NP_001344074.1	23	0	1		
NC_050104.1	XP_008659741.1	52	0	1		
NC_050105.1	NP_001348098.1	57	0	1		
NC_050099.1	XP_008676540.1	31	0	1		
NC_050100.1	XP_020393328.1	37	0	1		
NC_050098.1	XP_020406094.1	0	76	1		
NC_050096.1	XP_008649383.1	4	20	2		
NC_050101.1	XP_008647276.1	40	0	1		
NC_050096.1	XP_008666947.2	0	34	1		
NC_050096.1	NP_001349533.1	2	0	1		
NC_050105.1	XP_020400701.1	0	200	1		
NC_050096.1	XP_020399700.1	0	29	1		
NC_050104.1	NP_001352467.1	52	0	1		
NC_050096.1	XP_008651686.2	1	0	1		
NC_050100.1	XP_008643612.1	35	0	1		
NC_050099.1	XP_020408146.1	31	0	1		
NC_050102.1	XP_035816604.1	41	0	1		
NC_050096.1	NP_001147183.2	4	0	1		
NC_050096.1	XP_008661335.2	3	0	1		
NC_050099.1	XP_020408032.1	28	0	1		
NC_050102.1	XP_008653542.1	49	0	1		
NC_050099.1	XP_035823465.1	26	0	1		
NC_050096.1	XP_035823771.1	5	0	1		
NC_050097.1	XP_008670324.1	18	52	2		
NC_050101.1	XP_008649176.1	39	0	1		
NC_050102.1	NP_001132851.1	41	0	1		
NC_050096.1	XP_008661317.2	3	0	1		
NC_050096.1	NP_001105646.1	3	0	1		
NC_050101.1	NP_001105574.1	40	0	1		
NC_050105.1	NP_001105505.2	59	0	1		
NC_050096.1	NP_001147464.1	6	0	1		
NC_050096.1	XP_023157733.1	5	0	1		
NC_050097.1	XP_035821312.1	17	0	1		
NC_050096.1	NP_001358891.1	5	0	1		
NC_050096.1	NP_001345528.1	9	0	1		
NC_050103.1	XP_008657207.1	0	186	1		
NC_050105.1	NP_001345825.1	58	0	1		
NC_050101.1	XP_020395831.1	0	131	1		
NC_050102.1	NP_001183850.1	45	0	1		
NC_050102.1	NP_001151289.1	49	0	1		
NC_050101.1	XP_020395694.1	40	0	1		
NC_050101.1	XP_008647966.1	0	124	1		
NC_050097.1	XP_008666983.1	13	0	1		
NC_050097.1	XP_008667269.1	12	0	1		
NC_050102.1	XP_035816220.1	41	0	1		
NC_050099.1	NP_001159123.1	31	0	1		
NC_050099.1	XP_023158001.1	31	0	1		
NC_050105.1	XP_008661359.1	59	0	1		
NC_050098.1	XP_008676388.1	0	80	1		
NC_050097.1	NP_001143880.2	18	0	1		
NC_050105.1	XP_020401237.1	55	0	1		
NC_050101.1	XP_008647965.1	38	0	1		
NC_050097.1	XP_008667668.1	16	0	1		
NC_050097.1	XP_020404816.1	20	0	1		
NC_050096.1	XP_008659662.1	0	16	1		
NC_050102.1	NP_001361303.1	43	0	1		
NC_050102.1	XP_035816365.1	41	0	1		
NC_050105.1	XP_008662053.1	0	200	1		
NC_050097.1	NP_001288371.1	10	0	1		
NC_050097.1	XP_008668623.1	10	0	1		
NC_050096.1	NP_001355148.1	3	0	1		
NC_050100.1	NP_001132477.1	35	0	1		
